"plh0206i03","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","West Germany","659","0.315013319288376","0.295694555444262","0.33433208313249","1"
"1 Strongly disagree","2005","1-pers.-HH","East Germany","214","0.298469167690868","0.265275153162381","0.331663182219355","1"
"1 Strongly disagree","2005","(Married) couple without C. ","West Germany","1423","0.283088215341793","0.270895217287931","0.295281213395654","1"
"1 Strongly disagree","2005","(Married) couple without C. ","East Germany","459","0.260357992991907","0.239827197719952","0.280888788263862","1"
"1 Strongly disagree","2005","Single parent ","West Germany","187","0.230379939216336","0.201035867955253","0.259724010477419","1"
"1 Strongly disagree","2005","Single parent ","East Germany","80","0.261256068215452","0.212033129965743","0.310479006465161","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","West Germany","642","0.212826218896251","0.198186986683627","0.227465451108875","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","East Germany","131","0.190987312510931","0.161721445228906","0.220253179792956","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","West Germany","525","0.191689821249399","0.176521468261159","0.206858174237639","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","East Germany","211","0.222819743973683","0.197661261127021","0.247978226820346","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","West Germany","290","0.228311555365044","0.205719212316073","0.250903898414015","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","East Germany","90","0.286114849047881","0.240188598127874","0.332041099967888","1"
"2 on scale 1-7 ","2005","(Married) couple without C. ","West Germany","1192","0.212749895880787","0.201673262257475","0.2238265295041","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","West Germany","768","0.250464110303471","0.23496740433029","0.265960816276651","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","West Germany","300","0.214163446860874","0.192082630999353","0.236244262722395","2"
"2 on scale 1-7 ","2005","1-pers.-HH","East Germany","178","0.221938187945165","0.19179357381316","0.25208280207717","2"
"2 on scale 1-7 ","2005","Single parent ","East Germany","68","0.227951470858732","0.180947897333453","0.274955044384011","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","East Germany","99","0.226438806897076","0.183908414727919","0.268969199066232","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","East Germany","423","0.229898986633004","0.210213239304167","0.249584733961842","2"
"2 on scale 1-7 ","2005","1-pers.-HH","West Germany","542","0.231746335305067","0.214198135541515","0.249294535068619","2"
"2 on scale 1-7 ","2005","Single parent ","West Germany","186","0.233598708302809","0.204112211274761","0.263085205330857","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","East Germany","171","0.240827940382372","0.208992928413048","0.272662952351696","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","West Germany","644","0.227538765712709","0.211383432408105","0.243694099017313","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","East Germany","265","0.22070707684551","0.195634138739585","0.245780014951435","2"
"3 on scale 1-7 ","2005","1-pers.-HH","East Germany","116","0.162454856992052","0.135696642956259","0.189213071027845","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","West Germany","959","0.173136095131559","0.162895443895528","0.183376746367589","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","East Germany","321","0.178867405477976","0.160937343937933","0.196797467018019","3"
"3 on scale 1-7 ","2005","Single parent ","West Germany","114","0.151296902964352","0.126324935418998","0.176268870509706","3"
"3 on scale 1-7 ","2005","Single parent ","East Germany","57","0.169640344202672","0.127588497711256","0.211692190694087","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","West Germany","581","0.195911012334924","0.181715472705235","0.210106551964613","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","East Germany","150","0.195329100782114","0.165811972904026","0.224846228660201","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","West Germany","448","0.184874183061861","0.169915259780406","0.199833106343316","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","East Germany","207","0.225267770224884","0.200011333715727","0.25052420673404","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","West Germany","249","0.19485341300137","0.173534364592952","0.216172461409787","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","East Germany","68","0.180379866500512","0.14130684820688","0.219452884794143","3"
"3 on scale 1-7 ","2005","1-pers.-HH","West Germany","390","0.179663664199502","0.163697524960277","0.195629803438726","3"
"4 on scale 1-7","2005","Single parent ","East Germany","46","0.164134621805769","0.122633900440892","0.205635343170646","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","West Germany","218","0.152552050949823","0.133199337291502","0.171904764608145","4"
"4 on scale 1-7","2005","1-pers.-HH","East Germany","98","0.157117994472763","0.130719265602959","0.183516723342567","4"
