"plh0206i03","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","(0) in school","","","",""
"1 Strongly disagree","2005","Full Time","(1a) inadequately completed","13","","",""
"1 Strongly disagree","2005","Full Time","(1b) general elementary school","84","0.231685202320256","0.187420848915686","0.275949555724825"
"1 Strongly disagree","2005","Full Time","(1c) basic vocational qualification","380","0.221228894269891","0.202122663093245","0.240335125446536"
"1 Strongly disagree","2005","Full Time","(2b) intermediate general qualification","37","0.159413535271165","0.110368506094995","0.208458564447336"
"1 Strongly disagree","2005","Full Time","(2a) intermediate vocational","447","0.183418509364391","0.167731246162968","0.199105772565815"
"1 Strongly disagree","2005","Full Time","(2c_gen) general maturity certificate","24","","",""
"1 Strongly disagree","2005","Full Time","(2c_voc) vocational maturity certificate","135","0.159725686617254","0.133058511464204","0.186392861770303"
"1 Strongly disagree","2005","Full Time","(3a) lower tertiary education","200","0.278213775435425","0.247945640961566","0.308481909909284"
"1 Strongly disagree","2005","Full Time","(3b) higher tertiary education","280","0.194136019060343","0.173335177764459","0.214936860356227"
"1 Strongly disagree","2005","Part Time","(0) in school","14","","",""
"1 Strongly disagree","2005","Part Time","(1a) inadequately completed","19","","",""
"1 Strongly disagree","2005","Part Time","(1b) general elementary school","90","0.243547280853419","0.198450971004488","0.28864359070235"
"1 Strongly disagree","2005","Part Time","(1c) basic vocational qualification","257","0.242345947699391","0.216825562866436","0.267866332532345"
"1 Strongly disagree","2005","Part Time","(2b) intermediate general qualification","35","0.220323279045401","0.155284366850496","0.285362191240306"
"1 Strongly disagree","2005","Part Time","(2a) intermediate vocational","336","0.264158681261224","0.240311324045233","0.288006038477215"
"1 Strongly disagree","2005","Part Time","(2c_gen) general maturity certificate","60","0.216869605640832","0.17150315058734","0.262236060694324"
"1 Strongly disagree","2005","Part Time","(2c_voc) vocational maturity certificate","99","0.302529075956786","0.258119789594041","0.34693836231953"
"1 Strongly disagree","2005","Part Time","(3a) lower tertiary education","84","0.237072133868623","0.19206482723016","0.282079440507086"
"1 Strongly disagree","2005","Part Time","(3b) higher tertiary education","147","0.254670618246729","0.219365822743399","0.289975413750059"
"1 Strongly disagree","2005","Not Working","(0) in school","114","0.218128625372416","0.183520472876865","0.252736777867968"
"1 Strongly disagree","2005","Not Working","(1a) inadequately completed","56","0.419508802314723","0.340799153328927","0.498218451300519"
"1 Strongly disagree","2005","Not Working","(1b) general elementary school","352","0.326634205028635","0.299610943247086","0.353657466810183"
"1 Strongly disagree","2005","Not Working","(1c) basic vocational qualification","820","0.315412716692562","0.298179488589331","0.332645944795793"
"1 Strongly disagree","2005","Not Working","(2b) intermediate general qualification","61","0.333772305438613","0.269687818190055","0.39785679268717"
"1 Strongly disagree","2005","Not Working","(2a) intermediate vocational","342","0.325804477390826","0.298514410997216","0.353094543784436"
"1 Strongly disagree","2005","Not Working","(2c_gen) general maturity certificate","72","0.216151592877554","0.170910843375832","0.261392342379275"
"1 Strongly disagree","2005","Not Working","(2c_voc) vocational maturity certificate","105","0.306844892650581","0.260229555266017","0.353460230035146"
"1 Strongly disagree","2005","Not Working","(3a) lower tertiary education","137","0.305573624490652","0.263568900063039","0.347578348918266"
"1 Strongly disagree","2005","Not Working","(3b) higher tertiary education","178","0.346882921608699","0.306662748774181","0.387103094443216"
"2 on scale 1-7 ","2005","Full Time","(0) in school","1","","",""
"2 on scale 1-7 ","2005","Full Time","(1a) inadequately completed","15","","",""
"2 on scale 1-7 ","2005","Full Time","(1b) general elementary school","64","0.197159401108193","0.155418791664795","0.238900010551592"
"2 on scale 1-7 ","2005","Full Time","(1c) basic vocational qualification","380","0.204546098711812","0.185978647245364","0.22311355017826"
"2 on scale 1-7 ","2005","Full Time","(2b) intermediate general qualification","46","0.220940192478586","0.165354378720143","0.276526006237029"
"2 on scale 1-7 ","2005","Full Time","(2a) intermediate vocational","571","0.244911030911944","0.227479759153586","0.262342302670303"
"2 on scale 1-7 ","2005","Full Time","(2c_gen) general maturity certificate","47","0.245784060744999","0.179070701338911","0.312497420151087"
"2 on scale 1-7 ","2005","Full Time","(2c_voc) vocational maturity certificate","200","0.277134808782436","0.244554643538869","0.309714974026004"
"2 on scale 1-7 ","2005","Full Time","(3a) lower tertiary education","243","0.274772388903217","0.244620414537417","0.304924363269017"
"2 on scale 1-7 ","2005","Full Time","(3b) higher tertiary education","387","0.27165576603546","0.248263366381774","0.295048165689147"
"2 on scale 1-7 ","2005","Part Time","(0) in school","34","0.399363312753077","0.303370636043664","0.49535598946249"
"2 on scale 1-7 ","2005","Part Time","(1a) inadequately completed","4","","",""
"2 on scale 1-7 ","2005","Part Time","(1b) general elementary school","69","0.19354493280863","0.1520362015246","0.23505366409266"
"2 on scale 1-7 ","2005","Part Time","(1c) basic vocational qualification","258","0.218877275922517","0.194251278122101","0.243503273722933"
