"year","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Rural Area","3.26","3","6827","1","2","4","6","7","3.22","3.3","1","7","3","3"
"2005","Urban Area","3.18","3","13827","1","2","4","6","7","3.15","3.21","1","7","3","3"
"2006","Rural Area","","","","","","","","","","","","","",""
"2006","Urban Area","","","","","","","","","","","","","",""
"2007","Rural Area","","","","","","","","","","","","","",""
"2007","Urban Area","","","","","","","","","","","","","",""
"2008","Rural Area","","","","","","","","","","","","","",""
"2008","Urban Area","","","","","","","","","","","","","",""
"2009","Rural Area","","","","","","","","","","","","","",""
"2009","Urban Area","","","","","","","","","","","","","",""
"2010","Rural Area","3.34","3","5650","1","2","4","6","7","3.3","3.38","1","7","3","3"
"2010","Urban Area","3.19","3","11018","1","2","4","6","7","3.16","3.22","1","7","3","3"
"2011","Rural Area","","","","","","","","","","","","","",""
"2011","Urban Area","","","","","","","","","","","","","",""
"2012","Rural Area","","","","","","","","","","","","","",""
"2012","Urban Area","","","","","","","","","","","","","",""
"2013","Rural Area","","","","","","","","","","","","","",""
"2013","Urban Area","","","","","","","","","","","","","",""
"2014","Rural Area","","","","","","","","","","","","","",""
"2014","Urban Area","","","","","","","","","","","","","",""
"2015","Rural Area","2.92","3","9118","1","2","4","5","7","2.89","2.95","1","7","2","3"
"2015","Urban Area","2.79","2","17581","1","1","4","5","7","2.77","2.81","1","7","2","2"
"2016","Rural Area","2.07","1","1324","1","1","2","5","7","1.98","2.16","1","7","1","1"
"2016","Urban Area","2.27","1","2974","1","1","3","5","7","2.21","2.33","1","7","1","1"
"2017","Rural Area","1.54","1","762","1","1","1","3","7","1.44","1.64","1","7","1","1"
"2017","Urban Area","1.84","1","2048","1","1","2","4","7","1.78","1.9","1","7","1","1"
"2018","Rural Area","1.63","1","150","1","1","1","4","7","1.37","1.89","1","7","1","1"
"2018","Urban Area","2.04","1","260","1","1","3","5","7","1.83","2.25","1","7","1","1"
"2019","Rural Area","1.76","1","100","1","1","2","4","7","1.45","2.07","1","7","1","2"
"2019","Urban Area","1.86","1","169","1","1","2","4","7","1.6","2.12","1","7","1","2"
