"year","bula_h","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Baden-Württemberg","Employed","3.12","3","1615","1","2","4","5","7","3.04","3.2","1","7","3","3"
"2005","Baden-Württemberg","Not Employed","3","3","908","1","2","4","5","7","2.89","3.11","1","7","3","3"
"2005","Bavaria","Employed","3.44","3","1933","1","2","5","6","7","3.37","3.51","1","7","3","3"
"2005","Bavaria","Not Employed","2.89","3","960","1","1","4","5","7","2.78","3","1","7","3","3"
"2005","Berlin","Employed","3.31","3","471","1","2","4","6","7","3.16","3.46","1","7","3","3"
"2005","Berlin","Not Employed","3.06","3","286","1","2","4","5","7","2.86","3.26","1","7","2","3"
"2005","Brandenburg","Employed","3.38","3","503","1","2","4","6","7","3.23","3.53","1","7","3","4"
"2005","Brandenburg","Not Employed","3.33","3","385","1","2","4","6","7","3.15","3.51","1","7","3","3"
"2005","Bremen","Employed","3.24","3","84","1","1","5","7","7","2.79","3.69","1","7","2","4"
"2005","Bremen","Not Employed","3.13","3","63","1","1","4","7","7","2.65","3.61","1","7","2","4"
"2005","Hamburg","Employed","3.11","3","179","1","2","4","6","7","2.87","3.35","1","7","2","3"
"2005","Hamburg","Not Employed","3.01","3","112","1","2","4","5","7","2.7","3.32","1","7","2","3"
"2005","Hesse","Employed","3.45","3","914","1","2","5","6","7","3.34","3.56","1","7","3","3"
"2005","Hesse","Not Employed","3.17","3","451","1","1","4","6","7","2.99","3.35","1","7","3","3"
"2005","Lower Saxony","Employed","3.18","3","1100","1","2","4","6","7","3.08","3.28","1","7","3","3"
"2005","Lower Saxony","Not Employed","3.03","3","681","1","1","4","6","7","2.89","3.17","1","7","3","3"
"2005","Mecklenburg-Western Pomerania","Employed","3.48","3","295","1","2","4","6","7","3.3","3.66","1","7","3","4"
"2005","Mecklenburg-Western Pomerania","Not Employed","3.53","3","209","1","2","5","6","7","3.28","3.78","1","7","3","4"
"2005","North Rhine-Westphalia","Employed","3.33","3","2647","1","2","5","6","7","3.26","3.4","1","7","3","3"
"2005","North Rhine-Westphalia","Not Employed","3.11","3","1691","1","1","4","6","7","3.02","3.2","1","7","3","3"
"2005","Rhineland-Palatinate,Saarland","Employed","3.13","3","749","1","2","4","5","7","3.01","3.25","1","7","3","3"
"2005","Rhineland-Palatinate,Saarland","Not Employed","2.9","2","483","1","1","4","5","7","2.74","3.06","1","7","2","3"
"2005","Saxony","Employed","3.41","3","913","1","2","5","6","7","3.3","3.52","1","7","3","3"
"2005","Saxony","Not Employed","2.86","3","615","1","1","4","5","7","2.73","2.99","1","7","3","3"
"2005","Saxony-Anhalt","Employed","3.42","3","507","1","2","5","6","7","3.27","3.57","1","7","3","4"
"2005","Saxony-Anhalt","Not Employed","3.19","3","387","1","2","4","6","7","3.01","3.37","1","7","3","3"
"2005","Schleswig-Holstein","Employed","3.06","3","387","1","2","4","6","7","2.89","3.23","1","7","2","3"
"2005","Schleswig-Holstein","Not Employed","3.17","3","235","1","1","4","6","7","2.95","3.39","1","7","3","3"
"2005","Thuringia","Employed","3.54","4","515","1","2","5","6","7","3.4","3.68","1","7","3","4"
"2005","Thuringia","Not Employed","3.06","3","376","1","2","4","5","7","2.89","3.23","1","7","3","3"
"2006","Baden-Württemberg","Employed","","","","","","","","","","","","","",""
"2006","Baden-Württemberg","Not Employed","","","","","","","","","","","","","",""
"2006","Bavaria","Employed","","","","","","","","","","","","","",""
"2006","Bavaria","Not Employed","","","","","","","","","","","","","",""
"2006","Berlin","Employed","","","","","","","","","","","","","",""
"2006","Berlin","Not Employed","","","","","","","","","","","","","",""
"2006","Brandenburg","Employed","","","","","","","","","","","","","",""
"2006","Brandenburg","Not Employed","","","","","","","","","","","","","",""
"2006","Bremen","Employed","","","","","","","","","","","","","",""
"2006","Bremen","Not Employed","","","","","","","","","","","","","",""
"2006","Hamburg","Employed","","","","","","","","","","","","","",""
"2006","Hamburg","Not Employed","","","","","","","","","","","","","",""
"2006","Hesse","Employed","","","","","","","","","","","","","",""
"2006","Hesse","Not Employed","","","","","","","","","","","","","",""
"2006","Lower Saxony","Employed","","","","","","","","","","","","","",""
"2006","Lower Saxony","Not Employed","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Employed","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Not Employed","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Employed","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Not Employed","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Employed","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Not Employed","","","","","","","","","","","","","",""
"2006","Saxony","Employed","","","","","","","","","","","","","",""
"2006","Saxony","Not Employed","","","","","","","","","","","","","",""
"2006","Saxony-Anhalt","Employed","","","","","","","","","","","","","",""
