"year","bula_h","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","Baden-Württemberg","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2005","Baden-Württemberg","Westdeutschland, alte Bundeslaender","3.08","3","2523","1","2","4","5","3.02","3.14","3","3"
"2005","Bavaria","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2005","Bavaria","Westdeutschland, alte Bundeslaender","3.24","3","2893","1","2","4","6","3.18","3.3","3","3"
"2005","Berlin","Ostdeutschland, neue Bundeslaender","3.2","3","343","1","2","4","6","3.02","3.38","2","3"
"2005","Berlin","Westdeutschland, alte Bundeslaender","3.22","3","414","1","2","4","5","3.06","3.38","3","3"
"2005","Brandenburg","Ostdeutschland, neue Bundeslaender","3.36","3","888","1","2","4","6","3.24","3.48","3","3"
"2005","Brandenburg","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2005","Bremen","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2005","Bremen","Westdeutschland, alte Bundeslaender","3.17","3","147","1","1","5","7","2.84","3.5","2","3"
"2005","Hamburg","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2005","Hamburg","Westdeutschland, alte Bundeslaender","3.06","3","291","1","2","4","6","2.87","3.25","2","3"
"2005","Hesse","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2005","Hesse","Westdeutschland, alte Bundeslaender","3.35","3","1365","1","2","5","6","3.25","3.45","3","3"
"2005","Lower Saxony","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2005","Lower Saxony","Westdeutschland, alte Bundeslaender","3.12","3","1781","1","1","4","6","3.04","3.2","3","3"
"2005","Mecklenburg-Western Pomerania","Ostdeutschland, neue Bundeslaender","3.51","3","504","1","2","4","6","3.36","3.66","3","4"
"2005","Mecklenburg-Western Pomerania","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2005","North Rhine-Westphalia","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2005","North Rhine-Westphalia","Westdeutschland, alte Bundeslaender","3.24","3","4338","1","2","4","6","3.19","3.29","3","3"
"2005","Rhineland-Palatinate,Saarland","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2005","Rhineland-Palatinate,Saarland","Westdeutschland, alte Bundeslaender","3.04","3","1232","1","2","4","5","2.94","3.14","3","3"
"2005","Saxony","Ostdeutschland, neue Bundeslaender","3.15","3","1528","1","2","4","6","3.06","3.24","3","3"
"2005","Saxony","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2005","Saxony-Anhalt","Ostdeutschland, neue Bundeslaender","3.3","3","894","1","2","4","6","3.18","3.42","3","3"
"2005","Saxony-Anhalt","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2005","Schleswig-Holstein","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
