"year","e11102","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Employed","Female","3.11","3","6088","1","2","4","5","7","3.07","3.15","1","7","3","3"
"2005","Employed","Male","3.47","3","6724","1","2","5","6","7","3.43","3.51","1","7","3","3"
"2005","Not Employed","Female","2.88","3","4689","1","1","4","5","7","2.83","2.93","1","7","3","3"
"2005","Not Employed","Male","3.32","3","3153","1","2","5","6","7","3.26","3.38","1","7","3","3"
"2006","Employed","Female","","","","","","","","","","","","","",""
"2006","Employed","Male","","","","","","","","","","","","","",""
"2006","Not Employed","Female","","","","","","","","","","","","","",""
"2006","Not Employed","Male","","","","","","","","","","","","","",""
"2007","Employed","Female","","","","","","","","","","","","","",""
"2007","Employed","Male","","","","","","","","","","","","","",""
"2007","Not Employed","Female","","","","","","","","","","","","","",""
"2007","Not Employed","Male","","","","","","","","","","","","","",""
"2008","Employed","Female","","","","","","","","","","","","","",""
"2008","Employed","Male","","","","","","","","","","","","","",""
"2008","Not Employed","Female","","","","","","","","","","","","","",""
"2008","Not Employed","Male","","","","","","","","","","","","","",""
"2009","Employed","Female","","","","","","","","","","","","","",""
"2009","Employed","Male","","","","","","","","","","","","","",""
"2009","Not Employed","Female","","","","","","","","","","","","","",""
"2009","Not Employed","Male","","","","","","","","","","","","","",""
"2010","Employed","Female","3.11","3","5082","1","2","4","5","7","3.07","3.15","1","7","3","3"
"2010","Employed","Male","3.5","3","5261","1","2","5","6","7","3.46","3.54","1","7","3","3"
"2010","Not Employed","Female","2.94","3","3648","1","1","4","5","7","2.88","3","1","7","3","3"
"2010","Not Employed","Male","3.33","3","2677","1","2","4","6","7","3.26","3.4","1","7","3","3"
"2011","Employed","Female","","","","","","","","","","","","","",""
"2011","Employed","Male","","","","","","","","","","","","","",""
"2011","Not Employed","Female","","","","","","","","","","","","","",""
"2011","Not Employed","Male","","","","","","","","","","","","","",""
"2012","Employed","Female","","","","","","","","","","","","","",""
"2012","Employed","Male","","","","","","","","","","","","","",""
"2012","Not Employed","Female","","","","","","","","","","","","","",""
"2012","Not Employed","Male","","","","","","","","","","","","","",""
"2013","Employed","Female","","","","","","","","","","","","","",""
"2013","Employed","Male","","","","","","","","","","","","","",""
"2013","Not Employed","Female","","","","","","","","","","","","","",""
"2013","Not Employed","Male","","","","","","","","","","","","","",""
"2014","Employed","Female","","","","","","","","","","","","","",""
"2014","Employed","Male","","","","","","","","","","","","","",""
"2014","Not Employed","Female","","","","","","","","","","","","","",""
"2014","Not Employed","Male","","","","","","","","","","","","","",""
"2015","Employed","Female","2.65","2","8552","1","1","4","5","7","2.62","2.68","1","7","2","2"
"2015","Employed","Male","3.03","3","8042","1","2","4","5","7","2.99","3.07","1","7","3","3"
"2015","Not Employed","Female","2.62","2","5866","1","1","4","5","7","2.58","2.66","1","7","2","2"
"2015","Not Employed","Male","3.04","3","4239","1","2","4","6","7","2.99","3.09","1","7","2","3"
"2016","Employed","Female","","","","","","","","","","","","","",""
"2016","Employed","Male","","","","","","","","","","","","","",""
"2016","Not Employed","Female","2.23","1","1625","1","1","3","5","7","2.15","2.31","1","7","1","1"
"2016","Not Employed","Male","2.21","1","2651","1","1","3","5","7","2.15","2.27","1","7","1","1"
"2017","Employed","Female","","","","","","","","","","","","","",""
"2017","Employed","Male","","","","","","","","","","","","","",""
"2017","Not Employed","Female","1.7","1","1198","1","1","2","4","7","1.62","1.78","1","7","1","1"
"2017","Not Employed","Male","1.79","1","1612","1","1","2","4","7","1.72","1.86","1","7","1","1"
"2018","Employed","Female","","","","","","","","","","","","","",""
"2018","Employed","Male","","","","","","","","","","","","","",""
"2018","Not Employed","Female","1.9","1","221","1","1","2","4","7","1.68","2.12","1","7","1","1"
"2018","Not Employed","Male","1.9","1","189","1","1","2","5","7","1.66","2.14","1","7","1","1"
"2019","Employed","Female","","","","","","","","","","","","","",""
"2019","Employed","Male","","","","","","","","","","","","","",""
"2019","Not Employed","Female","1.69","1","139","1","1","2","3","7","1.43","1.95","1","7","1","2"
"2019","Not Employed","Male","1.95","1","131","1","1","3","4","7","1.64","2.26","1","7","1","2"
