"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","1.94","2","7066","1","1","2","3","4","1.92","1.96","1","4","2","2"
"1991","","","","","","","","","","","","","",""
"1992","1.89","2","10886","1","1","2","3","4","1.87","1.91","1","4","2","2"
"1993","","","","","","","","","","","","","",""
"1994","","","","","","","","","","","","","",""
"1995","1.85","2","11136","1","1","2","3","4","1.83","1.87","1","4","2","2"
"1996","","","","","","","","","","","","","",""
"1997","","","","","","","","","","","","","",""
"1998","","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","",""
"2004","1.87","2","21290","1","1","2","3","4","1.86","1.88","1","4","2","2"
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","1.85","2","19143","1","1","2","3","4","1.84","1.86","1","4","2","2"
"2009","","","","","","","","","","","","","",""
"2010","1.39","1","7306","1","1","2","2","3","1.38","1.4","1","4","1","1"
"2011","","","","","","","","","","","","","",""
"2012","1.85","2","27381","1","1","2","3","4","1.84","1.86","1","4","1","1"
"2013","","","","","","","","","","","","","",""
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","1.81","2","24118","1","1","2","3","4","1.8","1.82","1","4","1","1"
