"plh0215","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","128","0.0470121581005477","0.0393662695692852","0.0546580466318103","1"
"1 Strongly disagree","2005","(Married) couple without C. ","267","0.0435152780987301","0.03872747936641","0.0483030768310502","1"
"1 Strongly disagree","2005","Single parent ","30","0.0293078167903111","0.0193312888968143","0.039284344683808","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","46","0.014488205537999","0.0106405853281771","0.0183358257478208","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","76","0.0215253540853776","0.0168107270781894","0.0262399810925658","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","35","0.0227473220763072","0.0156598362513045","0.02983480790131","1"
"2 on scale 1-7 ","2005","Single parent ","45","0.0484103091960361","0.0357150751038838","0.0611055432881883","2"
"2 on scale 1-7 ","2005","1-pers.-HH","205","0.0727260135069663","0.0633454675061842","0.0821065595077483","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","72","0.0427504968751962","0.0331342237794823","0.0523667699709101","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","420","0.0634868280738756","0.0577644737593866","0.0692091823883646","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","150","0.0391096619918994","0.0328675302638139","0.0453517937199848","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","143","0.0414318406259151","0.0349577911743155","0.0479058900775147","2"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","436","0.133967146261648","0.1229018324208","0.145032460102496","3"
"3 on scale 1-7 ","2005","1-pers.-HH","388","0.132324774371107","0.120084860326736","0.144564688415478","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","413","0.114194741343628","0.103953651774256","0.124435830913001","3"
"3 on scale 1-7 ","2005","Single parent ","154","0.144207104925369","0.12342810754561","0.164986102305129","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","898","0.135407014030724","0.127377256716761","0.143436771344687","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","180","0.116944488010961","0.101668563216203","0.13222041280572","3"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","456","0.25867431869053","0.237857957733675","0.279490679647385","4"
"4 on scale 1-7","2005","(Married) couple without C. ","1840","0.272647556020947","0.26219676313876","0.283098348903133","4"
"4 on scale 1-7","2005","Single parent ","287","0.245970605860536","0.220497455185043","0.27144375653603","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","970","0.262039470761881","0.247753909010269","0.276325032513493","4"
"4 on scale 1-7","2005","1-pers.-HH","799","0.276538156961491","0.260381015200847","0.292695298722134","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","1016","0.287529071505081","0.272955082420615","0.302103060589548","4"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","460","0.268745850077522","0.247672737583314","0.28981896257173","5"
