"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","Employed","direct migration background","2.85","3","3363","1","2","3","4","6","2.81","2.89","1","6","3","3"
"2016","Employed","indirect migration background","2.89","3","1149","1","2","3","4","6","2.83","2.95","1","6","3","3"
"2016","Employed","no migration background","2.82","3","11585","1","2","3","4","6","2.8","2.84","1","6","3","3"
"2016","Not Employed","direct migration background","2.89","3","1430","2","2","3","4","6","2.83","2.95","1","6","3","3"
"2016","Not Employed","indirect migration background","3.02","3","396","1","2","4","4","6","2.9","3.14","1","6","3","3"
"2016","Not Employed","no migration background","2.95","3","6266","2","2","3","4","6","2.93","2.97","1","6","3","3"
"2017","Employed","direct migration background","","","","","","","","","","","","","",""
"2017","Employed","indirect migration background","","","","","","","","","","","","","",""
"2017","Employed","no migration background","","","","","","","","","","","","","",""
"2017","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2017","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2017","Not Employed","no migration background","","","","","","","","","","","","","",""
"2018","Employed","direct migration background","2.85","3","3079","1","2","3","4","6","2.81","2.89","1","6","3","3"
"2018","Employed","indirect migration background","2.88","3","1303","1","2","3","5","6","2.81","2.95","1","6","3","3"
"2018","Employed","no migration background","2.81","3","13022","1","2","3","4","6","2.79","2.83","1","6","3","3"
"2018","Not Employed","direct migration background","2.98","3","1349","2","2","4","4","6","2.92","3.04","1","6","3","3"
"2018","Not Employed","indirect migration background","2.77","3","401","1","2","3","4","6","2.65","2.89","1","6","3","3"
"2018","Not Employed","no migration background","3","3","6482","2","2","3","4","6","2.98","3.02","1","6","3","3"
