"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","direct migration background","East Germany","3.21","3","350","2","2","4","6","6","3.07","3.35","1","6","3","3"
"2016","direct migration background","West Germany","2.85","3","4443","1","2","3","4","6","2.82","2.88","1","6","3","3"
"2016","indirect migration background","East Germany","3.09","3","107","2","2","4","4","6","2.88","3.3","1","6","3","3"
"2016","indirect migration background","West Germany","2.91","3","1438","1","2","3","4","6","2.85","2.97","1","6","3","3"
"2016","no migration background","East Germany","2.79","3","4585","1","2","3","4","6","2.76","2.82","1","6","3","3"
"2016","no migration background","West Germany","2.89","3","13266","2","2","3","4","6","2.87","2.91","1","6","3","3"
"2017","direct migration background","East Germany","","","","","","","","","","","","","",""
"2017","direct migration background","West Germany","","","","","","","","","","","","","",""
"2017","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2017","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2017","no migration background","East Germany","","","","","","","","","","","","","",""
"2017","no migration background","West Germany","","","","","","","","","","","","","",""
"2018","direct migration background","East Germany","2.83","3","346","1","2","4","5","6","2.69","2.97","1","6","3","3"
"2018","direct migration background","West Germany","2.9","3","4082","1","2","3","4","6","2.87","2.93","1","6","3","3"
"2018","indirect migration background","East Germany","2.7","3","121","1","2","3","4","5","2.49","2.91","1","6","2","3"
"2018","indirect migration background","West Germany","2.87","3","1583","1","2","3","4","6","2.81","2.93","1","6","3","3"
"2018","no migration background","East Germany","2.83","3","5021","1","2","3","4","6","2.8","2.86","1","6","3","3"
"2018","no migration background","West Germany","2.89","3","14483","2","2","3","4","6","2.87","2.91","1","6","3","3"
