"year","bula_h","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","Baden-Württemberg","2.96","3","2843","2","2","3","4","6","2.92","3","1","6","3","3"
"2016","Bavaria","2.9","3","3882","2","2","3","4","6","2.87","2.93","1","6","3","3"
"2016","Berlin","3.11","3","900","2","2","4","5","6","3.03","3.19","1","6","3","3"
"2016","Brandenburg","2.86","3","944","2","2","3","4","5","2.8","2.92","1","6","3","3"
"2016","Bremen","2.84","3","176","1","2","3","4","6","2.67","3.01","1","6","3","3"
"2016","Hamburg","2.92","3","425","2","2","3","4","6","2.82","3.02","1","6","3","3"
"2016","Hesse","2.84","3","1609","2","2","3","4","6","2.79","2.89","1","6","3","3"
"2016","Lower Saxony","2.75","3","2366","1","2","3","4","6","2.71","2.79","1","6","3","3"
"2016","Mecklenburg-Western Pomerania","2.55","3","522","1","2","3","4","6","2.46","2.64","1","6","3","3"
"2016","North Rhine-Westphalia","2.88","3","5034","2","2","3","4","6","2.85","2.91","1","6","3","3"
"2016","Rhineland-Palatinate,Saarland","2.89","3","1483","2","2","3","4","6","2.84","2.94","1","6","3","3"
"2016","Saxony","2.83","3","1458","2","2","3","4","6","2.78","2.88","1","6","3","3"
"2016","Saxony-Anhalt","2.76","3","828","1","2","3","4","6","2.69","2.83","1","6","3","3"
"2016","Schleswig-Holstein","2.86","3","816","2","2","3","4","6","2.79","2.93","1","6","3","3"
"2016","Thuringia","2.78","3","903","1","2","3","4","6","2.71","2.85","1","6","3","3"
"2017","Baden-Württemberg","","","","","","","","","","","","","",""
"2017","Bavaria","","","","","","","","","","","","","",""
"2017","Berlin","","","","","","","","","","","","","",""
"2017","Brandenburg","","","","","","","","","","","","","",""
"2017","Bremen","","","","","","","","","","","","","",""
"2017","Hamburg","","","","","","","","","","","","","",""
"2017","Hesse","","","","","","","","","","","","","",""
"2017","Lower Saxony","","","","","","","","","","","","","",""
"2017","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"2017","North Rhine-Westphalia","","","","","","","","","","","","","",""
"2017","Rhineland-Palatinate,Saarland","","","","","","","","","","","","","",""
"2017","Saxony","","","","","","","","","","","","","",""
"2017","Saxony-Anhalt","","","","","","","","","","","","","",""
"2017","Schleswig-Holstein","","","","","","","","","","","","","",""
"2017","Thuringia","","","","","","","","","","","","","",""
"2018","Baden-Württemberg","2.97","3","2784","2","2","3","4","6","2.93","3.01","1","6","3","3"
"2018","Bavaria","2.9","3","3984","2","2","3","4","6","2.87","2.93","1","6","3","3"
"2018","Berlin","3.11","3","994","2","2","4","5","6","3.03","3.19","1","6","3","3"
"2018","Brandenburg","2.8","3","1031","1","2","3","4","6","2.74","2.86","1","6","3","3"
"2018","Bremen","3.15","3","226","2","3","4","5","6","2.99","3.31","1","6","3","3"
"2018","Hamburg","3.12","3","488","2","3","4","4","6","3.02","3.22","1","6","3","3"
"2018","Hesse","2.77","3","1703","1","2","3","4","6","2.72","2.82","1","6","3","3"
"2018","Lower Saxony","2.76","3","2530","1","2","3","4","6","2.72","2.8","1","6","3","3"
"2018","Mecklenburg-Western Pomerania","2.81","3","594","1","2","3","4","6","2.73","2.89","1","6","3","3"
"2018","North Rhine-Westphalia","2.88","3","5418","1","2","3","4","6","2.85","2.91","1","6","3","3"
"2018","Rhineland-Palatinate,Saarland","2.94","3","1487","2","2","3","4","6","2.89","2.99","1","6","3","3"
"2018","Saxony","2.82","3","1623","1","2","3","4","6","2.77","2.87","1","6","3","3"
"2018","Saxony-Anhalt","2.74","3","911","1","2","3","4","6","2.67","2.81","1","6","3","3"
"2018","Schleswig-Holstein","2.74","3","923","1","2","3","4","6","2.67","2.81","1","6","3","3"
"2018","Thuringia","2.81","3","940","1","2","3","4","6","2.74","2.88","1","6","3","3"
