"ple0018","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","(0) in school","2","","",""
"Yes","2009","16-34 y.","(1a) inadequately completed","","","",""
"Yes","2009","16-34 y.","(1b) general elementary school","10","","",""
"Yes","2009","16-34 y.","(1c) basic vocational qualification","13","","",""
"Yes","2009","16-34 y.","(2b) intermediate general qualification","11","","",""
"Yes","2009","16-34 y.","(2a) intermediate vocational","32","1","1","1"
"Yes","2009","16-34 y.","(2c_gen) general maturity certificate","11","","",""
"Yes","2009","16-34 y.","(2c_voc) vocational maturity certificate","12","","",""
"Yes","2009","16-34 y.","(3a) lower tertiary education","4","","",""
"Yes","2009","16-34 y.","(3b) higher tertiary education","5","","",""
"Yes","2009","35-65 y.","(0) in school","","","",""
"Yes","2009","35-65 y.","(1a) inadequately completed","21","","",""
"Yes","2009","35-65 y.","(1b) general elementary school","129","1","1","1"
"Yes","2009","35-65 y.","(1c) basic vocational qualification","670","1","1","1"
"Yes","2009","35-65 y.","(2b) intermediate general qualification","13","","",""
"Yes","2009","35-65 y.","(2a) intermediate vocational","642","1","1","1"
"Yes","2009","35-65 y.","(2c_gen) general maturity certificate","15","","",""
"Yes","2009","35-65 y.","(2c_voc) vocational maturity certificate","137","1","1","1"
"Yes","2009","35-65 y.","(3a) lower tertiary education","237","1","1","1"
"Yes","2009","35-65 y.","(3b) higher tertiary education","290","1","1","1"
"Yes","2009","66 and older","(0) in school","","","",""
"Yes","2009","66 and older","(1a) inadequately completed","30","1","1","1"
"Yes","2009","66 and older","(1b) general elementary school","312","1","1","1"
"Yes","2009","66 and older","(1c) basic vocational qualification","897","1","1","1"
"Yes","2009","66 and older","(2b) intermediate general qualification","17","","",""
"Yes","2009","66 and older","(2a) intermediate vocational","235","1","1","1"
"Yes","2009","66 and older","(2c_gen) general maturity certificate","10","","",""
"Yes","2009","66 and older","(2c_voc) vocational maturity certificate","68","1","1","1"
"Yes","2009","66 and older","(3a) lower tertiary education","179","1","1","1"
"Yes","2009","66 and older","(3b) higher tertiary education","231","1","1","1"
"Yes","2010","16-34 y.","(0) in school","","","",""
"Yes","2010","16-34 y.","(1a) inadequately completed","","","",""
"Yes","2010","16-34 y.","(1b) general elementary school","","","",""
"Yes","2010","16-34 y.","(1c) basic vocational qualification","","","",""
"Yes","2010","16-34 y.","(2b) intermediate general qualification","","","",""
"Yes","2010","16-34 y.","(2a) intermediate vocational","","","",""
"Yes","2010","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2010","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","16-34 y.","(3a) lower tertiary education","","","",""
"Yes","2010","16-34 y.","(3b) higher tertiary education","","","",""
"Yes","2010","35-65 y.","(0) in school","","","",""
"Yes","2010","35-65 y.","(1a) inadequately completed","","","",""
"Yes","2010","35-65 y.","(1b) general elementary school","","","",""
"Yes","2010","35-65 y.","(1c) basic vocational qualification","","","",""
"Yes","2010","35-65 y.","(2b) intermediate general qualification","","","",""
"Yes","2010","35-65 y.","(2a) intermediate vocational","","","",""
"Yes","2010","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2010","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","35-65 y.","(3a) lower tertiary education","","","",""
"Yes","2010","35-65 y.","(3b) higher tertiary education","","","",""
"Yes","2010","66 and older","(0) in school","","","",""
"Yes","2010","66 and older","(1a) inadequately completed","","","",""
"Yes","2010","66 and older","(1b) general elementary school","","","",""
"Yes","2010","66 and older","(1c) basic vocational qualification","","","",""
"Yes","2010","66 and older","(2b) intermediate general qualification","","","",""
"Yes","2010","66 and older","(2a) intermediate vocational","","","",""
"Yes","2010","66 and older","(2c_gen) general maturity certificate","","","",""
"Yes","2010","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","66 and older","(3a) lower tertiary education","","","",""
"Yes","2010","66 and older","(3b) higher tertiary education","","","",""
"Yes","2011","16-34 y.","(0) in school","2","","",""
"Yes","2011","16-34 y.","(1a) inadequately completed","","","",""
"Yes","2011","16-34 y.","(1b) general elementary school","15","","",""
