"ple0018","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","1-pers.-HH","24","","",""
"Yes","2009","Schleswig-Holstein","(Married) couple without C. ","63","0.279888334956155","0.219878672578404","0.339897997333906"
"Yes","2009","Schleswig-Holstein","Single parent ","5","","",""
"Yes","2009","Schleswig-Holstein","Couple + C. LE 16 ","13","","",""
"Yes","2009","Schleswig-Holstein","Couple + C. GT 16 ","18","","",""
"Yes","2009","Schleswig-Holstein","Couple + C. LE and GT 16","4","","",""
"Yes","2009","Hamburg","1-pers.-HH","21","","",""
"Yes","2009","Hamburg","(Married) couple without C. ","29","","",""
"Yes","2009","Hamburg","Single parent ","1","","",""
"Yes","2009","Hamburg","Couple + C. LE 16 ","1","","",""
"Yes","2009","Hamburg","Couple + C. GT 16 ","4","","",""
"Yes","2009","Hamburg","Couple + C. LE and GT 16","4","","",""
"Yes","2009","Lower Saxony","1-pers.-HH","69","0.299435878745159","0.242317551728942","0.356554205761375"
"Yes","2009","Lower Saxony","(Married) couple without C. ","219","0.339736234459651","0.302605140128843","0.376867328790459"
"Yes","2009","Lower Saxony","Single parent ","7","","",""
"Yes","2009","Lower Saxony","Couple + C. LE 16 ","35","0.134881442646774","0.0957678060853351","0.173995079208213"
"Yes","2009","Lower Saxony","Couple + C. GT 16 ","59","0.186463083975908","0.13956984642108","0.233356321530737"
"Yes","2009","Lower Saxony","Couple + C. LE and GT 16","20","","",""
"Yes","2009","Bremen","1-pers.-HH","4","","",""
"Yes","2009","Bremen","(Married) couple without C. ","16","","",""
"Yes","2009","Bremen","Single parent ","3","","",""
"Yes","2009","Bremen","Couple + C. LE 16 ","","","",""
"Yes","2009","Bremen","Couple + C. GT 16 ","1","","",""
"Yes","2009","Bremen","Couple + C. LE and GT 16","2","","",""
"Yes","2009","North Rhine-Westphalia","1-pers.-HH","166","0.29659246479386","0.258280419767972","0.334904509819747"
"Yes","2009","North Rhine-Westphalia","(Married) couple without C. ","431","0.318183289144478","0.293179517700425","0.343187060588532"
"Yes","2009","North Rhine-Westphalia","Single parent ","22","","",""
