"ple0018","year","e11102","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","2481","0.366999267089807","0.355610188840459","0.378388345339155"
"Yes","2009","Employed","1773","0.152611743421451","0.145965377488111","0.159258109354791"
"No","2009","Not Employed","4399","0.633000732910193","0.621611654660845","0.644389811159541"
"No","2009","Employed","9473","0.847388256578549","0.840741890645209","0.854034622511889"
"Yes","2010","Not Employed","","","",""
"Yes","2010","Employed","","","",""
"No","2010","Not Employed","","","",""
"No","2010","Employed","","","",""
"Yes","2011","Not Employed","3034","0.397392434478711","0.386765623018653","0.408019245938769"
"Yes","2011","Employed","2175","0.168922475490682","0.16240961950796","0.175435331473404"
"No","2011","Not Employed","5112","0.602607565521289","0.591980754061231","0.613234376981347"
"No","2011","Employed","10539","0.831077524509318","0.824564668526596","0.83759038049204"
"Yes","2012","Not Employed","","","",""
"Yes","2012","Employed","","","",""
"No","2012","Not Employed","","","",""
"No","2012","Employed","","","",""
"Yes","2013","Not Employed","3134","0.443281230906615","0.431944306777661","0.454618155035569"
"Yes","2013","Employed","2313","0.202080754768365","0.194771810300246","0.209389699236483"
"No","2013","Not Employed","4242","0.556718769093385","0.545381844964431","0.568055693222339"
"No","2013","Employed","9282","0.797919245231635","0.790610300763517","0.805228189699754"
"Yes","2014","Not Employed","","","",""
"Yes","2014","Employed","","","",""
"No","2014","Not Employed","","","",""
"No","2014","Employed","","","",""
"Yes","2015","Not Employed","3162","0.422028940373525","0.411533901833222","0.432523978913828"
"Yes","2015","Employed","2814","0.188524835964128","0.182586108494021","0.194463563434235"
"No","2015","Not Employed","5345","0.577971059626475","0.567476021086172","0.588466098166778"
"No","2015","Employed","13849","0.811475164035872","0.805536436565765","0.817413891505979"
"Yes","2016","Not Employed","","","",""
"Yes","2016","Employed","","","",""
"No","2016","Not Employed","","","",""
"No","2016","Employed","","","",""
"Yes","2017","Not Employed","3195","0.41577810513367","0.405382212365461","0.426173997901879"
"Yes","2017","Employed","3275","0.194397444525358","0.188630490289951","0.200164398760766"
"No","2017","Not Employed","5439","0.58422189486633","0.573826002098121","0.594617787634539"
"No","2017","Employed","14814","0.805602555474642","0.799835601239234","0.81136950971005"
"Yes","2018","Not Employed","","","",""
"Yes","2018","Employed","","","",""
"No","2018","Not Employed","","","",""
"No","2018","Employed","","","",""
"Yes","2019","Not Employed","3196","0.423352032213203","0.412606626796013","0.434097437630393"
"Yes","2019","Employed","3482","0.199667390705493","0.193787897501948","0.205546883909038"
"No","2019","Not Employed","4926","0.576647967786797","0.565902562369607","0.587393373203987"
"No","2019","Employed","14276","0.800332609294507","0.794453116090962","0.806212102498052"
