"ple0018","year","n","percent","lower_confidence","upper_confidence","value"
"No","2009","13872","0.765313317311588","0.759143661144634","0.771482973478542","2"
"Yes","2009","4254","0.234686682688412","0.228517026521458","0.240856338855366","1"
"No","2010","","","","","2"
"Yes","2010","","","","","1"
"No","2011","15651","0.742297295313344","0.736362040534503","0.748232550092185","2"
"Yes","2011","5209","0.257702704686656","0.251767449907815","0.263637959465497","1"
"No","2012","","","","","2"
"Yes","2012","","","","","1"
"No","2013","13524","0.701639512157503","0.695128767664744","0.708150256650263","2"
"Yes","2013","5447","0.298360487842497","0.291849743349737","0.304871232335256","1"
"No","2014","","","","","2"
"Yes","2014","","","","","1"
"No","2015","19194","0.725055689367229","0.719539812861141","0.730571565873317","2"
"Yes","2015","5976","0.274944310632771","0.269428434126683","0.280460187138859","1"
"No","2016","","","","","2"
"Yes","2016","","","","","1"
"No","2017","20253","0.72636271486283","0.721017441833823","0.731707987891837","2"
"Yes","2017","6470","0.27363728513717","0.268292012108163","0.278982558166177","1"
"No","2018","","","","","2"
"Yes","2018","","","","","1"
"No","2019","19202","0.721767981655979","0.716308287506467","0.727227675805491","2"
"Yes","2019","6678","0.278232018344021","0.272772324194509","0.283691712493533","1"
