"ple0018","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Berlin","Not Working","151","0.580731475932006","0.519194885856557","0.642268066007455","2"
"No","2009","Berlin","Part Time","137","0.839859010786017","0.784567407261247","0.895150614310786","2"
"No","2009","Lower Saxony","Part Time","344","0.820165984127568","0.783436887755253","0.856895080499883","2"
"No","2009","Lower Saxony","Full Time","474","0.829372549303503","0.798940701733556","0.85980439687345","2"
"No","2009","Schleswig-Holstein","Not Working","141","0.669722763586639","0.607290842963359","0.732154684209919","2"
"No","2009","Hamburg","Full Time","96","0.895230477478845","0.837998775637746","0.952462179319943","2"
"No","2009","Schleswig-Holstein","Part Time","101","0.764644597029382","0.691438857156931","0.837850336901833","2"
"No","2009","Schleswig-Holstein","Full Time","146","0.861378097041831","0.809280513575475","0.913475680508187","2"
"No","2009","Brandenburg","Full Time","237","0.853637507297881","0.812955653451659","0.894319361144103","2"
"No","2009","Brandenburg","Part Time","119","0.779603568186125","0.713488750300682","0.845718386071568","2"
"No","2009","Brandenburg","Not Working","214","0.630890832243121","0.580621746770871","0.681159917715371","2"
"No","2009","Mecklenburg-Western Pomerania","Full Time","154","0.732518641512188","0.669907218061471","0.795130064962905","2"
"No","2009","Mecklenburg-Western Pomerania","Not Working","113","0.592172143255408","0.523196903991901","0.661147382518915","2"
"No","2009","Saxony","Full Time","469","0.831139993305644","0.800625279545227","0.861654707066061","2"
"No","2009","Saxony","Part Time","215","0.818468258167016","0.772146559107143","0.864789957226889","2"
"No","2009","Saxony","Not Working","306","0.581380139863895","0.539340376269817","0.623419903457973","2"
"No","2009","Hamburg","Part Time","47","0.833173624008376","0.73373586564863","0.932611382368123","2"
"No","2009","Hamburg","Not Working","68","0.55622137223157","0.46208374887109","0.650358995592051","2"
"No","2009","Lower Saxony","Not Working","410","0.603820931300619","0.565928022096738","0.641713840504499","2"
"No","2009","Bremen","Full Time","32","0.98476759840614","0.942980502777792","1.02655469403449","2"
"No","2009","Bremen","Part Time","28","","","","2"
"No","2009","Bavaria","Part Time","563","0.822061064783252","0.793101087090183","0.851021042476322","2"
"No","2009","Bavaria","Not Working","605","0.642528809469663","0.611509634027877","0.673547984911448","2"
"No","2009","Berlin","Full Time","228","0.852332242604082","0.810015375516391","0.894649109691773","2"
"No","2009","Mecklenburg-Western Pomerania","Part Time","74","0.834011341857672","0.756711559149464","0.91131112456588","2"
"No","2009","Saxony-Anhalt","Full Time","261","0.796798165656896","0.75305155757635","0.840544773737443","2"
"No","2009","Saxony-Anhalt","Part Time","118","0.774142197853675","0.706082187740352","0.842202207966998","2"
"No","2009","Saxony-Anhalt","Not Working","163","0.574492934345529","0.518730676096993","0.630255192594065","2"
"No","2009","Bremen","Not Working","34","0.64545256089616","0.516663345698105","0.774241776094215","2"
"No","2009","North Rhine-Westphalia","Full Time","1183","0.868269464246195","0.850308484208021","0.88623044428437","2"
"No","2009","North Rhine-Westphalia","Part Time","755","0.864564116063324","0.841994029977455","0.887134202149193","2"
"No","2009","North Rhine-Westphalia","Not Working","901","0.648012195000752","0.622994950605247","0.673029439396257","2"
"No","2009","Hesse","Full Time","404","0.841831634222964","0.809653782132335","0.874009486313594","2"
"No","2009","Hesse","Part Time","275","0.851930141797586","0.812520170704648","0.891340112890524","2"
"No","2009","Hesse","Not Working","273","0.606643954209818","0.5599260558476","0.653361852572036","2"
"No","2009","Rhineland-Palatinate,Saarland","Full Time","319","0.827721120219267","0.789902407510623","0.865539832927911","2"
"No","2009","Rhineland-Palatinate,Saarland","Part Time","211","0.864710589088395","0.821969279083807","0.907451899092984","2"
"No","2009","Rhineland-Palatinate,Saarland","Not Working","271","0.668136429386226","0.621875013400242","0.71439784537221","2"
"No","2009","Baden-Württemberg","Full Time","760","0.853738766706642","0.830351718486586","0.877125814926698","2"
"No","2009","Baden-Württemberg","Part Time","438","0.854660103745685","0.823859924991024","0.885460282500347","2"
"No","2009","Baden-Württemberg","Not Working","523","0.68830812967514","0.654890618870818","0.721725640479462","2"
"No","2009","Bavaria","Full Time","893","0.875577743238528","0.85552752425935","0.895627962217707","2"
"No","2009","Thuringia","Full Time","252","0.860350830528421","0.821257597409572","0.89944406364727","2"
"No","2009","Thuringia","Part Time","140","0.89578350497392","0.848587535121088","0.942979474826751","2"
"No","2009","Thuringia","Not Working","226","0.623117833783226","0.573197016135118","0.673038651431335","2"
"Yes","2009","Schleswig-Holstein","Full Time","23","","","","1"
"Yes","2009","Schleswig-Holstein","Part Time","28","","","","1"
"Yes","2009","Schleswig-Holstein","Not Working","77","0.330277236413361","0.267845315790081","0.39270915703664","1"
"Yes","2009","Hamburg","Full Time","14","","","","1"
"Yes","2009","Hamburg","Part Time","7","","","","1"
"Yes","2009","Hamburg","Not Working","39","0.44377862776843","0.349641004407949","0.53791625112891","1"
"Yes","2009","Lower Saxony","Full Time","113","0.170627450696497","0.14019560312655","0.201059298266444","1"
"Yes","2009","Lower Saxony","Part Time","76","0.179834015872432","0.143104919500117","0.216563112244747","1"
"Yes","2009","Lower Saxony","Not Working","230","0.396179068699381","0.358286159495501","0.434071977903262","1"
"Yes","2009","Bremen","Full Time","1","","","","1"
"Yes","2009","Bremen","Part Time","6","","","","1"
"Yes","2009","Bremen","Not Working","19","","","","1"
"Yes","2009","North Rhine-Westphalia","Full Time","179","0.131730535753805","0.11376955571563","0.149691515791979","1"
"Yes","2009","North Rhine-Westphalia","Part Time","128","0.135435883936676","0.112865797850807","0.158005970022545","1"
"Yes","2009","North Rhine-Westphalia","Not Working","499","0.351987804999248","0.326970560603743","0.377005049394752","1"
"Yes","2009","Hesse","Full Time","90","0.158168365777036","0.125990513686406","0.190346217867665","1"
"Yes","2009","Hesse","Part Time","37","0.148069858202414","0.108659887109476","0.187479829295352","1"
"Yes","2009","Hesse","Not Working","147","0.393356045790182","0.346638147427964","0.4400739441524","1"
"Yes","2009","Rhineland-Palatinate,Saarland","Full Time","64","0.172278879780733","0.134460167072089","0.210097592489377","1"
"Yes","2009","Rhineland-Palatinate,Saarland","Part Time","35","0.135289410911605","0.0925481009070156","0.178030720916193","1"
"Yes","2009","Rhineland-Palatinate,Saarland","Not Working","127","0.331863570613774","0.28560215462779","0.378124986599758","1"
"Yes","2009","Baden-Württemberg","Full Time","117","0.146261233293358","0.122874185073302","0.169648281513414","1"
"Yes","2009","Baden-Württemberg","Part Time","65","0.145339896254315","0.114539717499653","0.176140075008976","1"
"Yes","2009","Baden-Württemberg","Not Working","215","0.31169187032486","0.278274359520538","0.345109381129182","1"
"Yes","2009","Bavaria","Full Time","148","0.124422256761472","0.104372037782293","0.14447247574065","1"
"Yes","2009","Bavaria","Part Time","107","0.177938935216748","0.148978957523678","0.206898912909817","1"
"Yes","2009","Bavaria","Not Working","312","0.357471190530337","0.326452015088552","0.388490365972123","1"
"Yes","2009","Berlin","Full Time","42","0.147667757395918","0.105350890308227","0.189984624483609","1"
"Yes","2009","Berlin","Part Time","32","0.160140989213983","0.104849385689214","0.215432592738753","1"
"Yes","2009","Berlin","Not Working","96","0.419268524067994","0.357731933992545","0.480805114143443","1"
"Yes","2009","Brandenburg","Full Time","53","0.146362492702119","0.105680638855897","0.187044346548341","1"
"Yes","2009","Brandenburg","Part Time","32","0.220396431813875","0.154281613928432","0.286511249699318","1"
"Yes","2009","Brandenburg","Not Working","140","0.369109167756879","0.318840082284629","0.419378253229129","1"
"Yes","2009","Mecklenburg-Western Pomerania","Full Time","38","0.267481358487812","0.204869935037095","0.330092781938529","1"
"Yes","2009","Mecklenburg-Western Pomerania","Part Time","15","","","","1"
"Yes","2009","Mecklenburg-Western Pomerania","Not Working","82","0.407827856744592","0.338852617481085","0.476803096008099","1"
"Yes","2009","Saxony","Full Time","110","0.168860006694356","0.138345292933939","0.199374720454773","1"
"Yes","2009","Saxony","Part Time","51","0.181531741832984","0.135210042773111","0.227853440892857","1"
