"ple0018","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Urban Area","9247","0.774916305529998","0.767401887763752","0.782430723296244","2"
"No","2009","Rural Area","4625","0.744813201839793","0.734013451677281","0.755612952002305","2"
"Yes","2009","Urban Area","2619","0.225083694470002","0.217569276703757","0.232598112236248","1"
"Yes","2009","Rural Area","1635","0.255186798160207","0.244387047997695","0.265986548322719","1"
"No","2010","Urban Area","","","","","2"
"No","2010","Rural Area","","","","","2"
"Yes","2010","Urban Area","","","","","1"
"Yes","2010","Rural Area","","","","","1"
"No","2011","Urban Area","10362","0.751649631428284","0.744387190015131","0.758912072841436","2"
"No","2011","Rural Area","5289","0.722161585316839","0.711860724696763","0.732462445936915","2"
"Yes","2011","Urban Area","3234","0.248350368571716","0.241087927158563","0.255612809984869","1"
"Yes","2011","Rural Area","1975","0.277838414683161","0.267537554063085","0.288139275303237","1"
"No","2012","Urban Area","","","","","2"
"No","2012","Rural Area","","","","","2"
"Yes","2012","Urban Area","","","","","1"
"Yes","2012","Rural Area","","","","","1"
"No","2013","Urban Area","8992","0.715767578588279","0.707791611937957","0.723743545238601","2"
"No","2013","Rural Area","4532","0.672853975581222","0.661608025801398","0.684099925361046","2"
"Yes","2013","Urban Area","3293","0.284232421411721","0.276256454761399","0.292208388062043","1"
"Yes","2013","Rural Area","2154","0.327146024418778","0.315900074638954","0.338391974198602","1"
"No","2014","Urban Area","","","","","2"
"No","2014","Rural Area","","","","","2"
"Yes","2014","Urban Area","","","","","1"
"Yes","2014","Rural Area","","","","","1"
"No","2015","Urban Area","12781","0.735641983823105","0.728899101371434","0.742384866274775","2"
"No","2015","Rural Area","6413","0.702167632339855","0.692579730671333","0.711755534008377","2"
"Yes","2015","Urban Area","3650","0.264358016176895","0.257615133725225","0.271100898628566","1"
"Yes","2015","Rural Area","2326","0.297832367660145","0.288244465991623","0.307420269328668","1"
"No","2016","Urban Area","","","","","2"
"No","2016","Rural Area","","","","","2"
"Yes","2016","Urban Area","","","","","1"
"Yes","2016","Rural Area","","","","","1"
"No","2017","Urban Area","13353","0.743090117698454","0.736573826302746","0.749606409094162","2"
"No","2017","Rural Area","6900","0.689812394548002","0.680487070086985","0.699137719009019","2"
"Yes","2017","Urban Area","3918","0.256909882301546","0.250393590905838","0.263426173697254","1"
"Yes","2017","Rural Area","2552","0.310187605451998","0.300862280990981","0.319512929913015","1"
"No","2018","Urban Area","","","","","2"
"No","2018","Rural Area","","","","","2"
"Yes","2018","Urban Area","","","","","1"
"Yes","2018","Rural Area","","","","","1"
"No","2019","Urban Area","11677","0.735135448052039","0.72818337491723","0.742087521186848","2"
"No","2019","Rural Area","6360","0.688935757851057","0.679307857992359","0.698563657709754","2"
"Yes","2019","Urban Area","3799","0.264864551947961","0.257912478813152","0.27181662508277","1"
"Yes","2019","Rural Area","2521","0.311064242148943","0.301436342290246","0.320692142007641","1"
