"ple0018","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","1983","1","1","1"
"Yes","2009","secondary school degree","1128","1","1","1"
"Yes","2009","college entrance qualification","862","1","1","1"
"Yes","2009","Other degree","205","1","1","1"
"Yes","2009","no degree/no degree yet","53","1","1","1"
"Yes","2010","lower secondary degree","","","",""
"Yes","2010","secondary school degree","","","",""
"Yes","2010","college entrance qualification","","","",""
"Yes","2010","Other degree","","","",""
"Yes","2010","no degree/no degree yet","","","",""
"Yes","2011","lower secondary degree","2341","1","1","1"
"Yes","2011","secondary school degree","1428","1","1","1"
"Yes","2011","college entrance qualification","1034","1","1","1"
"Yes","2011","Other degree","296","1","1","1"
"Yes","2011","no degree/no degree yet","75","1","1","1"
"Yes","2012","lower secondary degree","","","",""
"Yes","2012","secondary school degree","","","",""
"Yes","2012","college entrance qualification","","","",""
"Yes","2012","Other degree","","","",""
"Yes","2012","no degree/no degree yet","","","",""
"Yes","2013","lower secondary degree","2295","1","1","1"
"Yes","2013","secondary school degree","1586","1","1","1"
"Yes","2013","college entrance qualification","1162","1","1","1"
"Yes","2013","Other degree","296","1","1","1"
"Yes","2013","no degree/no degree yet","66","1","1","1"
"Yes","2014","lower secondary degree","","","",""
"Yes","2014","secondary school degree","","","",""
"Yes","2014","college entrance qualification","","","",""
"Yes","2014","Other degree","","","",""
"Yes","2014","no degree/no degree yet","","","",""
"Yes","2015","lower secondary degree","2239","1","1","1"
"Yes","2015","secondary school degree","1780","1","1","1"
"Yes","2015","college entrance qualification","1261","1","1","1"
"Yes","2015","Other degree","519","1","1","1"
"Yes","2015","no degree/no degree yet","102","1","1","1"
"Yes","2016","lower secondary degree","","","",""
"Yes","2016","secondary school degree","","","",""
"Yes","2016","college entrance qualification","","","",""
"Yes","2016","Other degree","","","",""
"Yes","2016","no degree/no degree yet","","","",""
"Yes","2017","lower secondary degree","2150","1","1","1"
"Yes","2017","secondary school degree","2071","1","1","1"
"Yes","2017","college entrance qualification","1463","1","1","1"
"Yes","2017","Other degree","584","1","1","1"
"Yes","2017","no degree/no degree yet","123","1","1","1"
"Yes","2018","lower secondary degree","","","",""
"Yes","2018","secondary school degree","","","",""
"Yes","2018","college entrance qualification","","","",""
"Yes","2018","Other degree","","","",""
"Yes","2018","no degree/no degree yet","","","",""
"Yes","2019","lower secondary degree","2015","1","1","1"
"Yes","2019","secondary school degree","2198","1","1","1"
"Yes","2019","college entrance qualification","1687","1","1","1"
"Yes","2019","Other degree","545","1","1","1"
"Yes","2019","no degree/no degree yet","117","1","1","1"
