"ple0018","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","Not Employed","2047","0.525732678404253","0.510069233867299","0.541396122941207","2"
"No","2009","16-34 y.","Not Employed","1015","0.972811278598554","0.962922355306971","0.982700201890136","2"
"No","2009","16-34 y.","Employed","2881","0.966765425881468","0.960315645423703","0.973215206339234","2"
"No","2009","66 and older","Employed","190","0.566832654989582","0.512112401616243","0.621552908362921","2"
"No","2009","35-65 y.","Not Employed","1337","0.673734041452697","0.65285486291256","0.694613219992834","2"
"No","2009","35-65 y.","Employed","6402","0.806801801525338","0.798130836565742","0.815472766484934","2"
"Yes","2009","16-34 y.","Not Employed","24","","","","1"
"Yes","2009","16-34 y.","Employed","86","0.0332345741185319","0.0267847936607661","0.0396843545762976","1"
"Yes","2009","35-65 y.","Not Employed","600","0.326265958547303","0.305386780007166","0.34714513708744","1"
"Yes","2009","35-65 y.","Employed","1562","0.193198198474662","0.184527233515066","0.201869163434258","1"
"Yes","2009","66 and older","Not Employed","1857","0.474267321595747","0.458603877058793","0.489930766132701","1"
"Yes","2009","66 and older","Employed","125","0.433167345010418","0.378447091637079","0.487887598383757","1"
"No","2010","66 and older","Not Employed","","","","","2"
"No","2010","16-34 y.","Not Employed","","","","","2"
"No","2010","66 and older","Employed","","","","","2"
"No","2010","16-34 y.","Employed","","","","","2"
"No","2010","35-65 y.","Not Employed","","","","","2"
"No","2010","35-65 y.","Employed","","","","","2"
"Yes","2010","16-34 y.","Not Employed","","","","","1"
"Yes","2010","16-34 y.","Employed","","","","","1"
"Yes","2010","35-65 y.","Not Employed","","","","","1"
"Yes","2010","35-65 y.","Employed","","","","","1"
"Yes","2010","66 and older","Not Employed","","","","","1"
"Yes","2010","66 and older","Employed","","","","","1"
"No","2011","16-34 y.","Not Employed","1080","0.958036942687597","0.946252192344038","0.969821693031156","2"
"No","2011","66 and older","Not Employed","2520","0.517418207606989","0.503292267855307","0.531544147358671","2"
"No","2011","66 and older","Employed","222","0.562788007004725","0.513109657991703","0.612466356017748","2"
"No","2011","16-34 y.","Employed","3095","0.974158692810319","0.96865714673777","0.979660238882867","2"
"No","2011","35-65 y.","Not Employed","1512","0.645743031316876","0.62587855832611","0.665607504307642","2"
"No","2011","35-65 y.","Employed","7222","0.784158803239523","0.775722751650486","0.79259485482856","2"
"Yes","2011","16-34 y.","Not Employed","32","0.0419630573124031","0.0301783069688438","0.0537478076559625","1"
