"pli0082","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Urban Area","25","","",""
"Daily","1990","Rural Area","10","","",""
"Min 1x per week","1990","Urban Area","578","0.0860370791793946","0.0797172089823675","0.0923569493764217"
"Min 1x per week","1990","Rural Area","135","0.0730235747619545","0.0613433141687761","0.0847038353551329"
"Min 1x per month","1990","Urban Area","2356","0.328136517875822","0.317554491452695","0.338718544298948"
"Min 1x per month","1990","Rural Area","594","0.319338919418126","0.298408495331275","0.340269343504978"
"Rarely","1990","Urban Area","3638","0.475228000748884","0.463973211200376","0.486482790297392"
"Rarely","1990","Rural Area","973","0.508753388002632","0.486309913877932","0.531196862127331"
"Never","1990","Urban Area","966","0.107700318385405","0.100713734088514","0.114686902682296"
"Never","1990","Rural Area","194","0.0945403227759961","0.0814053329549413","0.107675312597051"
"Daily","1991","Urban Area","","","",""
"Daily","1991","Rural Area","","","",""
"Min 1x per week","1991","Urban Area","","","",""
"Min 1x per week","1991","Rural Area","","","",""
"Min 1x per month","1991","Urban Area","","","",""
"Min 1x per month","1991","Rural Area","","","",""
"Rarely","1991","Urban Area","","","",""
"Rarely","1991","Rural Area","","","",""
"Never","1991","Urban Area","","","",""
"Never","1991","Rural Area","","","",""
"Daily","1992","Urban Area","","","",""
"Daily","1992","Rural Area","","","",""
"Min 1x per week","1992","Urban Area","","","",""
"Min 1x per week","1992","Rural Area","","","",""
"Min 1x per month","1992","Urban Area","","","",""
"Min 1x per month","1992","Rural Area","","","",""
"Rarely","1992","Urban Area","","","",""
"Rarely","1992","Rural Area","","","",""
"Never","1992","Urban Area","","","",""
"Never","1992","Rural Area","","","",""
"Daily","1993","Urban Area","","","",""
"Daily","1993","Rural Area","","","",""
"Min 1x per week","1993","Urban Area","","","",""
"Min 1x per week","1993","Rural Area","","","",""
"Min 1x per month","1993","Urban Area","","","",""
"Min 1x per month","1993","Rural Area","","","",""
"Rarely","1993","Urban Area","","","",""
"Rarely","1993","Rural Area","","","",""
"Never","1993","Urban Area","","","",""
"Never","1993","Rural Area","","","",""
"Daily","1994","Urban Area","","","",""
"Daily","1994","Rural Area","","","",""
"Min 1x per week","1994","Urban Area","","","",""
"Min 1x per week","1994","Rural Area","","","",""
"Min 1x per month","1994","Urban Area","","","",""
"Min 1x per month","1994","Rural Area","","","",""
"Rarely","1994","Urban Area","","","",""
"Rarely","1994","Rural Area","","","",""
"Never","1994","Urban Area","","","",""
"Never","1994","Rural Area","","","",""
"Daily","1995","Urban Area","12","","",""
"Daily","1995","Rural Area","8","","",""
"Min 1x per week","1995","Urban Area","503","0.0634645367715414","0.0583797725522738","0.0685493009908091"
"Min 1x per week","1995","Rural Area","214","0.0549013818154854","0.0482102325995809","0.06159253103139"
"Min 1x per month","1995","Urban Area","2331","0.278613348132812","0.26926299185143","0.287963704414193"
"Min 1x per month","1995","Rural Area","1287","0.281129412468388","0.267924089934378","0.294334735002399"
"Rarely","1995","Urban Area","4775","0.522131396341145","0.51171332560342","0.532549467078869"
"Rarely","1995","Rural Area","2499","0.543243106277623","0.528610887684775","0.557875324870471"
"Never","1995","Urban Area","1210","0.134032588084426","0.126927014767988","0.141138161400863"
"Never","1995","Rural Area","444","0.118679364993661","0.109179332527284","0.128179397460038"
"Daily","1996","Urban Area","","","",""
"Daily","1996","Rural Area","","","",""
"Min 1x per week","1996","Urban Area","","","",""
"Min 1x per week","1996","Rural Area","","","",""
"Min 1x per month","1996","Urban Area","","","",""
"Min 1x per month","1996","Rural Area","","","",""
"Rarely","1996","Urban Area","","","",""
"Rarely","1996","Rural Area","","","",""
"Never","1996","Urban Area","","","",""
"Never","1996","Rural Area","","","",""
"Daily","1997","Urban Area","","","",""
"Daily","1997","Rural Area","","","",""
"Min 1x per week","1997","Urban Area","","","",""
"Min 1x per week","1997","Rural Area","","","",""
"Min 1x per month","1997","Urban Area","","","",""
"Min 1x per month","1997","Rural Area","","","",""
"Rarely","1997","Urban Area","","","",""
"Rarely","1997","Rural Area","","","",""
"Never","1997","Urban Area","","","",""
"Never","1997","Rural Area","","","",""
"Daily","1998","Urban Area","11","","",""
"Daily","1998","Rural Area","3","","",""
"Min 1x per week","1998","Urban Area","448","0.0506025307468379","0.0461623860632926","0.0550426754303832"
"Min 1x per week","1998","Rural Area","227","0.0497649139412374","0.04365054273766","0.0558792851448149"
"Min 1x per month","1998","Urban Area","2318","0.258804339608776","0.249931979112382","0.267676700105169"
"Min 1x per month","1998","Rural Area","1164","0.239302053072505","0.227305569162444","0.251298536982567"
"Rarely","1998","Urban Area","5555","0.577971724354232","0.567966863814959","0.587976584893505"
"Rarely","1998","Rural Area","2988","0.600823128843042","0.587053233239779","0.614593024446305"
"Never","1998","Urban Area","1029","0.111756174245624","0.105373703540015","0.118138644951233"
"Never","1998","Rural Area","477","0.10961485358639","0.100830732803852","0.118398974368928"
"Daily","1999","Urban Area","","","",""
"Daily","1999","Rural Area","","","",""
"Min 1x per week","1999","Urban Area","","","",""
"Min 1x per week","1999","Rural Area","","","",""
"Min 1x per month","1999","Urban Area","","","",""
"Min 1x per month","1999","Rural Area","","","",""
"Rarely","1999","Urban Area","","","",""
"Rarely","1999","Rural Area","","","",""
"Never","1999","Urban Area","","","",""
"Never","1999","Rural Area","","","",""
"Daily","2000","Urban Area","","","",""
"Daily","2000","Rural Area","","","",""
"Min 1x per week","2000","Urban Area","","","",""
"Min 1x per week","2000","Rural Area","","","",""
"Min 1x per month","2000","Urban Area","","","",""
"Min 1x per month","2000","Rural Area","","","",""
"Rarely","2000","Urban Area","","","",""
"Rarely","2000","Rural Area","","","",""
"Never","2000","Urban Area","","","",""
"Never","2000","Rural Area","","","",""
"Daily","2001","Urban Area","","","",""
"Daily","2001","Rural Area","","","",""
"Min 1x per week","2001","Urban Area","","","",""
"Min 1x per week","2001","Rural Area","","","",""
"Min 1x per month","2001","Urban Area","","","",""
"Min 1x per month","2001","Rural Area","","","",""
"Rarely","2001","Urban Area","","","",""
"Rarely","2001","Rural Area","","","",""
"Never","2001","Urban Area","","","",""
"Never","2001","Rural Area","","","",""
"Daily","2002","Urban Area","","","",""
"Daily","2002","Rural Area","","","",""
"Min 1x per week","2002","Urban Area","","","",""
"Min 1x per week","2002","Rural Area","","","",""
"Min 1x per month","2002","Urban Area","","","",""
"Min 1x per month","2002","Rural Area","","","",""
"Rarely","2002","Urban Area","","","",""
"Rarely","2002","Rural Area","","","",""
"Never","2002","Urban Area","","","",""
"Never","2002","Rural Area","","","",""
"Daily","2003","Urban Area","15","","",""
"Daily","2003","Rural Area","4","","",""
"Min 1x per week","2003","Urban Area","739","0.0476310365260996","0.0442055846134019","0.0510564884387974"
"Min 1x per week","2003","Rural Area","341","0.0434557426547677","0.0387848666334032","0.0481266186761321"
"Min 1x per month","2003","Urban Area","3870","0.244662405230171","0.237748484229681","0.251576326230661"
"Min 1x per month","2003","Rural Area","1784","0.229705058566233","0.22006818813188","0.239341929000586"
"Rarely","2003","Urban Area","8409","0.562048121607533","0.554068722477934","0.570027520737131"
"Rarely","2003","Rural Area","4377","0.595077196008208","0.583831276022269","0.606323115994146"
"Never","2003","Urban Area","1818","0.144373677346087","0.138720972368089","0.150026382324085"
"Never","2003","Rural Area","813","0.131208840740213","0.12347382034578","0.138943861134647"
"Daily","2004","Urban Area","","","",""
"Daily","2004","Rural Area","","","",""
"Min 1x per week","2004","Urban Area","","","",""
"Min 1x per week","2004","Rural Area","","","",""
"Min 1x per month","2004","Urban Area","","","",""
"Min 1x per month","2004","Rural Area","","","",""
"Rarely","2004","Urban Area","","","",""
"Rarely","2004","Rural Area","","","",""
"Never","2004","Urban Area","","","",""
"Never","2004","Rural Area","","","",""
"Daily","2005","Urban Area","","","",""
"Daily","2005","Rural Area","","","",""
"Min 1x per week","2005","Urban Area","","","",""
"Min 1x per week","2005","Rural Area","","","",""
"Min 1x per month","2005","Urban Area","","","",""
"Min 1x per month","2005","Rural Area","","","",""
"Rarely","2005","Urban Area","","","",""
"Rarely","2005","Rural Area","","","",""
"Never","2005","Urban Area","","","",""
"Never","2005","Rural Area","","","",""
"Daily","2006","Urban Area","","","",""
"Daily","2006","Rural Area","","","",""
"Min 1x per week","2006","Urban Area","","","",""
"Min 1x per week","2006","Rural Area","","","",""
"Min 1x per month","2006","Urban Area","","","",""
"Min 1x per month","2006","Rural Area","","","",""
"Rarely","2006","Urban Area","","","",""
"Rarely","2006","Rural Area","","","",""
"Never","2006","Urban Area","","","",""
"Never","2006","Rural Area","","","",""
"Daily","2007","Urban Area","","","",""
"Daily","2007","Rural Area","","","",""
"Min 1x per week","2007","Urban Area","","","",""
"Min 1x per week","2007","Rural Area","","","",""
"Min 1x per month","2007","Urban Area","","","",""
"Min 1x per month","2007","Rural Area","","","",""
"Rarely","2007","Urban Area","","","",""
"Rarely","2007","Rural Area","","","",""
"Never","2007","Urban Area","","","",""
"Never","2007","Rural Area","","","",""
"Daily","2008","Urban Area","10","","",""
"Daily","2008","Rural Area","4","","",""
"Min 1x per week","2008","Urban Area","367","0.0272683715862238","0.0244467214824202","0.0300900216900275"
"Min 1x per week","2008","Rural Area","188","0.0278985358083562","0.0239103632112529","0.0318867084054594"
"Min 1x per month","2008","Urban Area","2842","0.200600535776936","0.193662684132918","0.207538387420953"
"Min 1x per month","2008","Rural Area","1359","0.19799413284899","0.188343798190761","0.207644467507219"
"Rarely","2008","Urban Area","7677","0.598247046034448","0.589753347181198","0.606740744887698"
"Rarely","2008","Rural Area","3921","0.586755463138185","0.574830430608464","0.598680495667906"
"Never","2008","Urban Area","1902","0.172744399662193","0.166195039341069","0.179293759983317"
"Never","2008","Rural Area","1078","0.186925714497587","0.177484517082997","0.196366911912177"
"Daily","2009","Urban Area","","","",""
"Daily","2009","Rural Area","","","",""
"Min 1x per week","2009","Urban Area","","","",""
"Min 1x per week","2009","Rural Area","","","",""
"Min 1x per month","2009","Urban Area","","","",""
"Min 1x per month","2009","Rural Area","","","",""
"Rarely","2009","Urban Area","","","",""
"Rarely","2009","Rural Area","","","",""
"Never","2009","Urban Area","","","",""
"Never","2009","Rural Area","","","",""
"Daily","2010","Urban Area","","","",""
"Daily","2010","Rural Area","","","",""
"Min 1x per week","2010","Urban Area","","","",""
"Min 1x per week","2010","Rural Area","","","",""
"Min 1x per month","2010","Urban Area","","","",""
"Min 1x per month","2010","Rural Area","","","",""
"Rarely","2010","Urban Area","","","",""
"Rarely","2010","Rural Area","","","",""
"Never","2010","Urban Area","","","",""
"Never","2010","Rural Area","","","",""
"Daily","2011","Urban Area","","","",""
"Daily","2011","Rural Area","","","",""
"Min 1x per week","2011","Urban Area","","","",""
"Min 1x per week","2011","Rural Area","","","",""
"Min 1x per month","2011","Urban Area","","","",""
"Min 1x per month","2011","Rural Area","","","",""
"Rarely","2011","Urban Area","","","",""
"Rarely","2011","Rural Area","","","",""
"Never","2011","Urban Area","","","",""
"Never","2011","Rural Area","","","",""
"Daily","2012","Urban Area","","","",""
"Daily","2012","Rural Area","","","",""
"Min 1x per week","2012","Urban Area","","","",""
"Min 1x per week","2012","Rural Area","","","",""
"Min 1x per month","2012","Urban Area","","","",""
"Min 1x per month","2012","Rural Area","","","",""
"Rarely","2012","Urban Area","","","",""
"Rarely","2012","Rural Area","","","",""
"Never","2012","Urban Area","","","",""
"Never","2012","Rural Area","","","",""
"Daily","2013","Urban Area","21","","",""
"Daily","2013","Rural Area","14","","",""
"Min 1x per week","2013","Urban Area","750","0.0370624060627465","0.0341713778843456","0.0399534342411473"
"Min 1x per week","2013","Rural Area","400","0.0415936844557448","0.0375022693629952","0.0456850995484945"
"Min 1x per month","2013","Urban Area","4743","0.271219523206424","0.264415821140832","0.278023225272016"
"Min 1x per month","2013","Rural Area","2406","0.251264306188406","0.242376088535727","0.260152523841085"
"Rarely","2013","Urban Area","8829","0.54715769462223","0.539540129065746","0.554775260178715"
"Rarely","2013","Rural Area","5071","0.554684231590394","0.544499678888576","0.564868784292213"
"Never","2013","Urban Area","2060","0.143053460516379","0.137695339758199","0.148411581274559"
"Never","2013","Rural Area","1257","0.15096320401495","0.143626790174084","0.158299617855816"
"Daily","2014","Urban Area","","","",""
"Daily","2014","Rural Area","","","",""
"Min 1x per week","2014","Urban Area","","","",""
"Min 1x per week","2014","Rural Area","","","",""
"Min 1x per month","2014","Urban Area","","","",""
"Min 1x per month","2014","Rural Area","","","",""
"Rarely","2014","Urban Area","","","",""
"Rarely","2014","Rural Area","","","",""
"Never","2014","Urban Area","","","",""
"Never","2014","Rural Area","","","",""
"Daily","2015","Urban Area","","","",""
"Daily","2015","Rural Area","","","",""
"Min 1x per week","2015","Urban Area","","","",""
"Min 1x per week","2015","Rural Area","","","",""
"Min 1x per month","2015","Urban Area","","","",""
"Min 1x per month","2015","Rural Area","","","",""
"Rarely","2015","Urban Area","","","",""
"Rarely","2015","Rural Area","","","",""
"Never","2015","Urban Area","","","",""
"Never","2015","Rural Area","","","",""
"Daily","2016","Urban Area","","","",""
"Daily","2016","Rural Area","","","",""
"Min 1x per week","2016","Urban Area","","","",""
"Min 1x per week","2016","Rural Area","","","",""
"Min 1x per month","2016","Urban Area","","","",""
"Min 1x per month","2016","Rural Area","","","",""
"Rarely","2016","Urban Area","","","",""
"Rarely","2016","Rural Area","","","",""
"Never","2016","Urban Area","","","",""
"Never","2016","Rural Area","","","",""
"Daily","2017","Urban Area","54","0.0170345145722381","0.0130022040876933","0.021066825056783"
"Daily","2017","Rural Area","15","","",""
"Min 1x per week","2017","Urban Area","353","0.089654565155309","0.0807521208957342","0.0985570094148838"
"Min 1x per week","2017","Rural Area","114","0.0969150732080443","0.082304482568206","0.111525663847883"
"Min 1x per month","2017","Urban Area","631","0.152977122951613","0.141760018496071","0.164194227407155"
"Min 1x per month","2017","Rural Area","245","0.147919358526147","0.130386179444465","0.165452537607828"
"Rarely","2017","Urban Area","1270","0.311819411257854","0.297384213684685","0.326254608831024"
"Rarely","2017","Rural Area","550","0.316139266560303","0.293176148084499","0.339102385036106"
"Never","2017","Urban Area","1648","0.428514386062985","0.413093642896147","0.443935129229824"
"Never","2017","Rural Area","651","0.428472737841559","0.404033487228535","0.452911988454583"
"Daily","2018","Urban Area","62","0.0247022855355686","0.0189977476736471","0.0304068233974902"
"Daily","2018","Rural Area","24","","",""
"Min 1x per week","2018","Urban Area","481","0.184059253120129","0.169816582409814","0.198301923830444"
"Min 1x per week","2018","Rural Area","152","0.141585992396378","0.120138643715055","0.163033341077701"
"Min 1x per month","2018","Urban Area","711","0.249106699099977","0.233211531432357","0.265001866767597"
"Min 1x per month","2018","Rural Area","241","0.216784179146959","0.19143466804361","0.242133690250309"
"Rarely","2018","Urban Area","968","0.308195695236089","0.291225446448519","0.32516594402366"
"Rarely","2018","Rural Area","399","0.387412481959313","0.357442536944773","0.417382426973854"
"Never","2018","Urban Area","622","0.233936067008236","0.21837768627604","0.249494447740433"
"Never","2018","Rural Area","199","0.218723531277202","0.193292428305653","0.244154634248752"
"Daily","2019","Urban Area","113","0.00171966675073515","0.00111340374307517","0.00232592975839512"
"Daily","2019","Rural Area","40","0.00196339742648118","0.00108755791221111","0.00283923694075126"
"Min 1x per week","2019","Urban Area","1188","0.0452793750585576","0.0422370821206486","0.0483216679964666"
"Min 1x per week","2019","Rural Area","583","0.0478905590871803","0.0436656673859165","0.0521154507884442"
"Min 1x per month","2019","Urban Area","6200","0.326652472410075","0.319790084328927","0.333514860491223"
"Min 1x per month","2019","Rural Area","3203","0.293265388961737","0.284257857716028","0.302272920207446"
"Rarely","2019","Urban Area","8534","0.508581087287871","0.501266013669936","0.515896160905806"
"Rarely","2019","Rural Area","4856","0.52854602896486","0.518669411169545","0.538422646760175"
"Never","2019","Urban Area","1907","0.117767398492761","0.113050931963301","0.122483865022222"
"Never","2019","Rural Area","1131","0.128334625559741","0.12171712460202","0.134952126517462"
