"pli0082","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","Urban Area","2","","",""
"Daily","1990","1-pers.-HH","Rural Area","","","",""
"Daily","1990","(Married) couple without C. ","Urban Area","7","","",""
"Daily","1990","(Married) couple without C. ","Rural Area","5","","",""
"Daily","1990","Single parent ","Urban Area","","","",""
"Daily","1990","Single parent ","Rural Area","","","",""
"Daily","1990","Couple + C. LE 16 ","Urban Area","5","","",""
"Daily","1990","Couple + C. LE 16 ","Rural Area","","","",""
"Daily","1990","Couple + C. GT 16 ","Urban Area","9","","",""
"Daily","1990","Couple + C. GT 16 ","Rural Area","2","","",""
"Daily","1990","Couple + C. LE and GT 16","Urban Area","1","","",""
"Daily","1990","Couple + C. LE and GT 16","Rural Area","2","","",""
"Min 1x per week","1990","1-pers.-HH","Urban Area","73","0.0936296291050804","0.0741031232853158","0.113156134924845"
"Min 1x per week","1990","1-pers.-HH","Rural Area","13","","",""
"Min 1x per week","1990","(Married) couple without C. ","Urban Area","184","0.105550199739795","0.0915374889462596","0.119562910533331"
"Min 1x per week","1990","(Married) couple without C. ","Rural Area","39","0.0899109115912959","0.0636845439328387","0.116137279249753"
"Min 1x per week","1990","Single parent ","Urban Area","24","","",""
"Min 1x per week","1990","Single parent ","Rural Area","7","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","Urban Area","115","0.0829243356994729","0.0696544102470597","0.0961942611518861"
"Min 1x per week","1990","Couple + C. LE 16 ","Rural Area","30","0.0786183735416897","0.052878568860428","0.104358178222951"
"Min 1x per week","1990","Couple + C. GT 16 ","Urban Area","115","0.0732212377644211","0.0604530156576937","0.0859894598711486"
"Min 1x per week","1990","Couple + C. GT 16 ","Rural Area","28","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","Urban Area","37","0.0506220101786895","0.0347517014026508","0.0664923189547283"
"Min 1x per week","1990","Couple + C. LE and GT 16","Rural Area","8","","",""
"Min 1x per month","1990","1-pers.-HH","Urban Area","273","0.303314171763221","0.272501463431039","0.334126880095403"
"Min 1x per month","1990","1-pers.-HH","Rural Area","54","0.286036249341876","0.219648689118693","0.352423809565059"
"Min 1x per month","1990","(Married) couple without C. ","Urban Area","656","0.354109636254399","0.332299272013621","0.375920000495177"
"Min 1x per month","1990","(Married) couple without C. ","Rural Area","150","0.329370323722587","0.286280610061778","0.372460037383396"
"Min 1x per month","1990","Single parent ","Urban Area","108","0.313862590077012","0.266641450589369","0.361083729564656"
"Min 1x per month","1990","Single parent ","Rural Area","25","","",""
"Min 1x per month","1990","Couple + C. LE 16 ","Urban Area","551","0.357722326432868","0.334657014407962","0.380787638457775"
"Min 1x per month","1990","Couple + C. LE 16 ","Rural Area","129","0.342759801403837","0.297367683533921","0.388151919273753"
"Min 1x per month","1990","Couple + C. GT 16 ","Urban Area","453","0.308357068178633","0.285721479968879","0.330992656388386"
"Min 1x per month","1990","Couple + C. GT 16 ","Rural Area","146","0.332216871443551","0.28874699724459","0.375686745642511"
"Min 1x per month","1990","Couple + C. LE and GT 16","Urban Area","176","0.291585131508785","0.258683106743169","0.324487156274401"
"Min 1x per month","1990","Couple + C. LE and GT 16","Rural Area","44","0.291600216327476","0.220278970178947","0.362921462476004"
"Rarely","1990","1-pers.-HH","Urban Area","340","0.39615325679912","0.363369402334062","0.428937111264177"
"Rarely","1990","1-pers.-HH","Rural Area","75","0.446001054262511","0.372977914608478","0.519024193916544"
"Rarely","1990","(Married) couple without C. ","Urban Area","845","0.464220396936724","0.441476240141017","0.486964553732432"
"Rarely","1990","(Married) couple without C. ","Rural Area","221","0.478520304092708","0.432721000133098","0.524319608052319"
"Rarely","1990","Single parent ","Urban Area","182","0.505536634347259","0.454661623724771","0.556411644969746"
"Rarely","1990","Single parent ","Rural Area","49","0.545194524525763","0.442885020359731","0.647504028691796"
"Rarely","1990","Couple + C. LE 16 ","Urban Area","823","0.48836550830127","0.46431206268748","0.51241895391506"
"Rarely","1990","Couple + C. LE 16 ","Rural Area","227","0.527083438460857","0.479335415650212","0.574831461271503"
"Rarely","1990","Couple + C. GT 16 ","Urban Area","838","0.542023077070084","0.517602577433471","0.566443576706698"
"Rarely","1990","Couple + C. GT 16 ","Rural Area","244","0.55100407325764","0.505099238826362","0.596908907688917"
"Rarely","1990","Couple + C. LE and GT 16","Urban Area","386","0.540135573455827","0.504055916312617","0.576215230599036"
"Rarely","1990","Couple + C. LE and GT 16","Rural Area","87","0.593872251285681","0.516806105382147","0.670938397189216"
