"pli0082","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","Urban Area","8","","",""
"Daily","1990","16-34 y.","Rural Area","2","","",""
"Daily","1990","35-65 y.","Urban Area","14","","",""
"Daily","1990","35-65 y.","Rural Area","8","","",""
"Daily","1990","66 and older","Urban Area","3","","",""
"Daily","1990","66 and older","Rural Area","","","",""
"Min 1x per week","1990","16-34 y.","Urban Area","210","0.0744799614019783","0.0649488960803675","0.0840110267235892"
"Min 1x per week","1990","16-34 y.","Rural Area","58","0.0808682757062389","0.0610503199160196","0.100686231496458"
"Min 1x per week","1990","35-65 y.","Urban Area","304","0.0950063048471785","0.0857271636747634","0.104285446019594"
"Min 1x per week","1990","35-65 y.","Rural Area","66","0.0803408918966935","0.0628991830856145","0.0977826007077725"
"Min 1x per week","1990","66 and older","Urban Area","64","0.0820985999784888","0.0632171227945777","0.1009800771624"
"Min 1x per week","1990","66 and older","Rural Area","11","","",""
"Min 1x per month","1990","16-34 y.","Urban Area","963","0.35538185894188","0.338006743428486","0.372756974455273"
"Min 1x per month","1990","16-34 y.","Rural Area","217","0.324083789907733","0.290062093012682","0.358105486802784"
"Min 1x per month","1990","35-65 y.","Urban Area","1166","0.335687042857459","0.320743194822268","0.350630890892649"
"Min 1x per month","1990","35-65 y.","Rural Area","319","0.352907040430874","0.32224360799477","0.383570472866978"
"Min 1x per month","1990","66 and older","Urban Area","227","0.256075355206073","0.226054819248691","0.286095891163455"
"Min 1x per month","1990","66 and older","Rural Area","58","0.225990790558281","0.173727232568976","0.278254348547586"
"Rarely","1990","16-34 y.","Urban Area","1452","0.504786295324179","0.486636199731275","0.522936390917082"
"Rarely","1990","16-34 y.","Rural Area","395","0.542571755964097","0.506358217257799","0.578785294670396"
"Rarely","1990","35-65 y.","Urban Area","1856","0.483902684865603","0.468088252524924","0.499717117206281"
"Rarely","1990","35-65 y.","Rural Area","465","0.504414090560971","0.472332170742347","0.536496010379594"
"Rarely","1990","66 and older","Urban Area","330","0.395679604199981","0.362045835387541","0.42931337301242"
"Rarely","1990","66 and older","Rural Area","113","0.46221103689485","0.399908370208386","0.524513703581314"
"Never","1990","16-34 y.","Urban Area","282","0.063417242091436","0.0545700477694528","0.0722644364134192"
"Never","1990","16-34 y.","Rural Area","55","0.0519422180926407","0.0358113204664568","0.0680731157188246"
"Never","1990","35-65 y.","Urban Area","496","0.0820015418868758","0.0733191221562517","0.0906839616174998"
"Never","1990","35-65 y.","Rural Area","75","0.0537312753882689","0.0392626228603816","0.0681999279161563"
