"pli0082","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","Male","5","","",""
"Daily","1990","Not Employed","Female","10","","",""
"Daily","1990","Employed","Male","15","","",""
"Daily","1990","Employed","Female","5","","",""
"Min 1x per week","1990","Not Employed","Male","86","0.0911394376513597","0.07385421059328","0.108424664709439"
"Min 1x per week","1990","Not Employed","Female","145","0.0723209882636263","0.0616539211037673","0.0829880554234853"
"Min 1x per week","1990","Employed","Male","290","0.0893768838672988","0.0800654369969477","0.0986883307376499"
"Min 1x per week","1990","Employed","Female","192","0.0820688742805458","0.0713801768742643","0.0927575716868272"
"Min 1x per month","1990","Not Employed","Male","300","0.293023652028139","0.265688149148201","0.320359154908077"
"Min 1x per month","1990","Not Employed","Female","609","0.269866798061231","0.251586226725828","0.288147369396634"
"Min 1x per month","1990","Employed","Male","1236","0.368292389550236","0.352549311206857","0.384035467893616"
"Min 1x per month","1990","Employed","Female","805","0.344912758476064","0.326401553218256","0.363423963733873"
"Rarely","1990","Not Employed","Male","497","0.463630292876341","0.433680673301203","0.493579912451478"
"Rarely","1990","Not Employed","Female","1104","0.467795501355641","0.447246946742375","0.488344055968907"
"Rarely","1990","Employed","Male","1735","0.483619834791948","0.467309155140817","0.499930514443079"
"Rarely","1990","Employed","Female","1275","0.507254117235624","0.487784617678976","0.526723616792272"
"Never","1990","Not Employed","Male","177","0.148587079353888","0.127225471977644","0.169948686730131"
"Never","1990","Not Employed","Female","397","0.185882498315621","0.169861971844666","0.201903024786575"
"Never","1990","Employed","Male","330","0.05547622968771","0.0480049474177965","0.0629475119576236"
"Never","1990","Employed","Female","256","0.0637628652898124","0.054247897118552","0.0732778334610728"
"Daily","1991","Not Employed","Male","","","",""
"Daily","1991","Not Employed","Female","","","",""
"Daily","1991","Employed","Male","","","",""
"Daily","1991","Employed","Female","","","",""
"Min 1x per week","1991","Not Employed","Male","","","",""
"Min 1x per week","1991","Not Employed","Female","","","",""
"Min 1x per week","1991","Employed","Male","","","",""
"Min 1x per week","1991","Employed","Female","","","",""
"Min 1x per month","1991","Not Employed","Male","","","",""
"Min 1x per month","1991","Not Employed","Female","","","",""
"Min 1x per month","1991","Employed","Male","","","",""
"Min 1x per month","1991","Employed","Female","","","",""
"Rarely","1991","Not Employed","Male","","","",""
"Rarely","1991","Not Employed","Female","","","",""
"Rarely","1991","Employed","Male","","","",""
"Rarely","1991","Employed","Female","","","",""
"Never","1991","Not Employed","Male","","","",""
"Never","1991","Not Employed","Female","","","",""
"Never","1991","Employed","Male","","","",""
"Never","1991","Employed","Female","","","",""
"Daily","1992","Not Employed","Male","","","",""
"Daily","1992","Not Employed","Female","","","",""
"Daily","1992","Employed","Male","","","",""
"Daily","1992","Employed","Female","","","",""
"Min 1x per week","1992","Not Employed","Male","","","",""
"Min 1x per week","1992","Not Employed","Female","","","",""
"Min 1x per week","1992","Employed","Male","","","",""
"Min 1x per week","1992","Employed","Female","","","",""
"Min 1x per month","1992","Not Employed","Male","","","",""
"Min 1x per month","1992","Not Employed","Female","","","",""
"Min 1x per month","1992","Employed","Male","","","",""
"Min 1x per month","1992","Employed","Female","","","",""
"Rarely","1992","Not Employed","Male","","","",""
"Rarely","1992","Not Employed","Female","","","",""
"Rarely","1992","Employed","Male","","","",""
"Rarely","1992","Employed","Female","","","",""
"Never","1992","Not Employed","Male","","","",""
"Never","1992","Not Employed","Female","","","",""
"Never","1992","Employed","Male","","","",""
"Never","1992","Employed","Female","","","",""
"Daily","1993","Not Employed","Male","","","",""
"Daily","1993","Not Employed","Female","","","",""
"Daily","1993","Employed","Male","","","",""
"Daily","1993","Employed","Female","","","",""
"Min 1x per week","1993","Not Employed","Male","","","",""
"Min 1x per week","1993","Not Employed","Female","","","",""
"Min 1x per week","1993","Employed","Male","","","",""
"Min 1x per week","1993","Employed","Female","","","",""
"Min 1x per month","1993","Not Employed","Male","","","",""
"Min 1x per month","1993","Not Employed","Female","","","",""
"Min 1x per month","1993","Employed","Male","","","",""
"Min 1x per month","1993","Employed","Female","","","",""
"Rarely","1993","Not Employed","Male","","","",""
"Rarely","1993","Not Employed","Female","","","",""
"Rarely","1993","Employed","Male","","","",""
"Rarely","1993","Employed","Female","","","",""
"Never","1993","Not Employed","Male","","","",""
"Never","1993","Not Employed","Female","","","",""
"Never","1993","Employed","Male","","","",""
"Never","1993","Employed","Female","","","",""
"Daily","1994","Not Employed","Male","","","",""
"Daily","1994","Not Employed","Female","","","",""
"Daily","1994","Employed","Male","","","",""
"Daily","1994","Employed","Female","","","",""
"Min 1x per week","1994","Not Employed","Male","","","",""
"Min 1x per week","1994","Not Employed","Female","","","",""
"Min 1x per week","1994","Employed","Male","","","",""
"Min 1x per week","1994","Employed","Female","","","",""
"Min 1x per month","1994","Not Employed","Male","","","",""
"Min 1x per month","1994","Not Employed","Female","","","",""
"Min 1x per month","1994","Employed","Male","","","",""
"Min 1x per month","1994","Employed","Female","","","",""
"Rarely","1994","Not Employed","Male","","","",""
"Rarely","1994","Not Employed","Female","","","",""
"Rarely","1994","Employed","Male","","","",""
"Rarely","1994","Employed","Female","","","",""
"Never","1994","Not Employed","Male","","","",""
"Never","1994","Not Employed","Female","","","",""
"Never","1994","Employed","Male","","","",""
"Never","1994","Employed","Female","","","",""
"Daily","1995","Not Employed","Male","6","","",""
"Daily","1995","Not Employed","Female","7","","",""
"Daily","1995","Employed","Male","4","","",""
"Daily","1995","Employed","Female","3","","",""
"Min 1x per week","1995","Not Employed","Male","105","0.0719335842671247","0.059374927267742","0.0844922412665074"
"Min 1x per week","1995","Not Employed","Female","143","0.0483997720989576","0.0409336763224785","0.0558658678754368"
"Min 1x per week","1995","Employed","Male","270","0.0693790566734104","0.0621726869772974","0.0765854263695235"
"Min 1x per week","1995","Employed","Female","199","0.056761359717611","0.0493127711692347","0.0642099482659874"
"Min 1x per month","1995","Not Employed","Male","408","0.248979090847378","0.227960902816923","0.269997278877833"
"Min 1x per month","1995","Not Employed","Female","732","0.238755929794397","0.223924477661475","0.253587381927319"
"Min 1x per month","1995","Employed","Male","1419","0.316003543790596","0.302818279654989","0.329188807926203"
"Min 1x per month","1995","Employed","Female","1059","0.292791058842504","0.27814267962324","0.307439438061769"
