"pli0082","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","West Germany","10","","","","1"
"Daily","1990","16-34 y.","East Germany","","","","","1"
"Daily","1990","35-65 y.","West Germany","22","","","","1"
"Daily","1990","35-65 y.","East Germany","","","","","1"
"Daily","1990","66 and older","West Germany","3","","","","1"
"Daily","1990","66 and older","East Germany","","","","","1"
"Min 1x per month","1990","16-34 y.","East Germany","","","","","3"
"Min 1x per month","1990","16-34 y.","West Germany","1180","0.348445673398786","0.332971018414755","0.363920328382817","3"
"Min 1x per month","1990","35-65 y.","West Germany","1485","0.339439946270348","0.326000788318813","0.352879104221882","3"
"Min 1x per month","1990","35-65 y.","East Germany","","","","","3"
"Min 1x per month","1990","66 and older","West Germany","285","0.248938771486223","0.22288388413644","0.274993658836005","3"
"Min 1x per month","1990","66 and older","East Germany","","","","","3"
"Min 1x per week","1990","16-34 y.","East Germany","","","","","2"
"Min 1x per week","1990","16-34 y.","West Germany","268","0.0758957207344025","0.0672947542422214","0.0844966872265837","2"
"Min 1x per week","1990","35-65 y.","West Germany","370","0.0918101442159903","0.0836147832307083","0.100005505201272","2"
"Min 1x per week","1990","35-65 y.","East Germany","","","","","2"
"Min 1x per week","1990","66 and older","West Germany","75","0.0723688857800614","0.0567565151096576","0.0879812564504651","2"
"Min 1x per week","1990","66 and older","East Germany","","","","","2"
"Never","1990","16-34 y.","West Germany","337","0.0608741811926867","0.053108910906037","0.0686394514793364","5"
"Never","1990","16-34 y.","East Germany","","","","","5"
"Never","1990","35-65 y.","West Germany","571","0.075840357532837","0.0683265837561834","0.0833541313094906","5"
"Never","1990","35-65 y.","East Germany","","","","","5"
"Never","1990","66 and older","West Germany","252","0.264743911688503","0.238158856722506","0.2913289666545","5"
"Never","1990","66 and older","East Germany","","","","","5"
"Rarely","1990","16-34 y.","East Germany","","","","","4"
"Rarely","1990","35-65 y.","West Germany","2321","0.488372913395492","0.47418603067375","0.502559796117234","4"
"Rarely","1990","16-34 y.","West Germany","1847","0.513160197418387","0.496927240319539","0.529393154517236","4"
"Rarely","1990","66 and older","West Germany","443","0.411462021030246","0.381809789575","0.441114252485492","4"
"Rarely","1990","35-65 y.","East Germany","","","","","4"
"Rarely","1990","66 and older","East Germany","","","","","4"
"Daily","1991","16-34 y.","West Germany","","","","","1"
"Daily","1991","16-34 y.","East Germany","","","","","1"
"Daily","1991","35-65 y.","West Germany","","","","","1"
"Daily","1991","35-65 y.","East Germany","","","","","1"
"Daily","1991","66 and older","West Germany","","","","","1"
"Daily","1991","66 and older","East Germany","","","","","1"
"Min 1x per month","1991","16-34 y.","East Germany","","","","","3"
"Min 1x per month","1991","16-34 y.","West Germany","","","","","3"
"Min 1x per month","1991","35-65 y.","West Germany","","","","","3"
"Min 1x per month","1991","35-65 y.","East Germany","","","","","3"
"Min 1x per month","1991","66 and older","West Germany","","","","","3"
"Min 1x per month","1991","66 and older","East Germany","","","","","3"
"Min 1x per week","1991","16-34 y.","West Germany","","","","","2"
"Min 1x per week","1991","16-34 y.","East Germany","","","","","2"
"Min 1x per week","1991","35-65 y.","West Germany","","","","","2"
"Min 1x per week","1991","35-65 y.","East Germany","","","","","2"
"Min 1x per week","1991","66 and older","West Germany","","","","","2"
"Min 1x per week","1991","66 and older","East Germany","","","","","2"
"Never","1991","16-34 y.","West Germany","","","","","5"
