"pli0082","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","West Germany","2","","",""
"Daily","1990","Schleswig-Holstein","East Germany","","","",""
"Daily","1990","Hamburg","West Germany","","","",""
"Daily","1990","Hamburg","East Germany","","","",""
"Daily","1990","Lower Saxony","West Germany","2","","",""
"Daily","1990","Lower Saxony","East Germany","","","",""
"Daily","1990","Bremen","West Germany","3","","",""
"Daily","1990","Bremen","East Germany","","","",""
"Daily","1990","North Rhine-Westphalia","West Germany","12","","",""
"Daily","1990","North Rhine-Westphalia","East Germany","","","",""
"Daily","1990","Hesse","West Germany","5","","",""
"Daily","1990","Hesse","East Germany","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","West Germany","2","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Daily","1990","Baden-Württemberg","West Germany","6","","",""
"Daily","1990","Baden-Württemberg","East Germany","","","",""
"Daily","1990","Bavaria","West Germany","3","","",""
"Daily","1990","Bavaria","East Germany","","","",""
"Daily","1990","Berlin","West Germany","","","",""
"Daily","1990","Berlin","East Germany","","","",""
"Daily","1990","Brandenburg","West Germany","","","",""
"Daily","1990","Brandenburg","East Germany","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","West Germany","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","East Germany","","","",""
"Daily","1990","Saxony","West Germany","","","",""
"Daily","1990","Saxony","East Germany","","","",""
"Daily","1990","Saxony-Anhalt","West Germany","","","",""
"Daily","1990","Saxony-Anhalt","East Germany","","","",""
"Daily","1990","Thuringia","West Germany","","","",""
"Daily","1990","Thuringia","East Germany","","","",""
"Min 1x per week","1990","Schleswig-Holstein","West Germany","19","","",""
"Min 1x per week","1990","Schleswig-Holstein","East Germany","","","",""
"Min 1x per week","1990","Hamburg","West Germany","13","","",""
"Min 1x per week","1990","Hamburg","East Germany","","","",""
"Min 1x per week","1990","Lower Saxony","West Germany","60","0.0690294828220054","0.0531254063322028","0.0849335593118079"
"Min 1x per week","1990","Lower Saxony","East Germany","","","",""
"Min 1x per week","1990","Bremen","West Germany","10","","",""
"Min 1x per week","1990","Bremen","East Germany","","","",""
"Min 1x per week","1990","North Rhine-Westphalia","West Germany","159","0.0649370337598646","0.0554064998021922","0.0744675677175369"
"Min 1x per week","1990","North Rhine-Westphalia","East Germany","","","",""
"Min 1x per week","1990","Hesse","West Germany","83","0.0899256589727353","0.0720421975772426","0.107809120368228"
"Min 1x per week","1990","Hesse","East Germany","","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","West Germany","59","0.0969484068944544","0.0745438009597802","0.119353012829129"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Min 1x per week","1990","Baden-Württemberg","West Germany","127","0.0814633826380116","0.0687947496459139","0.0941320156301093"
"Min 1x per week","1990","Baden-Württemberg","East Germany","","","",""
"Min 1x per week","1990","Bavaria","West Germany","156","0.10972888557258","0.0943949627518648","0.125062808393295"
"Min 1x per week","1990","Bavaria","East Germany","","","",""
"Min 1x per week","1990","Berlin","West Germany","27","","",""
"Min 1x per week","1990","Berlin","East Germany","","","",""
"Min 1x per week","1990","Brandenburg","West Germany","","","",""
"Min 1x per week","1990","Brandenburg","East Germany","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","West Germany","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","East Germany","","","",""
"Min 1x per week","1990","Saxony","West Germany","","","",""
"Min 1x per week","1990","Saxony","East Germany","","","",""
"Min 1x per week","1990","Saxony-Anhalt","West Germany","","","",""
"Min 1x per week","1990","Saxony-Anhalt","East Germany","","","",""
"Min 1x per week","1990","Thuringia","West Germany","","","",""
"Min 1x per week","1990","Thuringia","East Germany","","","",""
"Min 1x per month","1990","Schleswig-Holstein","West Germany","85","0.302731574521808","0.249203239773587","0.356259909270028"
"Min 1x per month","1990","Schleswig-Holstein","East Germany","","","",""
"Min 1x per month","1990","Hamburg","West Germany","71","0.406920209019962","0.332634607814043","0.481205810225882"
"Min 1x per month","1990","Hamburg","East Germany","","","",""
"Min 1x per month","1990","Lower Saxony","West Germany","332","0.346469304164858","0.316616264393184","0.376322343936533"
"Min 1x per month","1990","Lower Saxony","East Germany","","","",""
"Min 1x per month","1990","Bremen","West Germany","38","0.395586810711346","0.301155211034276","0.490018410388416"
"Min 1x per month","1990","Bremen","East Germany","","","",""
"Min 1x per month","1990","North Rhine-Westphalia","West Germany","724","0.29440078275429","0.276772942481596","0.312028623026984"
"Min 1x per month","1990","North Rhine-Westphalia","East Germany","","","",""
"Min 1x per month","1990","Hesse","West Germany","293","0.334403193875322","0.304910655368482","0.363895732382161"
"Min 1x per month","1990","Hesse","East Germany","","","",""
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","West Germany","203","0.317590660966264","0.28234001887543","0.352841303057098"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Min 1x per month","1990","Baden-Württemberg","West Germany","553","0.328147600486802","0.306401977668657","0.349893223304947"
"Min 1x per month","1990","Baden-Württemberg","East Germany","","","",""
"Min 1x per month","1990","Bavaria","West Germany","556","0.345420814464043","0.322092304786475","0.368749324141611"
"Min 1x per month","1990","Bavaria","East Germany","","","",""
"Min 1x per month","1990","Berlin","West Germany","95","0.354752788498842","0.303210930362434","0.40629464663525"
"Min 1x per month","1990","Berlin","East Germany","","","",""
"Min 1x per month","1990","Brandenburg","West Germany","","","",""
"Min 1x per month","1990","Brandenburg","East Germany","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","West Germany","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","East Germany","","","",""
"Min 1x per month","1990","Saxony","West Germany","","","",""
"Min 1x per month","1990","Saxony","East Germany","","","",""
"Min 1x per month","1990","Saxony-Anhalt","West Germany","","","",""
"Min 1x per month","1990","Saxony-Anhalt","East Germany","","","",""
"Min 1x per month","1990","Thuringia","West Germany","","","",""
"Min 1x per month","1990","Thuringia","East Germany","","","",""
"Rarely","1990","Schleswig-Holstein","West Germany","153","0.530727011245251","0.472583233232124","0.588870789258378"
