"pli0082","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1990","(0) in school","West Germany","1","","",""
"Daily","1990","(0) in school","East Germany","","","",""
"Daily","1990","(1a) inadequately completed","West Germany","3","","",""
"Daily","1990","(1a) inadequately completed","East Germany","","","",""
"Daily","1990","(1b) general elementary school","West Germany","13","","",""
"Daily","1990","(1b) general elementary school","East Germany","","","",""
"Daily","1990","(1c) basic vocational qualification","West Germany","10","","",""
"Daily","1990","(1c) basic vocational qualification","East Germany","","","",""
"Daily","1990","(2b) intermediate general qualification","West Germany","1","","",""
"Daily","1990","(2b) intermediate general qualification","East Germany","","","",""
"Daily","1990","(2a) intermediate vocational","West Germany","2","","",""
"Daily","1990","(2a) intermediate vocational","East Germany","","","",""
"Daily","1990","(2c_gen) general maturity certificate","West Germany","","","",""
"Daily","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","West Germany","1","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Daily","1990","(3a) lower tertiary education","West Germany","1","","",""
"Daily","1990","(3a) lower tertiary education","East Germany","","","",""
"Daily","1990","(3b) higher tertiary education","West Germany","2","","",""
"Daily","1990","(3b) higher tertiary education","East Germany","","","",""
"Min 1x per week","1990","(0) in school","West Germany","8","","",""
"Min 1x per week","1990","(0) in school","East Germany","","","",""
"Min 1x per week","1990","(1a) inadequately completed","West Germany","32","0.039149361439934","0.0246038826261353","0.0536948402537327"
"Min 1x per week","1990","(1a) inadequately completed","East Germany","","","",""
"Min 1x per week","1990","(1b) general elementary school","West Germany","125","0.05584652291757","0.0461176938725029","0.0655753519626372"
"Min 1x per week","1990","(1b) general elementary school","East Germany","","","",""
"Min 1x per week","1990","(1c) basic vocational qualification","West Germany","251","0.0832943364648853","0.0737441299116043","0.0928445430181663"
"Min 1x per week","1990","(1c) basic vocational qualification","East Germany","","","",""
"Min 1x per week","1990","(2b) intermediate general qualification","West Germany","22","","",""
"Min 1x per week","1990","(2b) intermediate general qualification","East Germany","","","",""
"Min 1x per week","1990","(2a) intermediate vocational","West Germany","112","0.0975696031744303","0.0812177508887265","0.113921455460134"
"Min 1x per week","1990","(2a) intermediate vocational","East Germany","","","",""
"Min 1x per week","1990","(2c_gen) general maturity certificate","West Germany","27","","",""
"Min 1x per week","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","West Germany","42","0.111617946509969","0.0811744814171105","0.142061411602827"
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Min 1x per week","1990","(3a) lower tertiary education","West Germany","36","0.165909353328109","0.11854888602896","0.213269820627258"
"Min 1x per week","1990","(3a) lower tertiary education","East Germany","","","",""
"Min 1x per week","1990","(3b) higher tertiary education","West Germany","48","0.116174045077052","0.0868916155717103","0.145456474582394"
"Min 1x per week","1990","(3b) higher tertiary education","East Germany","","","",""
"Min 1x per month","1990","(0) in school","West Germany","42","0.310037636028388","0.238816238231921","0.381259033824855"
"Min 1x per month","1990","(0) in school","East Germany","","","",""
"Min 1x per month","1990","(1a) inadequately completed","West Germany","105","0.178103163748681","0.149409750669583","0.206796576827778"
"Min 1x per month","1990","(1a) inadequately completed","East Germany","","","",""
"Min 1x per month","1990","(1b) general elementary school","West Germany","499","0.227571104081029","0.209807584517989","0.24533462364407"
"Min 1x per month","1990","(1b) general elementary school","East Germany","","","",""
"Min 1x per month","1990","(1c) basic vocational qualification","West Germany","1056","0.332751606293265","0.316466375423563","0.349036837162966"
"Min 1x per month","1990","(1c) basic vocational qualification","East Germany","","","",""
"Min 1x per month","1990","(2b) intermediate general qualification","West Germany","128","0.376472780055237","0.326284642820144","0.426660917290331"
"Min 1x per month","1990","(2b) intermediate general qualification","East Germany","","","",""
"Min 1x per month","1990","(2a) intermediate vocational","West Germany","451","0.345518085513982","0.319312911641073","0.37172325938689"
"Min 1x per month","1990","(2a) intermediate vocational","East Germany","","","",""
"Min 1x per month","1990","(2c_gen) general maturity certificate","West Germany","108","0.310766779517758","0.261717183752616","0.3598163752829"
"Min 1x per month","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","West Germany","170","0.44354286309192","0.395513056667743","0.491572669516098"
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Min 1x per month","1990","(3a) lower tertiary education","West Germany","109","0.444157829001547","0.380899411189578","0.507416246813516"
"Min 1x per month","1990","(3a) lower tertiary education","East Germany","","","",""
"Min 1x per month","1990","(3b) higher tertiary education","West Germany","225","0.474712529223034","0.429079106579457","0.520345951866611"
"Min 1x per month","1990","(3b) higher tertiary education","East Germany","","","",""
"Rarely","1990","(0) in school","West Germany","100","0.615792722871134","0.540891199067248","0.69069424667502"
"Rarely","1990","(0) in school","East Germany","","","",""
"Rarely","1990","(1a) inadequately completed","West Germany","334","0.480838331597616","0.443367909127888","0.518308754067344"
"Rarely","1990","(1a) inadequately completed","East Germany","","","",""
"Rarely","1990","(1b) general elementary school","West Germany","1057","0.504736701948117","0.48355349447346","0.525919909422775"
"Rarely","1990","(1b) general elementary school","East Germany","","","",""
"Rarely","1990","(1c) basic vocational qualification","West Germany","1584","0.4813068479401","0.46403827900748","0.49857541687272"
"Rarely","1990","(1c) basic vocational qualification","East Germany","","","",""
"Rarely","1990","(2b) intermediate general qualification","West Germany","180","0.479597012484776","0.427846494299946","0.531347530669605"
"Rarely","1990","(2b) intermediate general qualification","East Germany","","","",""
"Rarely","1990","(2a) intermediate vocational","West Germany","655","0.513626766704397","0.486083751271515","0.541169782137278"
"Rarely","1990","(2a) intermediate vocational","East Germany","","","",""
"Rarely","1990","(2c_gen) general maturity certificate","West Germany","178","0.537177509908907","0.484332841618312","0.590022178199503"
"Rarely","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"Rarely","1990","(2c_voc) vocational maturity certificate","West Germany","166","0.378021646132645","0.331143206254272","0.424900086011017"
"Rarely","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Rarely","1990","(3a) lower tertiary education","West Germany","86","0.373516713180159","0.311930474271032","0.435102952089285"
"Rarely","1990","(3a) lower tertiary education","East Germany","","","",""
"Rarely","1990","(3b) higher tertiary education","West Germany","175","0.38953273860482","0.344969951381883","0.434095525827757"
"Rarely","1990","(3b) higher tertiary education","East Germany","","","",""
"Never","1990","(0) in school","West Germany","11","","",""
"Never","1990","(0) in school","East Germany","","","",""
"Never","1990","(1a) inadequately completed","West Germany","209","0.291618929195486","0.257532691479547","0.325705166911424"
"Never","1990","(1a) inadequately completed","East Germany","","","",""
"Never","1990","(1b) general elementary school","West Germany","446","0.207145027104578","0.189974827754418","0.224315226454738"
"Never","1990","(1b) general elementary school","East Germany","","","",""
"Never","1990","(1c) basic vocational qualification","West Germany","315","0.0999886352918883","0.0896207689899846","0.110356501593792"
"Never","1990","(1c) basic vocational qualification","East Germany","","","",""
"Never","1990","(2b) intermediate general qualification","West Germany","27","","",""
"Never","1990","(2b) intermediate general qualification","East Germany","","","",""
"Never","1990","(2a) intermediate vocational","West Germany","45","0.0421626111266924","0.0310884083758282","0.0532368138775566"
"Never","1990","(2a) intermediate vocational","East Germany","","","",""
"Never","1990","(2c_gen) general maturity certificate","West Germany","29","","",""
