"pli0082","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","Male","","","",""
"Daily","1990","1-pers.-HH","Female","2","","",""
"Daily","1990","(Married) couple without C. ","Male","7","","",""
"Daily","1990","(Married) couple without C. ","Female","5","","",""
"Daily","1990","Single parent ","Male","","","",""
"Daily","1990","Single parent ","Female","","","",""
"Daily","1990","Couple + C. LE 16 ","Male","2","","",""
"Daily","1990","Couple + C. LE 16 ","Female","3","","",""
"Daily","1990","Couple + C. GT 16 ","Male","7","","",""
"Daily","1990","Couple + C. GT 16 ","Female","4","","",""
"Daily","1990","Couple + C. LE and GT 16","Male","2","","",""
"Daily","1990","Couple + C. LE and GT 16","Female","1","","",""
"Min 1x per week","1990","1-pers.-HH","Male","37","0.108881857160558","0.078985004826615","0.138778709494501"
"Min 1x per week","1990","1-pers.-HH","Female","49","0.0794090934775939","0.0580577014604926","0.100760485494695"
"Min 1x per week","1990","(Married) couple without C. ","Male","117","0.110344831065716","0.0922361833081575","0.128453478823275"
"Min 1x per week","1990","(Married) couple without C. ","Female","106","0.0938459568580493","0.0770209989550594","0.110670914761039"
"Min 1x per week","1990","Single parent ","Male","12","","",""
"Min 1x per week","1990","Single parent ","Female","19","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","Male","75","0.0914299061827491","0.0738282783306374","0.109031534034861"
"Min 1x per week","1990","Couple + C. LE 16 ","Female","70","0.0726418106149245","0.0569353824283855","0.0883482388014636"
"Min 1x per week","1990","Couple + C. GT 16 ","Male","92","0.0783095540289421","0.0627210231709422","0.093898084886942"
"Min 1x per week","1990","Couple + C. GT 16 ","Female","51","0.0598164648854611","0.0444000694507734","0.0752328603201489"
"Min 1x per week","1990","Couple + C. LE and GT 16","Male","26","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","Female","19","","",""
"Min 1x per month","1990","1-pers.-HH","Male","143","0.332418763934942","0.287204559947367","0.377632967922517"
"Min 1x per month","1990","1-pers.-HH","Female","184","0.282454601923312","0.24690319812608","0.318006005720543"
"Min 1x per month","1990","(Married) couple without C. ","Male","410","0.354586193855053","0.326937207929987","0.38223517978012"
"Min 1x per month","1990","(Married) couple without C. ","Female","396","0.342920391313443","0.31553298929428","0.370307793332606"
"Min 1x per month","1990","Single parent ","Male","68","0.402583147607763","0.331334122348073","0.473832172867453"
"Min 1x per month","1990","Single parent ","Female","65","0.238120513996881","0.188230845167216","0.288010182826546"
"Min 1x per month","1990","Couple + C. LE 16 ","Male","358","0.37908635497449","0.349457548531548","0.408715161417431"
"Min 1x per month","1990","Couple + C. LE 16 ","Female","322","0.330068073939246","0.301611838604747","0.358524309273745"
"Min 1x per month","1990","Couple + C. GT 16 ","Male","357","0.329928603062246","0.302646628930058","0.357210577194433"
"Min 1x per month","1990","Couple + C. GT 16 ","Female","242","0.293675607213219","0.264068076429536","0.323283137996901"
"Min 1x per month","1990","Couple + C. LE and GT 16","Male","107","0.269176162125327","0.228644554859802","0.309707769390852"
"Min 1x per month","1990","Couple + C. LE and GT 16","Female","113","0.316354715091465","0.272347689867856","0.360361740315074"
"Rarely","1990","1-pers.-HH","Male","164","0.419436213627297","0.372073345167302","0.466799082087292"
"Rarely","1990","1-pers.-HH","Female","251","0.397663196319959","0.359014474606812","0.436311918033107"
"Rarely","1990","(Married) couple without C. ","Male","520","0.452969258485047","0.424199288961624","0.481739228008469"
"Rarely","1990","(Married) couple without C. ","Female","546","0.481999444400549","0.45317017953444","0.510828709266658"
"Rarely","1990","Single parent ","Male","81","0.478443451242382","0.405869894859172","0.551017007625592"
"Rarely","1990","Single parent ","Female","150","0.538845901565324","0.480457793426019","0.59723400970463"
"Rarely","1990","Couple + C. LE 16 ","Male","511","0.473725907253986","0.443232985287079","0.504218829220893"
"Rarely","1990","Couple + C. LE 16 ","Female","539","0.519855604124056","0.489622158588301","0.55008904965981"
"Rarely","1990","Couple + C. GT 16 ","Male","575","0.526456582345772","0.497485384566206","0.555427780125339"
"Rarely","1990","Couple + C. GT 16 ","Female","507","0.567785664355311","0.535581803264174","0.599989525446448"
"Rarely","1990","Couple + C. LE and GT 16","Male","254","0.583807479908682","0.538762008315127","0.628852951502237"
"Rarely","1990","Couple + C. LE and GT 16","Female","219","0.519093298372607","0.471813831522624","0.56637276522259"
"Never","1990","1-pers.-HH","Male","73","0.139263165277203","0.106032932090775","0.172493398463631"
"Never","1990","1-pers.-HH","Female","130","0.237122852878213","0.203535811965158","0.270709893791268"
"Never","1990","(Married) couple without C. ","Male","96","0.0778679730993604","0.0623806927889036","0.0933552534098172"
"Never","1990","(Married) couple without C. ","Female","101","0.0771568798103227","0.0617612856448064","0.092552473975839"
"Never","1990","Single parent ","Male","21","","",""
