"pli0082","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","2","","",""
"Daily","1990","(Married) couple without C. ","12","","",""
"Daily","1990","Single parent ","","","",""
"Daily","1990","Couple + C. LE 16 ","5","","",""
"Daily","1990","Couple + C. GT 16 ","11","","",""
"Daily","1990","Couple + C. LE and GT 16","3","","",""
"Min 1x per week","1990","1-pers.-HH","86","0.0898308267243262","0.072393829852286","0.107267823596366"
"Min 1x per week","1990","(Married) couple without C. ","223","0.10221965981908","0.0898499613044958","0.114589358333664"
"Min 1x per week","1990","Single parent ","31","0.0635776234873379","0.0413283855868487","0.0858268613878271"
"Min 1x per week","1990","Couple + C. LE 16 ","145","0.0819691058687275","0.0701774555005146","0.0937607562369405"
"Min 1x per week","1990","Couple + C. GT 16 ","143","0.0703417365106229","0.0592719468151891","0.0814115262060566"
"Min 1x per week","1990","Couple + C. LE and GT 16","45","0.04725053042614","0.0333032378131991","0.0611978230390808"
"Min 1x per month","1990","1-pers.-HH","327","0.300122207648482","0.272173733462463","0.328070681834502"
"Min 1x per month","1990","(Married) couple without C. ","806","0.34884115681877","0.329380200218769","0.36830211341877"
"Min 1x per month","1990","Single parent ","133","0.303054689971748","0.26114765274112","0.344961727202376"
"Min 1x per month","1990","Couple + C. LE 16 ","680","0.354403056609475","0.333841768973419","0.374964344245531"
"Min 1x per month","1990","Couple + C. GT 16 ","599","0.314308862456644","0.294212671811566","0.334405053101723"
"Min 1x per month","1990","Couple + C. LE and GT 16","220","0.291588760861117","0.261712563337158","0.321464958385076"
"Rarely","1990","1-pers.-HH","415","0.405362256401139","0.375422668343013","0.435301844459266"
"Rarely","1990","(Married) couple without C. ","1066","0.467265702528213","0.446893211517151","0.487638193539275"
"Rarely","1990","Single parent ","231","0.514997424543711","0.46942505039988","0.560569798687543"
"Rarely","1990","Couple + C. LE 16 ","1050","0.496954650638785","0.475462355534061","0.518446945743509"
"Rarely","1990","Couple + C. GT 16 ","1082","0.544263373904323","0.52270417190418","0.565822575904465"
"Rarely","1990","Couple + C. LE and GT 16","473","0.553064422055167","0.520382504111079","0.585746339999254"
"Never","1990","1-pers.-HH","203","0.202519122778216","0.178012069891691","0.22702617566474"
"Never","1990","(Married) couple without C. ","197","0.0775177822516067","0.0665986902596188","0.0884368742435946"
"Never","1990","Single parent ","67","0.118370261997203","0.0889130579492108","0.147827466045195"
"Never","1990","Couple + C. LE 16 ","199","0.0655055462904515","0.054870282977329","0.0761408096035739"
