"pli0082","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","Urban Area","9","","","","1"
"Daily","1990","Full Time","Rural Area","4","","","","1"
"Daily","1990","Part Time","Urban Area","4","","","","1"
"Daily","1990","Part Time","Rural Area","3","","","","1"
"Daily","1990","Not Working","Urban Area","12","","","","1"
"Daily","1990","Not Working","Rural Area","3","","","","1"
"Min 1x per month","1990","Full Time","Rural Area","291","0.34986841494133","0.318357591194502","0.381379238688157","3"
"Min 1x per month","1990","Full Time","Urban Area","1175","0.36289204559736","0.347045821289743","0.378738269904978","3"
"Min 1x per month","1990","Part Time","Urban Area","454","0.35930522831599","0.333786703529589","0.384823753102391","3"
"Min 1x per month","1990","Part Time","Rural Area","121","0.339761315519086","0.291105489783357","0.388417141254814","3"
"Min 1x per month","1990","Not Working","Urban Area","727","0.276419319427263","0.25944927979931","0.293389359055215","3"
"Min 1x per month","1990","Not Working","Rural Area","182","0.279936700946158","0.245736051402224","0.314137350490091","3"
"Min 1x per week","1990","Full Time","Rural Area","75","0.087037013487997","0.0684124831160575","0.105661543859936","2"
"Min 1x per week","1990","Full Time","Urban Area","285","0.0930951446941753","0.0835193474851365","0.102670941903214","2"
"Min 1x per week","1990","Part Time","Urban Area","105","0.0788612550107454","0.0645264241443936","0.0931960858770971","2"
"Min 1x per week","1990","Part Time","Rural Area","17","","","","2"
"Min 1x per week","1990","Not Working","Urban Area","188","0.0814432793122411","0.0710647505308379","0.0918218080936443","2"
"Min 1x per week","1990","Not Working","Rural Area","43","0.0677624415771972","0.0486164917173801","0.0869083914370143","2"
"Never","1990","Full Time","Urban Area","343","0.0559814814256841","0.0484054282987592","0.063557534552609","5"
"Never","1990","Full Time","Rural Area","55","0.0315221863108576","0.0199780948521428","0.0430662777695725","5"
"Never","1990","Part Time","Urban Area","161","0.0824932550866529","0.06786097319728","0.0971255369760258","5"
"Never","1990","Part Time","Rural Area","27","","","","5"
"Never","1990","Not Working","Urban Area","462","0.175395398404199","0.160964706552435","0.189826090255963","5"
"Never","1990","Not Working","Rural Area","112","0.169442539897988","0.140865636652535","0.198019443143442","5"
"Rarely","1990","Full Time","Rural Area","455","0.526795452106111","0.493807738275256","0.559783165936966","4"
"Rarely","1990","Part Time","Urban Area","634","0.477103324147665","0.450538168321048","0.503668479974282","4"
"Rarely","1990","Full Time","Urban Area","1725","0.486140414416955","0.469668895259889","0.502611933574022","4"
"Rarely","1990","Not Working","Urban Area","1279","0.4624511356216","0.443532183510866","0.481370087732334","4"
"Rarely","1990","Part Time","Rural Area","196","0.533561358822461","0.482312187798499","0.584810529846423","4"
"Rarely","1990","Not Working","Rural Area","322","0.479962220353993","0.441904736582686","0.5180197041253","4"
"Daily","1991","Full Time","Urban Area","","","","","1"
"Daily","1991","Full Time","Rural Area","","","","","1"
"Daily","1991","Part Time","Urban Area","","","","","1"
"Daily","1991","Part Time","Rural Area","","","","","1"
"Daily","1991","Not Working","Urban Area","","","","","1"
"Daily","1991","Not Working","Rural Area","","","","","1"
"Min 1x per month","1991","Full Time","Rural Area","","","","","3"
"Min 1x per month","1991","Full Time","Urban Area","","","","","3"
"Min 1x per month","1991","Part Time","Urban Area","","","","","3"
"Min 1x per month","1991","Part Time","Rural Area","","","","","3"
"Min 1x per month","1991","Not Working","Urban Area","","","","","3"
"Min 1x per month","1991","Not Working","Rural Area","","","","","3"
"Min 1x per week","1991","Full Time","Urban Area","","","","","2"
"Min 1x per week","1991","Full Time","Rural Area","","","","","2"
"Min 1x per week","1991","Part Time","Urban Area","","","","","2"
"Min 1x per week","1991","Part Time","Rural Area","","","","","2"
"Min 1x per week","1991","Not Working","Urban Area","","","","","2"
"Min 1x per week","1991","Not Working","Rural Area","","","","","2"
"Never","1991","Full Time","Urban Area","","","","","5"
"Never","1991","Full Time","Rural Area","","","","","5"
"Never","1991","Part Time","Urban Area","","","","","5"
"Never","1991","Part Time","Rural Area","","","","","5"
"Never","1991","Not Working","Urban Area","","","","","5"
"Never","1991","Not Working","Rural Area","","","","","5"
"Rarely","1991","Full Time","Rural Area","","","","","4"
"Rarely","1991","Full Time","Urban Area","","","","","4"
"Rarely","1991","Part Time","Urban Area","","","","","4"
"Rarely","1991","Part Time","Rural Area","","","","","4"
"Rarely","1991","Not Working","Urban Area","","","","","4"
"Rarely","1991","Not Working","Rural Area","","","","","4"
"Daily","1992","Full Time","Urban Area","","","","","1"
"Daily","1992","Full Time","Rural Area","","","","","1"
"Daily","1992","Part Time","Urban Area","","","","","1"
"Daily","1992","Part Time","Rural Area","","","","","1"
"Daily","1992","Not Working","Urban Area","","","","","1"
"Daily","1992","Not Working","Rural Area","","","","","1"
"Min 1x per month","1992","Full Time","Rural Area","","","","","3"
"Min 1x per month","1992","Full Time","Urban Area","","","","","3"
"Min 1x per month","1992","Part Time","Urban Area","","","","","3"
"Min 1x per month","1992","Part Time","Rural Area","","","","","3"
"Min 1x per month","1992","Not Working","Urban Area","","","","","3"
"Min 1x per month","1992","Not Working","Rural Area","","","","","3"
"Min 1x per week","1992","Full Time","Urban Area","","","","","2"
"Min 1x per week","1992","Part Time","Urban Area","","","","","2"
"Min 1x per week","1992","Full Time","Rural Area","","","","","2"
"Min 1x per week","1992","Not Working","Urban Area","","","","","2"
"Min 1x per week","1992","Part Time","Rural Area","","","","","2"
"Min 1x per week","1992","Not Working","Rural Area","","","","","2"
"Never","1992","Full Time","Urban Area","","","","","5"
"Never","1992","Full Time","Rural Area","","","","","5"
"Never","1992","Part Time","Urban Area","","","","","5"
"Never","1992","Part Time","Rural Area","","","","","5"
"Never","1992","Not Working","Urban Area","","","","","5"
"Never","1992","Not Working","Rural Area","","","","","5"
"Rarely","1992","Full Time","Urban Area","","","","","4"
"Rarely","1992","Full Time","Rural Area","","","","","4"
"Rarely","1992","Part Time","Urban Area","","","","","4"
"Rarely","1992","Part Time","Rural Area","","","","","4"
"Rarely","1992","Not Working","Urban Area","","","","","4"
"Rarely","1992","Not Working","Rural Area","","","","","4"
"Daily","1993","Full Time","Urban Area","","","","","1"
"Daily","1993","Full Time","Rural Area","","","","","1"
"Daily","1993","Part Time","Urban Area","","","","","1"
"Daily","1993","Part Time","Rural Area","","","","","1"
"Daily","1993","Not Working","Urban Area","","","","","1"
"Daily","1993","Not Working","Rural Area","","","","","1"
"Min 1x per month","1993","Full Time","Urban Area","","","","","3"
"Min 1x per month","1993","Full Time","Rural Area","","","","","3"
"Min 1x per month","1993","Part Time","Urban Area","","","","","3"
"Min 1x per month","1993","Part Time","Rural Area","","","","","3"
"Min 1x per month","1993","Not Working","Urban Area","","","","","3"
"Min 1x per month","1993","Not Working","Rural Area","","","","","3"
"Min 1x per week","1993","Full Time","Urban Area","","","","","2"
"Min 1x per week","1993","Full Time","Rural Area","","","","","2"
"Min 1x per week","1993","Part Time","Urban Area","","","","","2"
"Min 1x per week","1993","Part Time","Rural Area","","","","","2"
"Min 1x per week","1993","Not Working","Urban Area","","","","","2"
"Min 1x per week","1993","Not Working","Rural Area","","","","","2"
"Never","1993","Full Time","Urban Area","","","","","5"
"Never","1993","Full Time","Rural Area","","","","","5"
"Never","1993","Part Time","Urban Area","","","","","5"
"Never","1993","Part Time","Rural Area","","","","","5"
"Never","1993","Not Working","Urban Area","","","","","5"
"Never","1993","Not Working","Rural Area","","","","","5"
"Rarely","1993","Full Time","Urban Area","","","","","4"
"Rarely","1993","Full Time","Rural Area","","","","","4"
"Rarely","1993","Part Time","Urban Area","","","","","4"
"Rarely","1993","Part Time","Rural Area","","","","","4"
"Rarely","1993","Not Working","Urban Area","","","","","4"
"Rarely","1993","Not Working","Rural Area","","","","","4"
"Daily","1994","Full Time","Urban Area","","","","","1"
"Daily","1994","Full Time","Rural Area","","","","","1"
