"pli0082","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","no migration background","8","","","","1"
"Daily","1990","Full Time","direct migration background","5","","","","1"
"Daily","1990","Full Time","indirect migration background","","","","","1"
"Daily","1990","Part Time","no migration background","4","","","","1"
"Daily","1990","Part Time","direct migration background","3","","","","1"
"Daily","1990","Part Time","indirect migration background","","","","","1"
"Daily","1990","Not Working","no migration background","10","","","","1"
"Daily","1990","Not Working","direct migration background","4","","","","1"
"Daily","1990","Not Working","indirect migration background","1","","","","1"
"Min 1x per month","1990","Not Working","no migration background","719","0.280706349263802","0.262781368861326","0.298631329666279","3"
"Min 1x per month","1990","Not Working","indirect migration background","27","","","","3"
"Min 1x per month","1990","Part Time","indirect migration background","27","","","","3"
"Min 1x per month","1990","Full Time","no migration background","1085","0.369154364471464","0.351862857205262","0.386445871737666","3"
"Min 1x per month","1990","Full Time","direct migration background","342","0.296755779061791","0.272195218253489","0.321316339870093","3"
"Min 1x per month","1990","Full Time","indirect migration background","39","0.364341798059188","0.268074495993853","0.460609100124524","3"
"Min 1x per month","1990","Part Time","no migration background","458","0.360638314753611","0.333922314666725","0.387354314840497","3"
"Min 1x per month","1990","Part Time","direct migration background","90","0.307299378306987","0.262141915361062","0.352456841252912","3"
"Min 1x per month","1990","Not Working","direct migration background","163","0.246088722700287","0.216185024138941","0.275992421261633","3"
"Min 1x per week","1990","Full Time","indirect migration background","7","","","","2"
"Min 1x per week","1990","Not Working","no migration background","184","0.0803007275863991","0.069459907929156","0.0911415472436423","2"
"Min 1x per week","1990","Full Time","no migration background","269","0.0953906772594796","0.0848649820002997","0.105916372518659","2"
"Min 1x per week","1990","Full Time","direct migration background","84","0.0663415175130829","0.0529610180516116","0.0797220169745542","2"
"Min 1x per week","1990","Part Time","indirect migration background","5","","","","2"
"Min 1x per week","1990","Not Working","indirect migration background","7","","","","2"
"Min 1x per week","1990","Part Time","direct migration background","23","","","","2"
"Min 1x per week","1990","Not Working","direct migration background","40","0.0648161075467855","0.0477234767256837","0.0819087383678874","2"
"Min 1x per week","1990","Part Time","no migration background","94","0.0729552792605013","0.0584861996926642","0.0874243588283384","2"
"Never","1990","Part Time","direct migration background","91","0.149018608264149","0.114164322465321","0.183872894062977","5"
"Never","1990","Part Time","no migration background","89","0.071218193458925","0.0569090207155776","0.0855273662022724","5"
"Never","1990","Full Time","no migration background","103","0.0334339511543234","0.0269926008791515","0.0398753014294952","5"
"Never","1990","Full Time","direct migration background","285","0.170128377837299","0.149927072262128","0.19032968341247","5"
"Never","1990","Full Time","indirect migration background","10","","","","5"
"Never","1990","Part Time","indirect migration background","8","","","","5"
