"pli0082","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","(0) in school","1","","",""
"Daily","1990","Not Employed","(1a) inadequately completed","1","","",""
"Daily","1990","Not Employed","(1b) general elementary school","5","","",""
"Daily","1990","Not Employed","(1c) basic vocational qualification","5","","",""
"Daily","1990","Not Employed","(2b) intermediate general qualification","1","","",""
"Daily","1990","Not Employed","(2a) intermediate vocational","1","","",""
"Daily","1990","Not Employed","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Not Employed","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","Not Employed","(3a) lower tertiary education","","","",""
"Daily","1990","Not Employed","(3b) higher tertiary education","","","",""
"Daily","1990","Employed","(0) in school","","","",""
"Daily","1990","Employed","(1a) inadequately completed","2","","",""
"Daily","1990","Employed","(1b) general elementary school","8","","",""
"Daily","1990","Employed","(1c) basic vocational qualification","5","","",""
"Daily","1990","Employed","(2b) intermediate general qualification","","","",""
"Daily","1990","Employed","(2a) intermediate vocational","1","","",""
"Daily","1990","Employed","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Employed","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Employed","(3a) lower tertiary education","1","","",""
"Daily","1990","Employed","(3b) higher tertiary education","2","","",""
"Min 1x per week","1990","Not Employed","(0) in school","6","","",""
"Min 1x per week","1990","Not Employed","(1a) inadequately completed","8","","",""
"Min 1x per week","1990","Not Employed","(1b) general elementary school","48","0.0492291503268912","0.0356839899288627","0.0627743107249197"
"Min 1x per week","1990","Not Employed","(1c) basic vocational qualification","79","0.0811171699011063","0.0643543352032562","0.0978800045989564"
"Min 1x per week","1990","Not Employed","(2b) intermediate general qualification","6","","",""
"Min 1x per week","1990","Not Employed","(2a) intermediate vocational","36","0.125766622038415","0.0899909738497273","0.161542270227104"
"Min 1x per week","1990","Not Employed","(2c_gen) general maturity certificate","12","","",""
"Min 1x per week","1990","Not Employed","(2c_voc) vocational maturity certificate","12","","",""
"Min 1x per week","1990","Not Employed","(3a) lower tertiary education","10","","",""
"Min 1x per week","1990","Not Employed","(3b) higher tertiary education","11","","",""
"Min 1x per week","1990","Employed","(0) in school","2","","",""
"Min 1x per week","1990","Employed","(1a) inadequately completed","24","","",""
"Min 1x per week","1990","Employed","(1b) general elementary school","77","0.0648790746545413","0.0507046543116875","0.0790534949973951"
"Min 1x per week","1990","Employed","(1c) basic vocational qualification","172","0.0846125053426746","0.0729751893410251","0.0962498213443241"
"Min 1x per week","1990","Employed","(2b) intermediate general qualification","16","","",""
