"pli0082","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","(0) in school","1","","",""
"Daily","1990","(1a) inadequately completed","3","","",""
"Daily","1990","(1b) general elementary school","13","","",""
"Daily","1990","(1c) basic vocational qualification","10","","",""
"Daily","1990","(2b) intermediate general qualification","1","","",""
"Daily","1990","(2a) intermediate vocational","2","","",""
"Daily","1990","(2c_gen) general maturity certificate","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","(3a) lower tertiary education","1","","",""
"Daily","1990","(3b) higher tertiary education","2","","",""
"Min 1x per week","1990","(0) in school","8","","",""
"Min 1x per week","1990","(1a) inadequately completed","32","0.039149361439934","0.0246038826261353","0.0536948402537327"
"Min 1x per week","1990","(1b) general elementary school","125","0.05584652291757","0.0461176938725029","0.0655753519626372"
"Min 1x per week","1990","(1c) basic vocational qualification","251","0.0832943364648853","0.0737441299116043","0.0928445430181663"
"Min 1x per week","1990","(2b) intermediate general qualification","22","","",""
"Min 1x per week","1990","(2a) intermediate vocational","112","0.0975696031744303","0.0812177508887265","0.113921455460134"
"Min 1x per week","1990","(2c_gen) general maturity certificate","27","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","42","0.111617946509969","0.0811744814171105","0.142061411602827"
"Min 1x per week","1990","(3a) lower tertiary education","36","0.165909353328109","0.11854888602896","0.213269820627258"
"Min 1x per week","1990","(3b) higher tertiary education","48","0.116174045077052","0.0868916155717103","0.145456474582394"
"Min 1x per month","1990","(0) in school","42","0.310037636028388","0.238816238231921","0.381259033824855"
"Min 1x per month","1990","(1a) inadequately completed","105","0.178103163748681","0.149409750669583","0.206796576827778"
"Min 1x per month","1990","(1b) general elementary school","499","0.227571104081029","0.209807584517989","0.24533462364407"
"Min 1x per month","1990","(1c) basic vocational qualification","1056","0.332751606293265","0.316466375423563","0.349036837162966"
"Min 1x per month","1990","(2b) intermediate general qualification","128","0.376472780055237","0.326284642820144","0.426660917290331"
"Min 1x per month","1990","(2a) intermediate vocational","451","0.345518085513982","0.319312911641073","0.37172325938689"
"Min 1x per month","1990","(2c_gen) general maturity certificate","108","0.310766779517758","0.261717183752616","0.3598163752829"
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","170","0.44354286309192","0.395513056667743","0.491572669516098"
"Min 1x per month","1990","(3a) lower tertiary education","109","0.444157829001547","0.380899411189578","0.507416246813516"
"Min 1x per month","1990","(3b) higher tertiary education","225","0.474712529223034","0.429079106579457","0.520345951866611"
"Rarely","1990","(0) in school","100","0.615792722871134","0.540891199067248","0.69069424667502"
"Rarely","1990","(1a) inadequately completed","334","0.480838331597616","0.443367909127888","0.518308754067344"
"Rarely","1990","(1b) general elementary school","1057","0.504736701948117","0.48355349447346","0.525919909422775"
"Rarely","1990","(1c) basic vocational qualification","1584","0.4813068479401","0.46403827900748","0.49857541687272"
"Rarely","1990","(2b) intermediate general qualification","180","0.479597012484776","0.427846494299946","0.531347530669605"
"Rarely","1990","(2a) intermediate vocational","655","0.513626766704397","0.486083751271515","0.541169782137278"
"Rarely","1990","(2c_gen) general maturity certificate","178","0.537177509908907","0.484332841618312","0.590022178199503"
