"pli0082","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","15","","","","1"
"Daily","1990","Employed","20","","","","1"
"Min 1x per month","1990","Not Employed","909","0.277226902861643","0.262023365338154","0.292430440385133","3"
"Min 1x per month","1990","Employed","2041","0.358589072965876","0.346592257539157","0.370585888392594","3"
"Min 1x per week","1990","Not Employed","231","0.0783021876041284","0.0691777270003569","0.0874266482078998","2"
"Min 1x per week","1990","Employed","482","0.0863438192993919","0.0793178491525988","0.093369789446185","2"
"Never","1990","Not Employed","574","0.174028634551315","0.161151512073884","0.186905757028747","5"
"Never","1990","Employed","586","0.0589154562696581","0.0530252810080125","0.0648056315313038","5"
"Rarely","1990","Not Employed","1601","0.466471644023076","0.449527589047457","0.483415698998695","4"
"Rarely","1990","Employed","3010","0.493428840078115","0.480922455779615","0.505935224376615","4"
"Daily","1991","Not Employed","","","","","1"
"Daily","1991","Employed","","","","","1"
"Min 1x per month","1991","Not Employed","","","","","3"
"Min 1x per month","1991","Employed","","","","","3"
"Min 1x per week","1991","Not Employed","","","","","2"
"Min 1x per week","1991","Employed","","","","","2"
"Never","1991","Not Employed","","","","","5"
"Never","1991","Employed","","","","","5"
"Rarely","1991","Not Employed","","","","","4"
"Rarely","1991","Employed","","","","","4"
"Daily","1992","Not Employed","","","","","1"
"Daily","1992","Employed","","","","","1"
"Min 1x per month","1992","Not Employed","","","","","3"
"Min 1x per month","1992","Employed","","","","","3"
"Min 1x per week","1992","Not Employed","","","","","2"
"Min 1x per week","1992","Employed","","","","","2"
"Never","1992","Not Employed","","","","","5"
"Never","1992","Employed","","","","","5"
"Rarely","1992","Not Employed","","","","","4"
"Rarely","1992","Employed","","","","","4"
"Daily","1993","Not Employed","","","","","1"
"Daily","1993","Employed","","","","","1"
"Min 1x per month","1993","Not Employed","","","","","3"
"Min 1x per month","1993","Employed","","","","","3"
"Min 1x per week","1993","Not Employed","","","","","2"
"Min 1x per week","1993","Employed","","","","","2"
"Never","1993","Not Employed","","","","","5"
"Never","1993","Employed","","","","","5"
"Rarely","1993","Not Employed","","","","","4"
"Rarely","1993","Employed","","","","","4"
"Daily","1994","Employed","","","","","1"
"Daily","1994","Not Employed","","","","","1"
"Min 1x per month","1994","Employed","","","","","3"
"Min 1x per month","1994","Not Employed","","","","","3"
"Min 1x per week","1994","Not Employed","","","","","2"
"Min 1x per week","1994","Employed","","","","","2"
"Never","1994","Not Employed","","","","","5"
"Never","1994","Employed","","","","","5"
"Rarely","1994","Employed","","","","","4"
"Rarely","1994","Not Employed","","","","","4"
"Daily","1995","Employed","7","","","","1"
"Daily","1995","Not Employed","13","","","","1"
"Min 1x per month","1995","Employed","2478","0.306188929215023","0.296380742783797","0.315997115646249","3"
"Min 1x per month","1995","Not Employed","1140","0.242255845436831","0.230135195669515","0.254376495204147","3"
"Min 1x per week","1995","Employed","469","0.0640440900496524","0.0588340557465041","0.0692541243528007","2"
"Min 1x per week","1995","Not Employed","248","0.0564566105764725","0.0499273227895036","0.0629858983634414","2"
"Never","1995","Not Employed","904","0.205697219220755","0.194262257263019","0.21713218117849","5"
"Never","1995","Employed","750","0.0742381395114456","0.0686593941386686","0.0798168848842227","5"
"Rarely","1995","Employed","4779","0.554875741857541","0.54429997524214","0.565451508472942","4"
"Rarely","1995","Not Employed","2495","0.492093037498369","0.477949984603095","0.506236090393644","4"
"Daily","1996","Employed","","","","","1"
"Daily","1996","Not Employed","","","","","1"
"Min 1x per month","1996","Employed","","","","","3"
"Min 1x per month","1996","Not Employed","","","","","3"
"Min 1x per week","1996","Employed","","","","","2"
"Min 1x per week","1996","Not Employed","","","","","2"
"Never","1996","Not Employed","","","","","5"
"Never","1996","Employed","","","","","5"
"Rarely","1996","Employed","","","","","4"
"Rarely","1996","Not Employed","","","","","4"
"Daily","1997","Employed","","","","","1"
"Daily","1997","Not Employed","","","","","1"
"Min 1x per month","1997","Not Employed","","","","","3"
"Min 1x per month","1997","Employed","","","","","3"
"Min 1x per week","1997","Employed","","","","","2"
"Min 1x per week","1997","Not Employed","","","","","2"
"Never","1997","Employed","","","","","5"
"Never","1997","Not Employed","","","","","5"
"Rarely","1997","Employed","","","","","4"
"Rarely","1997","Not Employed","","","","","4"
"Daily","1998","Employed","6","","","","1"
