"pli0082","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","no migration background","2","","",""
"Daily","1990","1-pers.-HH","direct migration background","","","",""
"Daily","1990","1-pers.-HH","indirect migration background","","","",""
"Daily","1990","(Married) couple without C. ","no migration background","8","","",""
"Daily","1990","(Married) couple without C. ","direct migration background","4","","",""
"Daily","1990","(Married) couple without C. ","indirect migration background","","","",""
"Daily","1990","Single parent ","no migration background","","","",""
"Daily","1990","Single parent ","direct migration background","","","",""
"Daily","1990","Single parent ","indirect migration background","","","",""
"Daily","1990","Couple + C. LE 16 ","no migration background","1","","",""
"Daily","1990","Couple + C. LE 16 ","direct migration background","4","","",""
"Daily","1990","Couple + C. LE 16 ","indirect migration background","","","",""
"Daily","1990","Couple + C. GT 16 ","no migration background","9","","",""
"Daily","1990","Couple + C. GT 16 ","direct migration background","1","","",""
"Daily","1990","Couple + C. GT 16 ","indirect migration background","1","","",""
"Daily","1990","Couple + C. LE and GT 16","no migration background","1","","",""
"Daily","1990","Couple + C. LE and GT 16","direct migration background","2","","",""
"Daily","1990","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per week","1990","1-pers.-HH","no migration background","80","0.0935402235986784","0.074101491760296","0.112978955437061"
"Min 1x per week","1990","1-pers.-HH","direct migration background","6","","",""
"Min 1x per week","1990","1-pers.-HH","indirect migration background","","","",""
"Min 1x per week","1990","(Married) couple without C. ","no migration background","191","0.105609917720067","0.0916540288320826","0.119565806608051"
"Min 1x per week","1990","(Married) couple without C. ","direct migration background","31","0.0742029242958981","0.0489859802112077","0.0994198683805886"
"Min 1x per week","1990","(Married) couple without C. ","indirect migration background","1","","",""
"Min 1x per week","1990","Single parent ","no migration background","24","","",""
"Min 1x per week","1990","Single parent ","direct migration background","7","","",""
"Min 1x per week","1990","Single parent ","indirect migration background","","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","no migration background","102","0.0808438302429598","0.0664197167984024","0.0952679436875172"
