"pli0082","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","Schleswig-Holstein","","","",""
"Daily","1990","16-34 y.","Hamburg","","","",""
"Daily","1990","16-34 y.","Lower Saxony","2","","",""
"Daily","1990","16-34 y.","Bremen","","","",""
"Daily","1990","16-34 y.","North Rhine-Westphalia","3","","",""
"Daily","1990","16-34 y.","Hesse","2","","",""
"Daily","1990","16-34 y.","Rhineland-Palatinate,Saarland","","","",""
"Daily","1990","16-34 y.","Baden-Württemberg","2","","",""
"Daily","1990","16-34 y.","Bavaria","1","","",""
"Daily","1990","16-34 y.","Berlin","","","",""
"Daily","1990","16-34 y.","Brandenburg","","","",""
"Daily","1990","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Daily","1990","16-34 y.","Saxony","","","",""
"Daily","1990","16-34 y.","Saxony-Anhalt","","","",""
"Daily","1990","16-34 y.","Thuringia","","","",""
"Daily","1990","35-65 y.","Schleswig-Holstein","2","","",""
"Daily","1990","35-65 y.","Hamburg","","","",""
"Daily","1990","35-65 y.","Lower Saxony","","","",""
"Daily","1990","35-65 y.","Bremen","3","","",""
"Daily","1990","35-65 y.","North Rhine-Westphalia","8","","",""
"Daily","1990","35-65 y.","Hesse","1","","",""
"Daily","1990","35-65 y.","Rhineland-Palatinate,Saarland","2","","",""
"Daily","1990","35-65 y.","Baden-Württemberg","4","","",""
"Daily","1990","35-65 y.","Bavaria","2","","",""
"Daily","1990","35-65 y.","Berlin","","","",""
"Daily","1990","35-65 y.","Brandenburg","","","",""
"Daily","1990","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Daily","1990","35-65 y.","Saxony","","","",""
"Daily","1990","35-65 y.","Saxony-Anhalt","","","",""
"Daily","1990","35-65 y.","Thuringia","","","",""
"Daily","1990","66 and older","Schleswig-Holstein","","","",""
"Daily","1990","66 and older","Hamburg","","","",""
"Daily","1990","66 and older","Lower Saxony","","","",""
"Daily","1990","66 and older","Bremen","","","",""
"Daily","1990","66 and older","North Rhine-Westphalia","1","","",""
"Daily","1990","66 and older","Hesse","2","","",""
"Daily","1990","66 and older","Rhineland-Palatinate,Saarland","","","",""
"Daily","1990","66 and older","Baden-Württemberg","","","",""
"Daily","1990","66 and older","Bavaria","","","",""
"Daily","1990","66 and older","Berlin","","","",""
"Daily","1990","66 and older","Brandenburg","","","",""
"Daily","1990","66 and older","Mecklenburg-Western Pomerania","","","",""
"Daily","1990","66 and older","Saxony","","","",""
"Daily","1990","66 and older","Saxony-Anhalt","","","",""
"Daily","1990","66 and older","Thuringia","","","",""
"Min 1x per week","1990","16-34 y.","Schleswig-Holstein","6","","",""
"Min 1x per week","1990","16-34 y.","Hamburg","6","","",""
"Min 1x per week","1990","16-34 y.","Lower Saxony","18","","",""
"Min 1x per week","1990","16-34 y.","Bremen","2","","",""
"Min 1x per week","1990","16-34 y.","North Rhine-Westphalia","57","0.0568028488070881","0.0425137735435012","0.0710919240706749"
"Min 1x per week","1990","16-34 y.","Hesse","40","0.101568301386837","0.0704500321758303","0.132686570597843"
"Min 1x per week","1990","16-34 y.","Rhineland-Palatinate,Saarland","23","","",""
"Min 1x per week","1990","16-34 y.","Baden-Württemberg","53","0.0757061555128125","0.056556245815918","0.094856065209707"
"Min 1x per week","1990","16-34 y.","Bavaria","57","0.0989788756287946","0.0752803177901798","0.122677433467409"
"Min 1x per week","1990","16-34 y.","Berlin","6","","",""
"Min 1x per week","1990","16-34 y.","Brandenburg","","","",""
"Min 1x per week","1990","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1990","16-34 y.","Saxony","","","",""
"Min 1x per week","1990","16-34 y.","Saxony-Anhalt","","","",""
"Min 1x per week","1990","16-34 y.","Thuringia","","","",""
"Min 1x per week","1990","35-65 y.","Schleswig-Holstein","13","","",""
"Min 1x per week","1990","35-65 y.","Hamburg","5","","",""
"Min 1x per week","1990","35-65 y.","Lower Saxony","37","0.0879597944311268","0.0629578534224482","0.112961735439805"
"Min 1x per week","1990","35-65 y.","Bremen","3","","",""
"Min 1x per week","1990","35-65 y.","North Rhine-Westphalia","87","0.0735393781884238","0.0594262311096132","0.0876525252672345"
"Min 1x per week","1990","35-65 y.","Hesse","38","0.0996562855599333","0.0737356333536505","0.125576937766216"
