"pli0082","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Not Employed","1-pers.-HH","2","","","","1"
"Daily","1990","Not Employed","(Married) couple without C. ","6","","","","1"
"Daily","1990","Not Employed","Single parent ","","","","","1"
"Daily","1990","Not Employed","Couple + C. LE 16 ","2","","","","1"
"Daily","1990","Not Employed","Couple + C. GT 16 ","5","","","","1"
"Daily","1990","Not Employed","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","Employed","1-pers.-HH","","","","","1"
"Daily","1990","Employed","(Married) couple without C. ","6","","","","1"
"Daily","1990","Employed","Single parent ","","","","","1"
"Daily","1990","Employed","Couple + C. LE 16 ","3","","","","1"
"Daily","1990","Employed","Couple + C. GT 16 ","6","","","","1"
"Daily","1990","Employed","Couple + C. LE and GT 16","3","","","","1"
"Min 1x per month","1990","Not Employed","(Married) couple without C. ","293","0.302779941245832","0.273516756558686","0.332043125932978","3"
"Min 1x per month","1990","Not Employed","Couple + C. LE 16 ","159","0.334659296602464","0.293984413551282","0.375334179653646","3"
"Min 1x per month","1990","Not Employed","Single parent ","36","0.235371756972049","0.16858588750799","0.302157626436108","3"
"Min 1x per month","1990","Not Employed","1-pers.-HH","134","0.245015546377152","0.207354268380763","0.28267682437354","3"
"Min 1x per month","1990","Not Employed","Couple + C. LE and GT 16","62","0.28590966431025","0.234083667873132","0.337735660747369","3"
"Min 1x per month","1990","Not Employed","Couple + C. GT 16 ","162","0.259915649098947","0.226429731167202","0.293401567030692","3"
"Min 1x per month","1990","Employed","Single parent ","97","0.338850254723614","0.285904306698724","0.391796202748503","3"
"Min 1x per month","1990","Employed","1-pers.-HH","193","0.367282984165758","0.326319448353809","0.408246519977706","3"
"Min 1x per month","1990","Employed","(Married) couple without C. ","513","0.390490797025601","0.364533844524176","0.416447749527027","3"
"Min 1x per month","1990","Employed","Couple + C. LE 16 ","521","0.360760217228289","0.336945315499436","0.384575118957141","3"
"Min 1x per month","1990","Employed","Couple + C. LE and GT 16","158","0.294313412070778","0.257756299674244","0.330870524467313","3"
"Min 1x per month","1990","Employed","Couple + C. GT 16 ","437","0.339762338507735","0.314872487807815","0.364652189207655","3"
"Min 1x per week","1990","Not Employed","Couple + C. LE 16 ","30","0.0742960558757582","0.0516901582701584","0.096901953481358","2"
"Min 1x per week","1990","Not Employed","(Married) couple without C. ","101","0.112734685924024","0.0925914781186644","0.132877893729383","2"
"Min 1x per week","1990","Not Employed","1-pers.-HH","32","0.0672437702834043","0.0453137347602509","0.0891738058065577","2"
"Min 1x per week","1990","Not Employed","Single parent ","6","","","","2"
"Min 1x per week","1990","Not Employed","Couple + C. GT 16 ","35","0.0568613526250155","0.0391805592951575","0.0745421459548734","2"
"Min 1x per week","1990","Not Employed","Couple + C. LE and GT 16","13","","","","2"
"Min 1x per week","1990","Employed","1-pers.-HH","54","0.117358610386318","0.0900095822158614","0.144707638556775","2"
"Min 1x per week","1990","Employed","(Married) couple without C. ","122","0.092711724594425","0.0772805797990865","0.108142869389764","2"
"Min 1x per week","1990","Employed","Couple + C. LE 16 ","115","0.0844396996778184","0.0706509657075092","0.0982284336481276","2"
"Min 1x per week","1990","Employed","Single parent ","25","","","","2"
"Min 1x per week","1990","Employed","Couple + C. GT 16 ","108","0.0766499247424046","0.0626693963162171","0.0906304531685921","2"
"Min 1x per week","1990","Employed","Couple + C. LE and GT 16","32","0.0501704802765099","0.0326596037329458","0.0676813568200741","2"
"Never","1990","Not Employed","1-pers.-HH","141","0.304030062363895","0.26375068647522","0.34430943825257","5"
"Never","1990","Not Employed","(Married) couple without C. ","126","0.12506810129786","0.103999606701231","0.146136595894489","5"
"Never","1990","Not Employed","Single parent ","34","0.217375256350615","0.152442463514705","0.282308049186525","5"
"Never","1990","Employed","(Married) couple without C. ","71","0.0345216594753749","0.0248081701555332","0.0442351487952166","5"
