"pli0082","year","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Male","20","","",""
"Daily","1990","Female","15","","",""
"Min 1x per week","1990","Male","376","0.0898432017172019","0.0816426348115337","0.09804376862287"
"Min 1x per week","1990","Female","337","0.0769889464524819","0.0694460940689629","0.0845317988360008"
"Min 1x per month","1990","Male","1536","0.34837858257105","0.33471493799668","0.36204222714542"
"Min 1x per month","1990","Female","1414","0.305803964832664","0.292766877055463","0.318841052609864"
"Rarely","1990","Male","2232","0.478331213082398","0.464005872891222","0.492656553273574"
"Rarely","1990","Female","2379","0.486691000215411","0.472548243642439","0.500833756788384"
"Never","1990","Male","507","0.0801105141059381","0.0723255655992227","0.0878954626126535"
"Never","1990","Female","653","0.127403219832735","0.117968804871298","0.136837634794172"
"Daily","1991","Male","","","",""
"Daily","1991","Female","","","",""
"Min 1x per week","1991","Male","","","",""
"Min 1x per week","1991","Female","","","",""
"Min 1x per month","1991","Male","","","",""
"Min 1x per month","1991","Female","","","",""
"Rarely","1991","Male","","","",""
"Rarely","1991","Female","","","",""
"Never","1991","Male","","","",""
"Never","1991","Female","","","",""
"Daily","1992","Male","","","",""
"Daily","1992","Female","","","",""
"Min 1x per week","1992","Male","","","",""
"Min 1x per week","1992","Female","","","",""
"Min 1x per month","1992","Male","","","",""
"Min 1x per month","1992","Female","","","",""
"Rarely","1992","Male","","","",""
"Rarely","1992","Female","","","",""
"Never","1992","Male","","","",""
"Never","1992","Female","","","",""
"Daily","1993","Male","","","",""
"Daily","1993","Female","","","",""
"Min 1x per week","1993","Male","","","",""
"Min 1x per week","1993","Female","","","",""
"Min 1x per month","1993","Male","","","",""
"Min 1x per month","1993","Female","","","",""
"Rarely","1993","Male","","","",""
"Rarely","1993","Female","","","",""
"Never","1993","Male","","","",""
"Never","1993","Female","","","",""
"Daily","1994","Male","","","",""
"Daily","1994","Female","","","",""
"Min 1x per week","1994","Male","","","",""
"Min 1x per week","1994","Female","","","",""
"Min 1x per month","1994","Male","","","",""
"Min 1x per month","1994","Female","","","",""
"Rarely","1994","Male","","","",""
"Rarely","1994","Female","","","",""
"Never","1994","Male","","","",""
"Never","1994","Female","","","",""
"Daily","1995","Male","10","","",""
"Daily","1995","Female","10","","",""
"Min 1x per week","1995","Male","375","0.0701451856910815","0.0638891853645515","0.0764011860176116"
"Min 1x per week","1995","Female","342","0.052337663761957","0.0470755977893689","0.0575997297345452"
"Min 1x per month","1995","Male","1827","0.295902223131668","0.28472121774564","0.307083228517695"
"Min 1x per month","1995","Female","1791","0.264203786576158","0.253786116360525","0.27462145679179"
"Rarely","1995","Male","3472","0.525275735440555","0.513043533532653","0.537507937348456"
"Rarely","1995","Female","3802","0.531551402490633","0.519761073656481","0.543341731324786"
"Never","1995","Male","718","0.106756948636727","0.0991925718116109","0.114321325461842"
"Never","1995","Female","936","0.150129328820911","0.141689541462449","0.158569116179374"
"Daily","1996","Male","","","",""
"Daily","1996","Female","","","",""
"Min 1x per week","1996","Male","","","",""
"Min 1x per week","1996","Female","","","",""
"Min 1x per month","1996","Male","","","",""
"Min 1x per month","1996","Female","","","",""
