"pli0082","year","n","percent","lower_confidence","upper_confidence"
"Daily","1990","35","0.00321988311397927","0.00207880396593153","0.004360962262027"
"Min 1x per week","1990","713","0.0831404172677943","0.0775794089215819","0.0887014256140067"
"Min 1x per month","1990","2950","0.326178269924424","0.316735572984213","0.335620966864634"
"Rarely","1990","4611","0.482690380536409","0.472625569354613","0.492755191718206"
"Never","1990","1160","0.104771049157393","0.0986024899382173","0.11093960837657"
"Daily","1991","","","",""
"Min 1x per week","1991","","","",""
"Min 1x per month","1991","","","",""
"Rarely","1991","","","",""
"Never","1991","","","",""
"Daily","1992","","","",""
"Min 1x per week","1992","","","",""
"Min 1x per month","1992","","","",""
"Rarely","1992","","","",""
"Never","1992","","","",""
"Daily","1993","","","",""
"Min 1x per week","1993","","","",""
"Min 1x per month","1993","","","",""
"Rarely","1993","","","",""
"Never","1993","","","",""
"Daily","1994","","","",""
"Min 1x per week","1994","","","",""
"Min 1x per month","1994","","","",""
"Rarely","1994","","","",""
"Never","1994","","","",""
"Daily","1995","20","","",""
"Min 1x per week","1995","717","0.0608622076102399","0.0567964777997129","0.0649279374207668"
"Min 1x per month","1995","3618","0.279377976079612","0.2717475313023","0.287008420856925"
"Rarely","1995","7274","0.528547211387652","0.520058124043325","0.537036298731979"
"Never","1995","1654","0.129366768024635","0.123659490531068","0.135074045518201"
"Daily","1996","","","",""
"Min 1x per week","1996","","","",""
"Min 1x per month","1996","","","",""
"Rarely","1996","","","",""
"Never","1996","","","",""
"Daily","1997","","","",""
"Min 1x per week","1997","","","",""
"Min 1x per month","1997","","","",""
"Rarely","1997","","","",""
"Never","1997","","","",""
"Daily","1998","14","","",""
"Min 1x per week","1998","675","0.0503497487056395","0.0467557427682108","0.0539437546430681"
"Min 1x per month","1998","3482","0.252918798910794","0.245774283911215","0.260063313910373"
"Rarely","1998","8543","0.584867986024616","0.576769192423996","0.592966779625235"
"Never","1998","1506","0.111109951052056","0.105944612483916","0.116275289620195"
"Daily","1999","","","",""
"Min 1x per week","1999","","","",""
"Min 1x per month","1999","","","",""
"Rarely","1999","","","",""
"Never","1999","","","",""
"Daily","2000","","","",""
"Min 1x per week","2000","","","",""
"Min 1x per month","2000","","","",""
"Rarely","2000","","","",""
"Never","2000","","","",""
"Daily","2001","","","",""
"Min 1x per week","2001","","","",""
"Min 1x per month","2001","","","",""
"Rarely","2001","","","",""
"Never","2001","","","",""
"Daily","2002","","","",""
"Min 1x per week","2002","","","",""
"Min 1x per month","2002","","","",""
"Rarely","2002","","","",""
"Never","2002","","","",""
"Daily","2003","19","","",""
"Min 1x per week","2003","1080","0.0463356157247081","0.0435685434966927","0.0491026879527236"
"Min 1x per month","2003","5654","0.240021759900958","0.234399756148253","0.245643763653663"
"Rarely","2003","12786","0.572295675755307","0.565783182339332","0.578808169171282"
"Never","2003","2631","0.140289173665217","0.135717728434656","0.144860618895778"
"Daily","2004","","","",""
"Min 1x per week","2004","","","",""
"Min 1x per month","2004","","","",""
"Rarely","2004","","","",""
"Never","2004","","","",""
"Daily","2005","","","",""
"Min 1x per week","2005","","","",""
"Min 1x per month","2005","","","",""
"Rarely","2005","","","",""
"Never","2005","","","",""
"Daily","2006","","","",""
"Min 1x per week","2006","","","",""
"Min 1x per month","2006","","","",""
"Rarely","2006","","","",""
"Never","2006","","","",""
"Daily","2007","","","",""
"Min 1x per week","2007","","","",""
"Min 1x per month","2007","","","",""
"Rarely","2007","","","",""
"Never","2007","","","",""
"Daily","2008","14","","",""
"Min 1x per week","2008","555","0.0274676127082407","0.0251646200904504","0.029770605326031"
"Min 1x per month","2008","4201","0.199776460677853","0.194142577073783","0.205410344281923"
"Rarely","2008","11598","0.59461371397657","0.587695690384786","0.601531737568354"
"Never","2008","2980","0.177228153230299","0.171847486181833","0.182608820278764"
"Daily","2009","","","",""
"Min 1x per week","2009","","","",""
"Min 1x per month","2009","","","",""
"Rarely","2009","","","",""
"Never","2009","","","",""
"Daily","2010","","","",""
"Min 1x per week","2010","","","",""
"Min 1x per month","2010","","","",""
"Rarely","2010","","","",""
"Never","2010","","","",""
"Daily","2011","","","",""
"Min 1x per week","2011","","","",""
"Min 1x per month","2011","","","",""
"Rarely","2011","","","",""
"Never","2011","","","",""
"Daily","2012","","","",""
"Min 1x per week","2012","","","",""
"Min 1x per month","2012","","","",""
"Rarely","2012","","","",""
"Never","2012","","","",""
"Daily","2013","35","0.00150283261541697","0.00102785530436019","0.00197780992647375"
"Min 1x per week","2013","1150","0.0385614614707642","0.0362005394339491","0.0409223835075793"
"Min 1x per month","2013","7149","0.264617859526865","0.259208943298298","0.270026775755432"
"Rarely","2013","13900","0.549647653297735","0.543547193855472","0.555748112739997"
"Never","2013","3317","0.145670193089219","0.141344633817405","0.149995752361033"
"Daily","2014","","","",""
"Min 1x per week","2014","","","",""
"Min 1x per month","2014","","","",""
"Rarely","2014","","","",""
"Never","2014","","","",""
"Daily","2015","","","",""
"Min 1x per week","2015","","","",""
"Min 1x per month","2015","","","",""
"Rarely","2015","","","",""
"Never","2015","","","",""
"Daily","2016","","","",""
"Min 1x per week","2016","","","",""
"Min 1x per month","2016","","","",""
"Rarely","2016","","","",""
"Never","2016","","","",""
"Daily","2017","69","0.0151292845618902","0.0119123289417309","0.0183462401820495"
"Min 1x per week","2017","467","0.0917889646369697","0.0841798367279736","0.0993980925459657"
"Min 1x per month","2017","876","0.151490272487476","0.14204168153557","0.160938863439383"
"Rarely","2017","1820","0.313089335738541","0.300867666421357","0.325311005055726"
"Never","2017","2299","0.428502142575122","0.415460566954038","0.441543718196206"
"Daily","2018","86","0.027624170740523","0.0224531961466126","0.0327951453344333"
"Min 1x per week","2018","633","0.17255930865051","0.160637330129252","0.184481287171768"
"Min 1x per month","2018","952","0.240355141573102","0.22687350202347","0.253836781122734"
"Rarely","2018","1367","0.329644216796604","0.314812681404814","0.344475752188394"
"Never","2018","821","0.229817162239261","0.216543252840703","0.243091071637819"
"Daily","2019","158","0.00177804758474807","0.00129652644026298","0.00225956872923315"
"Min 1x per week","2019","1909","0.0476831467981677","0.0452475617243211","0.0501187318720144"
"Min 1x per month","2019","10006","0.317569598825175","0.31224877649285","0.3228904211575"
"Rarely","2019","14136","0.513516617810015","0.507803918431847","0.519229317188183"
"Never","2019","3197","0.119452588981894","0.115745745315802","0.123159432647987"
