"pli0082","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","Not Employed","","","","","1"
"Daily","1990","Schleswig-Holstein","Employed","2","","","","1"
"Daily","1990","Hamburg","Not Employed","","","","","1"
"Daily","1990","Hamburg","Employed","","","","","1"
"Daily","1990","Lower Saxony","Not Employed","1","","","","1"
"Daily","1990","Lower Saxony","Employed","1","","","","1"
"Daily","1990","Bremen","Not Employed","1","","","","1"
"Daily","1990","Bremen","Employed","2","","","","1"
"Daily","1990","North Rhine-Westphalia","Not Employed","6","","","","1"
"Daily","1990","North Rhine-Westphalia","Employed","6","","","","1"
"Daily","1990","Hesse","Not Employed","2","","","","1"
"Daily","1990","Hesse","Employed","3","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Not Employed","1","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Employed","1","","","","1"
"Daily","1990","Baden-Württemberg","Not Employed","3","","","","1"
"Daily","1990","Baden-Württemberg","Employed","3","","","","1"
"Daily","1990","Bavaria","Not Employed","1","","","","1"
"Daily","1990","Bavaria","Employed","2","","","","1"
"Daily","1990","Berlin","Not Employed","","","","","1"
"Daily","1990","Berlin","Employed","","","","","1"
"Daily","1990","Brandenburg","Not Employed","","","","","1"
"Daily","1990","Brandenburg","Employed","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Daily","1990","Saxony","Not Employed","","","","","1"
"Daily","1990","Saxony","Employed","","","","","1"
"Daily","1990","Saxony-Anhalt","Not Employed","","","","","1"
"Daily","1990","Saxony-Anhalt","Employed","","","","","1"
"Daily","1990","Thuringia","Not Employed","","","","","1"
"Daily","1990","Thuringia","Employed","","","","","1"
"Min 1x per month","1990","Hamburg","Employed","48","0.444989429425815","0.349933564893681","0.540045293957949","3"
"Min 1x per month","1990","Saxony","Employed","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Employed","57","0.331489266950679","0.262527162920019","0.400451370981339","3"
"Min 1x per month","1990","Hamburg","Not Employed","23","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Employed","","","","","3"
"Min 1x per month","1990","Saxony","Not Employed","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Not Employed","28","","","","3"
"Min 1x per month","1990","Brandenburg","Employed","","","","","3"
"Min 1x per month","1990","Thuringia","Employed","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Not Employed","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Employed","","","","","3"
"Min 1x per month","1990","Thuringia","Not Employed","","","","","3"
"Min 1x per month","1990","Lower Saxony","Not Employed","109","0.296292802362233","0.249891179663287","0.342694425061179","3"
"Min 1x per month","1990","Lower Saxony","Employed","223","0.383337156276916","0.344562855865233","0.422111456688598","3"
"Min 1x per month","1990","Bremen","Not Employed","21","","","","3"
"Min 1x per month","1990","Bremen","Employed","17","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","Not Employed","243","0.248833031767288","0.222050396389843","0.275615667144733","3"
"Min 1x per month","1990","North Rhine-Westphalia","Employed","481","0.326776071905298","0.30355306301136","0.349999080799236","3"
"Min 1x per month","1990","Hesse","Not Employed","90","0.269082607237962","0.221663277169473","0.316501937306451","3"
"Min 1x per month","1990","Hesse","Employed","203","0.382029249968226","0.344589907024674","0.419468592911777","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Not Employed","81","0.289062072275218","0.234686497808925","0.343437646741511","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Employed","122","0.338694000281331","0.292487768624233","0.384900231938429","3"
"Min 1x per month","1990","Baden-Württemberg","Not Employed","135","0.260597522871412","0.223401475494874","0.297793570247949","3"
"Min 1x per month","1990","Baden-Württemberg","Employed","418","0.364133040190377","0.337521718527629","0.390744361853125","3"
"Min 1x per month","1990","Bavaria","Not Employed","158","0.315321389953279","0.274264539011209","0.356378240895349","3"
"Min 1x per month","1990","Bavaria","Employed","398","0.362853371266352","0.334490589045839","0.391216153486866","3"
"Min 1x per month","1990","Berlin","Not Employed","21","","","","3"
"Min 1x per month","1990","Berlin","Employed","74","0.426695753568354","0.362069560804472","0.491321946332237","3"
"Min 1x per month","1990","Brandenburg","Not Employed","","","","","3"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Min 1x per week","1990","Saxony","Not Employed","","","","","2"
"Min 1x per week","1990","Saxony","Employed","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Not Employed","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Employed","","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","Not Employed","9","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","Employed","10","","","","2"
"Min 1x per week","1990","Hamburg","Not Employed","3","","","","2"
"Min 1x per week","1990","Hamburg","Employed","10","","","","2"
"Min 1x per week","1990","Lower Saxony","Not Employed","16","","","","2"
"Min 1x per week","1990","Lower Saxony","Employed","44","0.0865121710498088","0.0640929969373271","0.108931345162291","2"
"Min 1x per week","1990","Bremen","Not Employed","6","","","","2"
"Min 1x per week","1990","Bremen","Employed","4","","","","2"
"Min 1x per week","1990","North Rhine-Westphalia","Not Employed","61","0.065166422747422","0.049876329130841","0.080456516364003","2"
"Min 1x per week","1990","North Rhine-Westphalia","Employed","98","0.064774055894173","0.0525877405627233","0.0769603712256226","2"
"Min 1x per week","1990","Hesse","Not Employed","28","","","","2"
"Min 1x per week","1990","Hesse","Employed","55","0.0916992248848226","0.0694613324387579","0.113937117330887","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Not Employed","16","","","","2"
"Min 1x per week","1990","Thuringia","Not Employed","","","","","2"
"Min 1x per week","1990","Thuringia","Employed","","","","","2"
"Min 1x per week","1990","Brandenburg","Employed","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"Min 1x per week","1990","Baden-Württemberg","Employed","88","0.0799733466316883","0.0649721428395465","0.0949745504238301","2"
"Min 1x per week","1990","Bavaria","Not Employed","42","0.102407542227815","0.075617641235342","0.129197443220289","2"
"Min 1x per week","1990","Bavaria","Employed","114","0.113969157132628","0.0952243212430011","0.132713993022256","2"
"Min 1x per week","1990","Berlin","Not Employed","11","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Employed","43","0.111156266877033","0.080467795826302","0.141844737927764","2"
"Min 1x per week","1990","Baden-Württemberg","Not Employed","39","0.0842604041196435","0.0607224362631413","0.107798371976146","2"
