"pli0082","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","1-pers.-HH","","","","","1"
"Daily","1990","16-34 y.","(Married) couple without C. ","3","","","","1"
"Daily","1990","16-34 y.","Single parent ","","","","","1"
"Daily","1990","16-34 y.","Couple + C. LE 16 ","2","","","","1"
"Daily","1990","16-34 y.","Couple + C. GT 16 ","4","","","","1"
"Daily","1990","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Daily","1990","35-65 y.","1-pers.-HH","1","","","","1"
"Daily","1990","35-65 y.","(Married) couple without C. ","7","","","","1"
"Daily","1990","35-65 y.","Single parent ","","","","","1"
"Daily","1990","35-65 y.","Couple + C. LE 16 ","3","","","","1"
"Daily","1990","35-65 y.","Couple + C. GT 16 ","7","","","","1"
"Daily","1990","35-65 y.","Couple + C. LE and GT 16","3","","","","1"
"Daily","1990","66 and older","1-pers.-HH","1","","","","1"
"Daily","1990","66 and older","(Married) couple without C. ","2","","","","1"
"Daily","1990","66 and older","Single parent ","","","","","1"
"Daily","1990","66 and older","Couple + C. LE 16 ","","","","","1"
"Daily","1990","66 and older","Couple + C. GT 16 ","","","","","1"
"Daily","1990","66 and older","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1990","66 and older","(Married) couple without C. ","149","0.273291982024904","0.234229799052926","0.312354164996881","3"
"Min 1x per month","1990","66 and older","Couple + C. GT 16 ","17","","","","3"
"Min 1x per month","1990","16-34 y.","Single parent ","69","0.32965625765795","0.267957687242737","0.391354828073163","3"
"Min 1x per month","1990","66 and older","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1990","16-34 y.","(Married) couple without C. ","233","0.373431875741308","0.33566007779399","0.411203673688625","3"
"Min 1x per month","1990","16-34 y.","1-pers.-HH","111","0.410016793206916","0.350799875063506","0.469233711350326","3"
"Min 1x per month","1990","16-34 y.","Couple + C. LE 16 ","313","0.328083610348027","0.299548385010744","0.356618835685311","3"
"Min 1x per month","1990","16-34 y.","Couple + C. GT 16 ","272","0.333900368524803","0.302083684599447","0.365717052450158","3"
"Min 1x per month","1990","16-34 y.","Couple + C. LE and GT 16","94","0.324191901975512","0.275705567326315","0.372678236624709","3"
"Min 1x per month","1990","35-65 y.","(Married) couple without C. ","424","0.378456968698479","0.350713682849861","0.406200254547097","3"
"Min 1x per month","1990","35-65 y.","Single parent ","58","0.295684025516852","0.234254400966398","0.357113650067306","3"
"Min 1x per month","1990","35-65 y.","Couple + C. GT 16 ","310","0.302995821481469","0.276307439833004","0.329684203129933","3"
"Min 1x per month","1990","35-65 y.","Couple + C. LE and GT 16","126","0.273039436503531","0.235109835732376","0.310969037274686","3"
"Min 1x per month","1990","66 and older","1-pers.-HH","97","0.231821861910993","0.189110774991151","0.274532948830834","3"
"Min 1x per month","1990","66 and older","Single parent ","6","","","","3"
"Min 1x per month","1990","66 and older","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1990","35-65 y.","1-pers.-HH","119","0.316227572672032","0.270254082521852","0.362201062822211","3"
"Min 1x per month","1990","35-65 y.","Couple + C. LE 16 ","367","0.378584348182568","0.349091770051513","0.408076926313623","3"
"Min 1x per week","1990","66 and older","(Married) couple without C. ","47","0.0995859947340721","0.0733387728585838","0.12583321660956","2"
"Min 1x per week","1990","16-34 y.","Couple + C. LE and GT 16","16","","","","2"
"Min 1x per week","1990","16-34 y.","Couple + C. LE 16 ","63","0.0656209037600912","0.0505716806080407","0.0806701269121418","2"
"Min 1x per week","1990","35-65 y.","Couple + C. LE 16 ","82","0.0969892030986551","0.0789943425988598","0.11498406359845","2"
"Min 1x per week","1990","16-34 y.","Couple + C. GT 16 ","74","0.0856793756899698","0.0667966678996135","0.104562083480326","2"
"Min 1x per week","1990","66 and older","Couple + C. GT 16 ","3","","","","2"
"Min 1x per week","1990","66 and older","1-pers.-HH","19","","","","2"
"Min 1x per week","1990","35-65 y.","Single parent ","14","","","","2"
"Min 1x per week","1990","16-34 y.","1-pers.-HH","19","","","","2"
"Min 1x per week","1990","16-34 y.","(Married) couple without C. ","60","0.0978810439145134","0.0746772490766607","0.121084838752366","2"
"Min 1x per week","1990","16-34 y.","Single parent ","16","","","","2"
"Min 1x per week","1990","35-65 y.","(Married) couple without C. ","116","0.105351129278173","0.0877896963548983","0.122912562201447","2"
"Min 1x per week","1990","35-65 y.","Couple + C. GT 16 ","66","0.0616788123900466","0.0477077319903681","0.0756498927897251","2"
"Min 1x per week","1990","35-65 y.","Couple + C. LE and GT 16","29","","","","2"
"Min 1x per week","1990","66 and older","Single parent ","1","","","","2"
"Min 1x per week","1990","66 and older","Couple + C. LE 16 ","","","","","2"
"Min 1x per week","1990","66 and older","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1990","35-65 y.","1-pers.-HH","48","0.144959611718094","0.110152447756264","0.179766775679925","2"
"Never","1990","35-65 y.","Couple + C. LE 16 ","91","0.0562634529739808","0.0422521380316982","0.0702747679162634","5"
"Never","1990","35-65 y.","Single parent ","36","0.121084369504008","0.0771708953682082","0.164997843639807","5"
