"pli0082","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","(0) in school","","","",""
"Daily","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Daily","1990","lower secondary degree","(1b) general elementary school","6","","",""
"Daily","1990","lower secondary degree","(1c) basic vocational qualification","10","","",""
"Daily","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Daily","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Daily","1990","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Daily","1990","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","lower secondary degree","(3a) lower tertiary education","","","",""
"Daily","1990","lower secondary degree","(3b) higher tertiary education","","","",""
"Daily","1990","secondary school degree","(0) in school","","","",""
"Daily","1990","secondary school degree","(1a) inadequately completed","","","",""
"Daily","1990","secondary school degree","(1b) general elementary school","","","",""
"Daily","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Daily","1990","secondary school degree","(2b) intermediate general qualification","1","","",""
"Daily","1990","secondary school degree","(2a) intermediate vocational","2","","",""
"Daily","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Daily","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","secondary school degree","(3a) lower tertiary education","","","",""
"Daily","1990","secondary school degree","(3b) higher tertiary education","","","",""
"Daily","1990","college entrance qualification","(0) in school","","","",""
"Daily","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Daily","1990","college entrance qualification","(1b) general elementary school","","","",""
"Daily","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Daily","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Daily","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Daily","1990","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Daily","1990","college entrance qualification","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","college entrance qualification","(3a) lower tertiary education","1","","",""
"Daily","1990","college entrance qualification","(3b) higher tertiary education","2","","",""
"Daily","1990","Other degree","(0) in school","","","",""
"Daily","1990","Other degree","(1a) inadequately completed","","","",""
"Daily","1990","Other degree","(1b) general elementary school","7","","",""
"Daily","1990","Other degree","(1c) basic vocational qualification","","","",""
"Daily","1990","Other degree","(2b) intermediate general qualification","","","",""
"Daily","1990","Other degree","(2a) intermediate vocational","","","",""
"Daily","1990","Other degree","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Other degree","(3a) lower tertiary education","","","",""
"Daily","1990","Other degree","(3b) higher tertiary education","","","",""
"Daily","1990","no degree/no degree yet","(0) in school","1","","",""
"Daily","1990","no degree/no degree yet","(1a) inadequately completed","3","","",""
"Daily","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Daily","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Daily","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Daily","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Daily","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Daily","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Daily","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","lower secondary degree","(0) in school","","","",""
"Min 1x per week","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Min 1x per week","1990","lower secondary degree","(1b) general elementary school","103","0.055897594519106","0.0446095396239618","0.0671856494142502"
"Min 1x per week","1990","lower secondary degree","(1c) basic vocational qualification","233","0.0834497757612193","0.0734118252037421","0.0934877263186965"
"Min 1x per week","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1990","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"Min 1x per week","1990","lower secondary degree","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","lower secondary degree","(3b) higher tertiary education","1","","",""
"Min 1x per week","1990","secondary school degree","(0) in school","","","",""
"Min 1x per week","1990","secondary school degree","(1a) inadequately completed","","","",""
"Min 1x per week","1990","secondary school degree","(1b) general elementary school","","","",""
"Min 1x per week","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Min 1x per week","1990","secondary school degree","(2b) intermediate general qualification","22","","",""
"Min 1x per week","1990","secondary school degree","(2a) intermediate vocational","112","0.0975696031744303","0.0812177508887265","0.113921455460134"
"Min 1x per week","1990","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","secondary school degree","(3a) lower tertiary education","11","","",""
"Min 1x per week","1990","secondary school degree","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","college entrance qualification","(0) in school","","","",""
"Min 1x per week","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Min 1x per week","1990","college entrance qualification","(1b) general elementary school","","","",""
"Min 1x per week","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Min 1x per week","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","college entrance qualification","(2c_gen) general maturity certificate","22","","",""
"Min 1x per week","1990","college entrance qualification","(2c_voc) vocational maturity certificate","32","0.110084104245327","0.076365399560124","0.143802808930529"
"Min 1x per week","1990","college entrance qualification","(3a) lower tertiary education","24","","",""
"Min 1x per week","1990","college entrance qualification","(3b) higher tertiary education","45","0.116588172388308","0.0855991172308248","0.147577227545792"
"Min 1x per week","1990","Other degree","(0) in school","","","",""
"Min 1x per week","1990","Other degree","(1a) inadequately completed","","","",""
"Min 1x per week","1990","Other degree","(1b) general elementary school","22","","",""
"Min 1x per week","1990","Other degree","(1c) basic vocational qualification","18","","",""
"Min 1x per week","1990","Other degree","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","Other degree","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","Other degree","(2c_gen) general maturity certificate","3","","",""
"Min 1x per week","1990","Other degree","(2c_voc) vocational maturity certificate","9","","",""
"Min 1x per week","1990","Other degree","(3a) lower tertiary education","1","","",""
"Min 1x per week","1990","Other degree","(3b) higher tertiary education","1","","",""
"Min 1x per week","1990","no degree/no degree yet","(0) in school","8","","",""
"Min 1x per week","1990","no degree/no degree yet","(1a) inadequately completed","31","0.0357229199861533","0.0217215477405011","0.0497242922318054"
"Min 1x per week","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Min 1x per week","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Min 1x per month","1990","lower secondary degree","(0) in school","","","",""
"Min 1x per month","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Min 1x per month","1990","lower secondary degree","(1b) general elementary school","393","0.228905953462638","0.208261888346533","0.249550018578743"
"Min 1x per month","1990","lower secondary degree","(1c) basic vocational qualification","978","0.334449589081416","0.317325394955694","0.351573783207138"
"Min 1x per month","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"Min 1x per month","1990","lower secondary degree","(2c_voc) vocational maturity certificate","3","","",""
"Min 1x per month","1990","lower secondary degree","(3a) lower tertiary education","6","","",""
"Min 1x per month","1990","lower secondary degree","(3b) higher tertiary education","1","","",""
"Min 1x per month","1990","secondary school degree","(0) in school","","","",""
"Min 1x per month","1990","secondary school degree","(1a) inadequately completed","","","",""
"Min 1x per month","1990","secondary school degree","(1b) general elementary school","","","",""
"Min 1x per month","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Min 1x per month","1990","secondary school degree","(2b) intermediate general qualification","128","0.376472780055237","0.326284642820144","0.426660917290331"
"Min 1x per month","1990","secondary school degree","(2a) intermediate vocational","451","0.345518085513982","0.319312911641073","0.37172325938689"
"Min 1x per month","1990","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1990","secondary school degree","(3a) lower tertiary education","18","","",""
"Min 1x per month","1990","secondary school degree","(3b) higher tertiary education","5","","",""
"Min 1x per month","1990","college entrance qualification","(0) in school","","","",""
"Min 1x per month","1990","college entrance qualification","(1a) inadequately completed","","","",""
"Min 1x per month","1990","college entrance qualification","(1b) general elementary school","","","",""
"Min 1x per month","1990","college entrance qualification","(1c) basic vocational qualification","","","",""
"Min 1x per month","1990","college entrance qualification","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","college entrance qualification","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","college entrance qualification","(2c_gen) general maturity certificate","93","0.311971009521186","0.257801435656889","0.366140583385482"
"Min 1x per month","1990","college entrance qualification","(2c_voc) vocational maturity certificate","147","0.455954570794385","0.402299290994057","0.509609850594713"
"Min 1x per month","1990","college entrance qualification","(3a) lower tertiary education","84","0.454694231744369","0.381543637567792","0.527844825920946"
"Min 1x per month","1990","college entrance qualification","(3b) higher tertiary education","208","0.482294860217059","0.434044891267647","0.530544829166472"
"Min 1x per month","1990","Other degree","(0) in school","","","",""
"Min 1x per month","1990","Other degree","(1a) inadequately completed","","","",""
"Min 1x per month","1990","Other degree","(1b) general elementary school","106","0.213111073932892","0.178856257513614","0.24736589035217"
"Min 1x per month","1990","Other degree","(1c) basic vocational qualification","78","0.267500936859298","0.217410634395132","0.317591239323464"
"Min 1x per month","1990","Other degree","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","Other degree","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","Other degree","(2c_gen) general maturity certificate","14","","",""
"Min 1x per month","1990","Other degree","(2c_voc) vocational maturity certificate","20","","",""
"Min 1x per month","1990","Other degree","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","Other degree","(3b) higher tertiary education","9","","",""
"Min 1x per month","1990","no degree/no degree yet","(0) in school","42","0.310037636028388","0.238816238231921","0.381259033824855"
"Min 1x per month","1990","no degree/no degree yet","(1a) inadequately completed","103","0.179294869241932","0.150356522921673","0.20823321556219"
"Min 1x per month","1990","no degree/no degree yet","(1b) general elementary school","","","",""
"Min 1x per month","1990","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1990","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1990","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","no degree/no degree yet","(3b) higher tertiary education","1","","",""
"Rarely","1990","lower secondary degree","(0) in school","","","",""
"Rarely","1990","lower secondary degree","(1a) inadequately completed","","","",""
"Rarely","1990","lower secondary degree","(1b) general elementary school","801","0.510709869483369","0.486146759411764","0.535272979554975"
"Rarely","1990","lower secondary degree","(1c) basic vocational qualification","1454","0.484081524457393","0.465942909352401","0.502220139562385"
"Rarely","1990","lower secondary degree","(2b) intermediate general qualification","","","",""
"Rarely","1990","lower secondary degree","(2a) intermediate vocational","","","",""
"Rarely","1990","lower secondary degree","(2c_gen) general maturity certificate","3","","",""
"Rarely","1990","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"Rarely","1990","lower secondary degree","(3a) lower tertiary education","4","","",""
"Rarely","1990","lower secondary degree","(3b) higher tertiary education","2","","",""
"Rarely","1990","secondary school degree","(0) in school","","","",""
"Rarely","1990","secondary school degree","(1a) inadequately completed","","","",""
"Rarely","1990","secondary school degree","(1b) general elementary school","","","",""
"Rarely","1990","secondary school degree","(1c) basic vocational qualification","","","",""
"Rarely","1990","secondary school degree","(2b) intermediate general qualification","180","0.479597012484776","0.427846494299946","0.531347530669605"
"Rarely","1990","secondary school degree","(2a) intermediate vocational","655","0.513626766704397","0.486083751271515","0.541169782137278"
