"pli0082","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","Male","1","","",""
"Daily","1990","Schleswig-Holstein","Female","1","","",""
"Daily","1990","Hamburg","Male","","","",""
"Daily","1990","Hamburg","Female","","","",""
"Daily","1990","Lower Saxony","Male","1","","",""
"Daily","1990","Lower Saxony","Female","1","","",""
"Daily","1990","Bremen","Male","1","","",""
"Daily","1990","Bremen","Female","2","","",""
"Daily","1990","North Rhine-Westphalia","Male","8","","",""
"Daily","1990","North Rhine-Westphalia","Female","4","","",""
"Daily","1990","Hesse","Male","3","","",""
"Daily","1990","Hesse","Female","2","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Male","1","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Female","1","","",""
"Daily","1990","Baden-Württemberg","Male","3","","",""
"Daily","1990","Baden-Württemberg","Female","3","","",""
"Daily","1990","Bavaria","Male","2","","",""
"Daily","1990","Bavaria","Female","1","","",""
"Daily","1990","Berlin","Male","","","",""
"Daily","1990","Berlin","Female","","","",""
"Daily","1990","Brandenburg","Male","","","",""
"Daily","1990","Brandenburg","Female","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Male","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Female","","","",""
"Daily","1990","Saxony","Male","","","",""
"Daily","1990","Saxony","Female","","","",""
"Daily","1990","Saxony-Anhalt","Male","","","",""
"Daily","1990","Saxony-Anhalt","Female","","","",""
"Daily","1990","Thuringia","Male","","","",""
"Daily","1990","Thuringia","Female","","","",""
"Min 1x per week","1990","Schleswig-Holstein","Male","14","","",""
"Min 1x per week","1990","Schleswig-Holstein","Female","5","","",""
"Min 1x per week","1990","Hamburg","Male","8","","",""
"Min 1x per week","1990","Hamburg","Female","5","","",""
"Min 1x per week","1990","Lower Saxony","Male","33","0.0786762963934677","0.0547152765968928","0.102637316190043"
"Min 1x per week","1990","Lower Saxony","Female","27","","",""
"Min 1x per week","1990","Bremen","Male","6","","",""
"Min 1x per week","1990","Bremen","Female","4","","",""
"Min 1x per week","1990","North Rhine-Westphalia","Male","80","0.0619952708373885","0.0487169982981508","0.0752735433766262"
"Min 1x per week","1990","North Rhine-Westphalia","Female","79","0.067522850338587","0.0538878885470051","0.081157812130169"
"Min 1x per week","1990","Hesse","Male","46","0.0973067742691989","0.0710918278404694","0.123521720697928"
"Min 1x per week","1990","Hesse","Female","37","0.0825739916319662","0.0582534802195886","0.106894503044344"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Male","28","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Female","31","0.0907088141259584","0.0605779482095044","0.120839680042412"
"Min 1x per week","1990","Baden-Württemberg","Male","66","0.0873198129930459","0.0688968053584422","0.10574282062765"
"Min 1x per week","1990","Baden-Württemberg","Female","61","0.0760716814512952","0.0586444717258801","0.0934988911767102"
"Min 1x per week","1990","Bavaria","Male","84","0.118789431348496","0.0961420074009851","0.141436855296007"
"Min 1x per week","1990","Bavaria","Female","72","0.101269302437201","0.080519031407669","0.122019573466733"
"Min 1x per week","1990","Berlin","Male","11","","",""
"Min 1x per week","1990","Berlin","Female","16","","",""
"Min 1x per week","1990","Brandenburg","Male","","","",""
"Min 1x per week","1990","Brandenburg","Female","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Male","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Female","","","",""
"Min 1x per week","1990","Saxony","Male","","","",""
"Min 1x per week","1990","Saxony","Female","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Male","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Female","","","",""
"Min 1x per week","1990","Thuringia","Male","","","",""
"Min 1x per week","1990","Thuringia","Female","","","",""
"Min 1x per month","1990","Schleswig-Holstein","Male","41","0.293347530756902","0.217384426030683","0.369310635483122"
"Min 1x per month","1990","Schleswig-Holstein","Female","44","0.311881332973333","0.236478016059671","0.387284649886995"
"Min 1x per month","1990","Hamburg","Male","37","0.428612571082852","0.320841208321066","0.536383933844639"
"Min 1x per month","1990","Hamburg","Female","34","0.384368711514593","0.282151784449203","0.486585638579983"
"Min 1x per month","1990","Lower Saxony","Male","168","0.354641408677216","0.312064660255223","0.397218157099208"
"Min 1x per month","1990","Lower Saxony","Female","164","0.338590226911889","0.296732093476558","0.380448360347219"
"Min 1x per month","1990","Bremen","Male","19","","",""
"Min 1x per month","1990","Bremen","Female","19","","",""
"Min 1x per month","1990","North Rhine-Westphalia","Male","372","0.313456648096854","0.287913024308143","0.339000271885565"
"Min 1x per month","1990","North Rhine-Westphalia","Female","352","0.277650631969457","0.253315571794868","0.301985692144046"
"Min 1x per month","1990","Hesse","Male","160","0.365795689254469","0.323192586327713","0.408398792181226"
"Min 1x per month","1990","Hesse","Female","133","0.303135943093492","0.262523577305529","0.343748308881456"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Male","104","0.344054153699388","0.292085319965833","0.396022987432942"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Female","99","0.294416483041545","0.246598566336754","0.342234399746335"
"Min 1x per month","1990","Baden-Württemberg","Male","297","0.356026249632666","0.324778415943798","0.387274083321535"
"Min 1x per month","1990","Baden-Württemberg","Female","256","0.30248122411564","0.272286965343768","0.332675482887512"
"Min 1x per month","1990","Bavaria","Male","293","0.380102657463429","0.346124454990649","0.41408085993621"
"Min 1x per month","1990","Bavaria","Female","263","0.313039328690709","0.281143384311622","0.344935273069796"
"Min 1x per month","1990","Berlin","Male","45","0.345513803547444","0.270651154822554","0.420376452272334"
"Min 1x per month","1990","Berlin","Female","50","0.362774815760013","0.291742366792387","0.43380726472764"
"Min 1x per month","1990","Brandenburg","Male","","","",""
"Min 1x per month","1990","Brandenburg","Female","","","",""
