"pli0082","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","Full Time","","","",""
"Daily","1990","Not Employed","Part Time","","","",""
"Daily","1990","Not Employed","Not Working","15","","",""
"Daily","1990","Employed","Full Time","13","","",""
"Daily","1990","Employed","Part Time","7","","",""
"Daily","1990","Employed","Not Working","","","",""
"Min 1x per week","1990","Not Employed","Full Time","","","",""
"Min 1x per week","1990","Not Employed","Part Time","","","",""
"Min 1x per week","1990","Not Employed","Not Working","231","0.0783021876041284","0.0691777270003569","0.0874266482078998"
"Min 1x per week","1990","Employed","Full Time","360","0.0917981406366017","0.0832829862380801","0.100313295035123"
"Min 1x per week","1990","Employed","Part Time","122","0.0729163930876739","0.0606362463271837","0.0851965398481641"
"Min 1x per week","1990","Employed","Not Working","","","",""
"Min 1x per month","1990","Not Employed","Full Time","","","",""
"Min 1x per month","1990","Not Employed","Part Time","","","",""
"Min 1x per month","1990","Not Employed","Not Working","909","0.277226902861643","0.262023365338154","0.292430440385133"
"Min 1x per month","1990","Employed","Full Time","1466","0.360103776206961","0.345947370425434","0.374260181988487"
"Min 1x per month","1990","Employed","Part Time","575","0.354860182652141","0.332261294287937","0.377459071016346"
"Min 1x per month","1990","Employed","Not Working","","","",""
"Rarely","1990","Not Employed","Full Time","","","",""
"Rarely","1990","Not Employed","Part Time","","","",""
"Rarely","1990","Not Employed","Not Working","1601","0.466471644023076","0.449527589047457","0.483415698998695"
"Rarely","1990","Employed","Full Time","2180","0.494844377247914","0.480099834564702","0.509588919931125"
"Rarely","1990","Employed","Part Time","830","0.489944076397664","0.466333115012948","0.51355503778238"
"Rarely","1990","Employed","Not Working","","","",""
"Never","1990","Not Employed","Full Time","","","",""
"Never","1990","Not Employed","Part Time","","","",""
"Never","1990","Not Employed","Not Working","574","0.174028634551315","0.161151512073884","0.186905757028747"
"Never","1990","Employed","Full Time","398","0.0507449152422103","0.0442724142871026","0.0572174161973181"
"Never","1990","Employed","Part Time","188","0.0790296611309344","0.0662873149704439","0.091772007291425"
"Never","1990","Employed","Not Working","","","",""
"Daily","1991","Not Employed","Full Time","","","",""
"Daily","1991","Not Employed","Part Time","","","",""
"Daily","1991","Not Employed","Not Working","","","",""
"Daily","1991","Employed","Full Time","","","",""
"Daily","1991","Employed","Part Time","","","",""
"Daily","1991","Employed","Not Working","","","",""
