"pli0082","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","Full Time","2","","","","1"
"Daily","1990","Schleswig-Holstein","Part Time","","","","","1"
"Daily","1990","Schleswig-Holstein","Not Working","","","","","1"
"Daily","1990","Hamburg","Full Time","","","","","1"
"Daily","1990","Hamburg","Part Time","","","","","1"
"Daily","1990","Hamburg","Not Working","","","","","1"
"Daily","1990","Lower Saxony","Full Time","1","","","","1"
"Daily","1990","Lower Saxony","Part Time","","","","","1"
"Daily","1990","Lower Saxony","Not Working","1","","","","1"
"Daily","1990","Bremen","Full Time","","","","","1"
"Daily","1990","Bremen","Part Time","2","","","","1"
"Daily","1990","Bremen","Not Working","1","","","","1"
"Daily","1990","North Rhine-Westphalia","Full Time","6","","","","1"
"Daily","1990","North Rhine-Westphalia","Part Time","","","","","1"
"Daily","1990","North Rhine-Westphalia","Not Working","6","","","","1"
"Daily","1990","Hesse","Full Time","2","","","","1"
"Daily","1990","Hesse","Part Time","1","","","","1"
"Daily","1990","Hesse","Not Working","2","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Full Time","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Part Time","1","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Not Working","1","","","","1"
"Daily","1990","Baden-Württemberg","Full Time","1","","","","1"
"Daily","1990","Baden-Württemberg","Part Time","2","","","","1"
"Daily","1990","Baden-Württemberg","Not Working","3","","","","1"
"Daily","1990","Bavaria","Full Time","1","","","","1"
"Daily","1990","Bavaria","Part Time","1","","","","1"
"Daily","1990","Bavaria","Not Working","1","","","","1"
"Daily","1990","Berlin","Full Time","","","","","1"
"Daily","1990","Berlin","Part Time","","","","","1"
"Daily","1990","Berlin","Not Working","","","","","1"
"Daily","1990","Brandenburg","Full Time","","","","","1"
"Daily","1990","Brandenburg","Part Time","","","","","1"
"Daily","1990","Brandenburg","Not Working","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Daily","1990","Saxony","Full Time","","","","","1"
"Daily","1990","Saxony","Part Time","","","","","1"
"Daily","1990","Saxony","Not Working","","","","","1"
"Daily","1990","Saxony-Anhalt","Full Time","","","","","1"
"Daily","1990","Saxony-Anhalt","Part Time","","","","","1"
