"year","education","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1990","college entrance qualification","Female","7.35","8","112","6.88","7.82","3","6","10","10"
"1990","college entrance qualification","Male","7.28","8","125","6.87","7.69","4","6","9","10"
"1990","lower secondary degree","Female","7.51","8","114","6.96","8.06","3","6","10","10"
"1990","lower secondary degree","Male","7.71","9","140","7.23","8.19","3","6","10","10"
"1990","no degree/no degree yet","Female","","","","","","","","",""
"1990","no degree/no degree yet","Male","","","","","","","","",""
"1990","Other degree","Female","","","","","","","","",""
"1990","Other degree","Male","","","","","","","","",""
"1990","secondary school degree","Female","7.64","8","551","7.43","7.85","4","6","10","10"
"1990","secondary school degree","Male","7.47","8","425","7.21","7.73","3","6","10","10"
"1991","college entrance qualification","Female","","","","","","","","",""
"1991","college entrance qualification","Male","","","","","","","","",""
"1991","lower secondary degree","Female","","","","","","","","",""
"1991","lower secondary degree","Male","","","","","","","","",""
"1991","no degree/no degree yet","Female","","","","","","","","",""
"1991","no degree/no degree yet","Male","","","","","","","","",""
"1991","Other degree","Female","","","","","","","","",""
"1991","Other degree","Male","","","","","","","","",""
"1991","secondary school degree","Female","","","","","","","","",""
"1991","secondary school degree","Male","","","","","","","","",""
"1992","college entrance qualification","Female","","","","","","","","",""
"1992","college entrance qualification","Male","","","","","","","","",""
"1992","lower secondary degree","Female","","","","","","","","",""
"1992","lower secondary degree","Male","","","","","","","","",""
"1992","no degree/no degree yet","Female","","","","","","","","",""
"1992","no degree/no degree yet","Male","","","","","","","","",""
"1992","Other degree","Female","","","","","","","","",""
"1992","Other degree","Male","","","","","","","","",""
"1992","secondary school degree","Female","","","","","","","","",""
"1992","secondary school degree","Male","","","","","","","","",""
"1993","college entrance qualification","Female","","","","","","","","",""
"1993","college entrance qualification","Male","","","","","","","","",""
"1993","lower secondary degree","Female","","","","","","","","",""
"1993","lower secondary degree","Male","","","","","","","","",""
"1993","no degree/no degree yet","Female","","","","","","","","",""
"1993","no degree/no degree yet","Male","","","","","","","","",""
"1993","Other degree","Female","","","","","","","","",""
"1993","Other degree","Male","","","","","","","","",""
"1993","secondary school degree","Female","","","","","","","","",""
"1993","secondary school degree","Male","","","","","","","","",""
"1994","college entrance qualification","Female","","","","","","","","",""
"1994","college entrance qualification","Male","","","","","","","","",""
"1994","lower secondary degree","Female","","","","","","","","",""
"1994","lower secondary degree","Male","","","","","","","","",""
"1994","no degree/no degree yet","Female","","","","","","","","",""
"1994","no degree/no degree yet","Male","","","","","","","","",""
"1994","Other degree","Female","","","","","","","","",""
"1994","Other degree","Male","","","","","","","","",""
"1994","secondary school degree","Female","","","","","","","","",""
"1994","secondary school degree","Male","","","","","","","","",""
"1995","college entrance qualification","Female","","","","","","","","",""
"1995","college entrance qualification","Male","","","","","","","","",""
"1995","lower secondary degree","Female","","","","","","","","",""
"1995","lower secondary degree","Male","","","","","","","","",""
"1995","no degree/no degree yet","Female","","","","","","","","",""
"1995","no degree/no degree yet","Male","","","","","","","","",""
"1995","Other degree","Female","","","","","","","","",""
"1995","Other degree","Male","","","","","","","","",""
"1995","secondary school degree","Female","","","","","","","","",""
"1995","secondary school degree","Male","","","","","","","","",""
"1996","college entrance qualification","Female","","","","","","","","",""
"1996","college entrance qualification","Male","","","","","","","","",""
