"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1990","Ostdeutschland, neue Bundeslaender","7.53","8","1483","3","6","10","10","7.4","7.66","8","8"
"1990","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1991","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1991","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1992","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1992","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1993","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1993","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1994","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1994","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1995","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1995","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1996","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1996","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1997","Ostdeutschland, neue Bundeslaender","6.74","7","835","4","5","8","10","6.58","6.9","7","7"
"1997","Westdeutschland, alte Bundeslaender","6.31","7","2625","3","5","8","9","6.22","6.4","7","7"
"1998","Ostdeutschland, neue Bundeslaender","7.06","8","890","4","6","9","10","6.91","7.21","7","8"
"1998","Westdeutschland, alte Bundeslaender","6.44","7","2786","3","5","8","10","6.35","6.53","7","7"
"1999","Ostdeutschland, neue Bundeslaender","6.71","7","871","3","5","8","10","6.55","6.87","7","7"
"1999","Westdeutschland, alte Bundeslaender","6.52","7","2745","3","5","8","10","6.43","6.61","7","7"
"2000","Ostdeutschland, neue Bundeslaender","6.74","7","1169","3","5","9","10","6.59","6.89","7","8"
"2000","Westdeutschland, alte Bundeslaender","6.48","7","4775","2","5","8","10","6.41","6.55","7","7"
"2001","Ostdeutschland, neue Bundeslaender","6.48","7","865","2","5","8","10","6.29","6.67","7","7"
"2001","Westdeutschland, alte Bundeslaender","6.43","7","3534","2","5","8","10","6.34","6.52","7","7"
"2002","Ostdeutschland, neue Bundeslaender","6.71","7","770","3","5","8","10","6.53","6.89","7","8"
"2002","Westdeutschland, alte Bundeslaender","6.36","7","3339","3","5","8","10","6.27","6.45","7","7"
"2003","Ostdeutschland, neue Bundeslaender","6.1","6","2341","3","5","8","9","6","6.2","6","7"
"2003","Westdeutschland, alte Bundeslaender","6.28","7","6924","3","5","8","10","6.22","6.34","7","7"
"2004","Ostdeutschland, neue Bundeslaender","6.33","7","886","2","5","8","10","6.15","6.51","7","7"
"2004","Westdeutschland, alte Bundeslaender","6.26","7","3028","2","5","8","9","6.17","6.35","7","7"
"2005","Ostdeutschland, neue Bundeslaender","6.25","7","909","0","5","9","10","6.05","6.45","7","7"
"2005","Westdeutschland, alte Bundeslaender","6.09","7","2823","2","5","8","9","5.99","6.19","7","7"
"2006","Ostdeutschland, neue Bundeslaender","6.73","8","873","3","5","9","10","6.56","6.9","7","8"
"2006","Westdeutschland, alte Bundeslaender","5.96","7","2729","1","4","8","9","5.86","6.06","7","7"
"2007","Ostdeutschland, neue Bundeslaender","6.41","8","853","0","5","9","10","6.22","6.6","7","8"
"2007","Westdeutschland, alte Bundeslaender","6.13","7","2580","2","5","8","9","6.03","6.23","7","7"
"2008","Ostdeutschland, neue Bundeslaender","7.21","8","732","3","6","9","10","7.04","7.38","8","8"
"2008","Westdeutschland, alte Bundeslaender","6.48","7","2138","3","5","8","9","6.37","6.59","7","7"
"2009","Ostdeutschland, neue Bundeslaender","7.1","8","725","3","5","9","10","6.92","7.28","8","8"
"2009","Westdeutschland, alte Bundeslaender","6.51","7","1960","2","5","9","10","6.39","6.63","7","8"
"2010","Ostdeutschland, neue Bundeslaender","7.09","8","1529","3","6","9","10","6.97","7.21","8","8"
"2010","Westdeutschland, alte Bundeslaender","6.62","7","5352","2","5","9","10","6.55","6.69","8","8"
"2011","Ostdeutschland, neue Bundeslaender","6.97","8","1649","1","6","9","10","6.85","7.09","8","8"
"2011","Westdeutschland, alte Bundeslaender","6.94","8","5612","3","5","9","10","6.88","7","8","8"
"2012","Ostdeutschland, neue Bundeslaender","7.44","8","1475","4","6","9","10","7.33","7.55","8","8"
"2012","Westdeutschland, alte Bundeslaender","7.08","8","5250","4","6","9","10","7.02","7.14","8","8"
"2013","Ostdeutschland, neue Bundeslaender","7.14","8","1372","3","6","9","10","7.02","7.26","8","8"
"2013","Westdeutschland, alte Bundeslaender","7.12","8","4741","4","6","9","10","7.06","7.18","8","8"
"2014","Ostdeutschland, neue Bundeslaender","7.14","8","1277","3","6","9","10","7.02","7.26","8","8"
"2014","Westdeutschland, alte Bundeslaender","7.09","8","5085","4","6","9","10","7.03","7.15","8","8"
"2015","Ostdeutschland, neue Bundeslaender","7.31","8","1088","4","7","9","10","7.19","7.43","8","8"
"2015","Westdeutschland, alte Bundeslaender","7.29","8","4190","4","6","9","10","7.22","7.36","8","8"
"2016","Ostdeutschland, neue Bundeslaender","7.37","8","992","4","6","9","10","7.24","7.5","8","8"
"2016","Westdeutschland, alte Bundeslaender","7.32","8","3853","4","6","9","10","7.25","7.39","8","8"
"2017","Ostdeutschland, neue Bundeslaender","7.39","8","956","5","7","9","10","7.25","7.53","8","8"
"2017","Westdeutschland, alte Bundeslaender","7.26","8","3514","4","6","9","10","7.19","7.33","8","8"
"2018","Ostdeutschland, neue Bundeslaender","7.21","8","911","5","6","9","10","7.07","7.35","8","8"
"2018","Westdeutschland, alte Bundeslaender","7.09","8","3328","4","6","9","10","7.01","7.17","8","8"
"2019","Ostdeutschland, neue Bundeslaender","7.58","8","889","5","7","9","10","7.44","7.72","8","8"
"2019","Westdeutschland, alte Bundeslaender","7.23","8","3148","4","6","9","10","7.15","7.31","8","8"
