"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","2.79","3","9486","2","2","4","4","5","2.77","2.81","1","5","2","3"
"1991","","","","","","","","","","","","","",""
"1992","","","","","","","","","","","","","",""
"1993","","","","","","","","","","","","","",""
"1994","","","","","","","","","","","","","",""
"1995","2.76","3","13304","2","2","3","4","5","2.74","2.78","1","5","3","3"
"1996","","","","","","","","","","","","","",""
"1997","","","","","","","","","","","","","",""
"1998","2.73","3","14261","2","2","3","4","5","2.71","2.75","1","5","3","3"
"1999","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","",""
"2003","2.76","3","22211","2","2","3","4","5","2.75","2.77","1","5","3","3"
"2004","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","2.81","3","19352","2","2","4","4","5","2.8","2.82","1","5","3","3"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","2.86","3","25523","2","2","4","4","5","2.85","2.87","1","5","3","3"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","","","","","","","","","","","","","",""
"2018","","","","","","","","","","","","","",""
"2019","2.87","3","25797","2","2","4","4","5","2.86","2.88","1","5","3","3"
