"plh0186","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","lower secondary degree","West Germany","198","0.0374147166141416","0.0324313555956957","0.0423980776325875"
"Very rare","2007","lower secondary degree","East Germany","59","0.0409110720947891","0.030406639217418","0.0514155049721603"
"Very rare","2007","secondary school degree","West Germany","74","0.0244226413336562","0.0195468523887325","0.0292984302785799"
"Very rare","2007","secondary school degree","East Germany","43","0.0276637291751624","0.0208212965497628","0.034506161800562"
"Very rare","2007","college entrance qualification","West Germany","70","0.0222051364295796","0.017782409846651","0.0266278630125082"
"Very rare","2007","college entrance qualification","East Germany","23","","",""
"Very rare","2007","Other degree","West Germany","40","0.0396703116881527","0.0276508130585537","0.0516898103177518"
"Very rare","2007","Other degree","East Germany","1","","",""
"Very rare","2007","no degree/no degree yet","West Germany","8","","",""
"Very rare","2007","no degree/no degree yet","East Germany","1","","",""
"Rarely","2007","lower secondary degree","West Germany","663","0.127395877264121","0.118640641832145","0.136151112696097"
"Rarely","2007","lower secondary degree","East Germany","195","0.164032390289655","0.144395067748604","0.183669712830705"
"Rarely","2007","secondary school degree","West Germany","288","0.0764617809598514","0.0680678118369333","0.0848557500827696"
"Rarely","2007","secondary school degree","East Germany","209","0.113063902427896","0.0998523128005162","0.126275492055275"
"Rarely","2007","college entrance qualification","West Germany","270","0.0750306173511953","0.0671234226691208","0.0829378120332698"
"Rarely","2007","college entrance qualification","East Germany","86","0.0813909308840943","0.0657631324055721","0.0970187293626165"
"Rarely","2007","Other degree","West Germany","134","0.160933369855409","0.138304407201125","0.183562332509693"
"Rarely","2007","Other degree","East Germany","8","","",""
"Rarely","2007","no degree/no degree yet","West Germany","41","0.12679448494933","0.0963208845065656","0.157268085392095"
"Rarely","2007","no degree/no degree yet","East Germany","9","","",""
"Sometimes","2007","lower secondary degree","West Germany","2113","0.381795508407806","0.369038084187244","0.394552932628368"
"Sometimes","2007","lower secondary degree","East Germany","542","0.396481719553435","0.370541148036469","0.4224222910704"
"Sometimes","2007","secondary school degree","West Germany","1217","0.325487703928095","0.310687082335551","0.340288325520639"
"Sometimes","2007","secondary school degree","East Germany","792","0.35883773750104","0.338826223103188","0.378849251898892"
"Sometimes","2007","college entrance qualification","West Germany","1321","0.31472400999467","0.300784831193796","0.328663188795543"
"Sometimes","2007","college entrance qualification","East Germany","365","0.329981747580239","0.303107723241624","0.356855771918853"
"Sometimes","2007","Other degree","West Germany","418","0.385296967945339","0.355327858228194","0.415266077662484"
"Sometimes","2007","Other degree","East Germany","22","","",""
"Sometimes","2007","no degree/no degree yet","West Germany","145","0.364604592669169","0.320523895443426","0.408685289894913"
"Sometimes","2007","no degree/no degree yet","East Germany","26","","",""
"Often","2007","lower secondary degree","West Germany","2212","0.381918840363058","0.369160628607989","0.394677052118127"
"Often","2007","lower secondary degree","East Germany","499","0.3393026801427","0.314194359913996","0.364411000371403"
