"plh0186","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","16-34 y.","lower secondary degree","13","","",""
"Very rare","2007","16-34 y.","secondary school degree","11","","",""
"Very rare","2007","16-34 y.","college entrance qualification","16","","",""
"Very rare","2007","16-34 y.","Other degree","3","","",""
"Very rare","2007","16-34 y.","no degree/no degree yet","","","",""
"Very rare","2007","35-65 y.","lower secondary degree","113","0.0375780844518068","0.0312313319215815","0.043924836982032"
"Very rare","2007","35-65 y.","secondary school degree","81","0.026519997063415","0.0215149796439463","0.0315250144828837"
"Very rare","2007","35-65 y.","college entrance qualification","50","0.0225690188986833","0.0173921573699694","0.0277458804273972"
"Very rare","2007","35-65 y.","Other degree","33","0.0471511015984451","0.0316578852379673","0.0626443179589228"
"Very rare","2007","35-65 y.","no degree/no degree yet","6","","",""
"Very rare","2007","66 and older","lower secondary degree","131","0.0460219532066002","0.038131620756103","0.0539122856570975"
"Very rare","2007","66 and older","secondary school degree","25","","",""
"Very rare","2007","66 and older","college entrance qualification","27","","",""
"Very rare","2007","66 and older","Other degree","5","","",""
"Very rare","2007","66 and older","no degree/no degree yet","3","","",""
"Rarely","2007","16-34 y.","lower secondary degree","70","0.089773027996315","0.06969934093727","0.10984671505536"
"Rarely","2007","16-34 y.","secondary school degree","77","0.0604792772447183","0.0480635277235025","0.072895026765934"
"Rarely","2007","16-34 y.","college entrance qualification","64","0.0478882229259828","0.0373460942314197","0.0584303516205459"
"Rarely","2007","16-34 y.","Other degree","10","","",""
"Rarely","2007","16-34 y.","no degree/no degree yet","14","","",""
"Rarely","2007","35-65 y.","lower secondary degree","376","0.116962883348068","0.106237446104108","0.127688320592028"
"Rarely","2007","35-65 y.","secondary school degree","348","0.0942085907701228","0.0851091502073553","0.10330803133289"
"Rarely","2007","35-65 y.","college entrance qualification","237","0.0907421141722812","0.080730245525417","0.100753982819145"
"Rarely","2007","35-65 y.","Other degree","97","0.167144190137258","0.139872365332697","0.194416014941819"
"Rarely","2007","35-65 y.","no degree/no degree yet","23","","",""
"Rarely","2007","66 and older","lower secondary degree","412","0.165656381420662","0.151656635685838","0.179656127155485"
"Rarely","2007","66 and older","secondary school degree","72","0.107806101592526","0.0845301632038264","0.131082039981225"
"Rarely","2007","66 and older","college entrance qualification","55","0.0832230308747024","0.0627899832920639","0.103656078457341"
"Rarely","2007","66 and older","Other degree","35","0.198977897472804","0.14419340080621","0.253762394139398"
"Rarely","2007","66 and older","no degree/no degree yet","13","","",""
"Sometimes","2007","16-34 y.","lower secondary degree","240","0.31484661110358","0.282231205871887","0.347462016335273"
"Sometimes","2007","16-34 y.","secondary school degree","366","0.262128405153787","0.2392216326368","0.285035177670773"
"Sometimes","2007","16-34 y.","college entrance qualification","349","0.227660018896727","0.20695776517819","0.248362272615264"
"Sometimes","2007","16-34 y.","Other degree","45","0.316309649713308","0.241388716370089","0.391230583056526"
"Sometimes","2007","16-34 y.","no degree/no degree yet","94","0.302545678488193","0.256114732693861","0.348976624282525"
"Sometimes","2007","35-65 y.","lower secondary degree","1329","0.386315999031065","0.370066302989784","0.402565695072345"
"Sometimes","2007","35-65 y.","secondary school degree","1379","0.352437785784292","0.337556607428403","0.36731896414018"
"Sometimes","2007","35-65 y.","college entrance qualification","1079","0.355263280175527","0.338581840795462","0.371944719555591"
"Sometimes","2007","35-65 y.","Other degree","301","0.387593270500147","0.351981649963841","0.423204891036453"
"Sometimes","2007","35-65 y.","no degree/no degree yet","45","0.381311962386172","0.292923583042994","0.46970034172935"
"Sometimes","2007","66 and older","lower secondary degree","1086","0.402286052338008","0.383820692667243","0.420751412008774"
"Sometimes","2007","66 and older","secondary school degree","264","0.398104411818301","0.361366456726344","0.434842366910259"
"Sometimes","2007","66 and older","college entrance qualification","258","0.372413688300921","0.336651088403912","0.408176288197929"
"Sometimes","2007","66 and older","Other degree","94","0.453517829791385","0.385202496937062","0.521833162645707"
"Sometimes","2007","66 and older","no degree/no degree yet","32","0.498799691134643","0.37995976106155","0.617639621207736"
"Often","2007","16-34 y.","lower secondary degree","355","0.447561448969435","0.412643583570122","0.482479314368749"
"Often","2007","16-34 y.","secondary school degree","741","0.512521761108621","0.486487201483336","0.538556320733905"
"Often","2007","16-34 y.","college entrance qualification","898","0.544310206062635","0.519721941681114","0.568898470444155"
"Often","2007","16-34 y.","Other degree","64","0.418994674436901","0.339504849337679","0.498484499536123"
"Often","2007","16-34 y.","no degree/no degree yet","207","0.501818076949834","0.451279698663725","0.552356455235942"
"Often","2007","35-65 y.","lower secondary degree","1412","0.387744142166522","0.371483391484321","0.404004892848723"
"Often","2007","35-65 y.","secondary school degree","1894","0.458212346230176","0.442691932804879","0.473732759655473"
"Often","2007","35-65 y.","college entrance qualification","1587","0.473207204204303","0.455804659996826","0.49060974841178"
"Often","2007","35-65 y.","Other degree","254","0.345062617608692","0.310314403252805","0.379810831964578"
"Often","2007","35-65 y.","no degree/no degree yet","36","0.293774028804842","0.210884887936192","0.376663169673492"
"Often","2007","66 and older","lower secondary degree","944","0.338470529902819","0.320651723177423","0.356289336628215"
"Often","2007","66 and older","secondary school degree","280","0.38823787987082","0.351661884970036","0.424813874771604"
