"plh0186","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Often","2007","Employed","West Germany","4711","0.462392083096056","0.452453652876398","0.472330513315713"
"Often","2007","Employed","East Germany","1412","0.467211573310345","0.449093499022919","0.485329647597771"
"Often","2007","Not Employed","West Germany","2342","0.373383904104415","0.361001534781342","0.385766273427488"
"Often","2007","Not Employed","East Germany","824","0.353614771393463","0.333220185798872","0.374009356988054"
"Rarely","2007","Employed","West Germany","709","0.0839898600315636","0.0784609014125536","0.0895188186505735"
"Rarely","2007","Employed","East Germany","229","0.0909155173892007","0.0804755539353975","0.101355480843004"
"Rarely","2007","Not Employed","West Germany","710","0.135231532930899","0.126477380750058","0.143985685111739"
"Rarely","2007","Not Employed","East Germany","285","0.15876435804311","0.143174602234835","0.174354113851386"
"Sometimes","2007","Employed","West Germany","3187","0.33191762465595","0.322530989572773","0.341304259739127"
"Sometimes","2007","Employed","East Germany","994","0.341181446199696","0.323964605455164","0.358398286944229"
"Sometimes","2007","Not Employed","West Germany","2146","0.37898345365901","0.366564446015344","0.391402461302676"
"Sometimes","2007","Not Employed","East Germany","790","0.389323724363697","0.368523647820469","0.410123800906925"
"Very often","2007","Employed","West Germany","895","0.10056017221341","0.0945653151633981","0.106555029263423"
"Very often","2007","Employed","East Germany","232","0.0804019349998185","0.0705275484705064","0.0902763215291307"
"Very often","2007","Not Employed","West Germany","428","0.0676646935788951","0.0612349699030254","0.0740944172547648"
"Very often","2007","Not Employed","East Germany","131","0.0531191377278294","0.0435521073678745","0.0626861680877843"
"Very rare","2007","Employed","West Germany","166","0.0211402600030202","0.0182728145467926","0.0240077054592477"
"Very rare","2007","Employed","East Germany","46","0.0202895281009394","0.0151696137382556","0.0254094424636231"
"Very rare","2007","Not Employed","West Germany","236","0.044736415726781","0.0394444455517896","0.0500283859017723"
"Very rare","2007","Not Employed","East Germany","81","0.0451780084719","0.0363181104693852","0.0540379064744149"
"Often","2008","Employed","West Germany","4411","0.454823548757134","0.444593126740517","0.46505397077375"
"Often","2008","Employed","East Germany","1379","0.476380850111854","0.457884908541491","0.494876791682216"
"Often","2008","Not Employed","West Germany","2241","0.387769423379323","0.374856088381562","0.400682758377084"
"Often","2008","Not Employed","East Germany","778","0.367958782559802","0.346733229214349","0.389184335905255"
"Rarely","2008","Employed","West Germany","704","0.0889243526934073","0.0830765715675468","0.0947721338192678"
"Rarely","2008","Employed","East Germany","224","0.0872578318070046","0.0768065922405547","0.0977090713734544"
"Rarely","2008","Not Employed","West Germany","598","0.126813320343791","0.117994101546259","0.135632539141323"
"Rarely","2008","Not Employed","East Germany","245","0.138271872834285","0.123079038896652","0.153464706771917"
"Sometimes","2008","Employed","West Germany","3018","0.347611224908934","0.337827512687166","0.357394937130701"
"Sometimes","2008","Employed","East Germany","941","0.344294929820248","0.326699044569222","0.361890815071275"
"Sometimes","2008","Not Employed","West Germany","1996","0.363565738662416","0.350817142040995","0.376314335283836"
"Sometimes","2008","Not Employed","East Germany","772","0.398969938682802","0.377417078176792","0.420522799188811"
"Very often","2008","Employed","West Germany","814","0.0869774360803989","0.0811878490088214","0.0927670231519765"
"Very often","2008","Employed","East Germany","210","0.0645633905487712","0.0554623325393599","0.0736644485581824"
"Very often","2008","Not Employed","West Germany","413","0.074318011496965","0.0673666147468895","0.0812694082470405"
"Very often","2008","Not Employed","East Germany","120","0.0564252594862069","0.0462695172480604","0.0665810017243534"
"Very rare","2008","Employed","West Germany","154","0.0216634375601264","0.0186724723475757","0.0246544027726772"
"Very rare","2008","Employed","East Germany","47","0.0275029977121222","0.0214464423890096","0.0335595530352349"
"Very rare","2008","Not Employed","West Germany","221","0.0475335061175053","0.0418942878096774","0.0531727244253332"
"Very rare","2008","Not Employed","East Germany","68","0.0383741464369055","0.0299192330374975","0.0468290598363136"
"Often","2009","Employed","West Germany","4078","0.458284276272113","0.447704377977232","0.468864174566994"
"Often","2009","Employed","East Germany","1329","0.485766098481626","0.466875459716315","0.504656737246936"
"Often","2009","Not Employed","West Germany","1953","0.374245766946995","0.360787741117251","0.387703792776739"
"Often","2009","Not Employed","East Germany","706","0.349692550215773","0.327979894998295","0.37140520543325"
"Rarely","2009","Employed","West Germany","710","0.0921463500618909","0.0860048383510855","0.0982878617726963"
"Rarely","2009","Employed","East Germany","223","0.105365790805016","0.0937613222560902","0.116970259353941"
"Rarely","2009","Not Employed","West Germany","670","0.148277878728337","0.138394893261277","0.158160864195397"
"Rarely","2009","Not Employed","East Germany","229","0.138299329164838","0.122581280334192","0.154017377995485"
"Sometimes","2009","Employed","West Germany","2835","0.341325463475214","0.331257350614907","0.351393576335522"
"Sometimes","2009","Employed","East Germany","899","0.317982478611958","0.300380882513714","0.335584074710201"
