"plh0186","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Often","2007","(Married) couple without C. ","Female","1745","0.45297800289105","0.436940767630467","0.469015238151633","4"
"Often","2007","(Married) couple without C. ","Male","1681","0.440007957576798","0.423950488586196","0.4560654265674","4"
"Often","2007","1-pers.-HH","Female","600","0.316017161613984","0.294710315225324","0.337324008002645","4"
"Often","2007","1-pers.-HH","Male","450","0.328023983400996","0.302753938442224","0.353294028359769","4"
"Often","2007","Couple + C. GT 16 ","Female","807","0.435674454315222","0.411921574722171","0.459427333908273","4"
"Often","2007","Couple + C. GT 16 ","Male","844","0.442727728586026","0.420160564684599","0.465294892487452","4"
"Often","2007","Couple + C. LE 16 ","Female","986","0.525859659290286","0.503050484234636","0.548668834345936","4"
"Often","2007","Couple + C. LE 16 ","Male","926","0.52344116248222","0.49998720057623","0.546895124388209","4"
"Often","2007","Couple + C. LE and GT 16","Female","333","0.476465516219192","0.438534073618101","0.514396958820282","4"
"Often","2007","Couple + C. LE and GT 16","Male","317","0.474540479137187","0.436841949843983","0.512239008430392","4"
"Often","2007","Single parent ","Female","300","0.361062958893283","0.327312569016778","0.394813348769788","4"
"Often","2007","Single parent ","Male","126","0.426897716725809","0.372361810395485","0.481433623056133","4"
"Rarely","2007","(Married) couple without C. ","Male","307","0.0892259227006416","0.0800043126560309","0.0984475327452523","2"
"Rarely","2007","1-pers.-HH","Male","216","0.166468931022788","0.146419418374367","0.186518443671209","2"
"Rarely","2007","Couple + C. GT 16 ","Female","124","0.0877353286258595","0.0741828713747423","0.101287785876977","2"
"Rarely","2007","1-pers.-HH","Female","328","0.176406337369536","0.158937868998095","0.193874805740977","2"
"Rarely","2007","(Married) couple without C. ","Female","307","0.0908091263410633","0.0815519010960757","0.100066351586051","2"
"Rarely","2007","Couple + C. GT 16 ","Male","158","0.0997781362973914","0.0861615771606412","0.113394695434142","2"
"Rarely","2007","Couple + C. LE 16 ","Female","91","0.0511456330515576","0.0410826844063987","0.0612085816967166","2"
"Rarely","2007","Couple + C. LE and GT 16","Female","49","0.072933822635989","0.0531854718406142","0.0926821734313638","2"
"Rarely","2007","Couple + C. LE 16 ","Male","85","0.0475495910874627","0.037556068573112","0.0575431136018133","2"
"Rarely","2007","Couple + C. LE and GT 16","Male","40","0.0692487952244005","0.050082372729014","0.0884152177197871","2"
"Rarely","2007","Single parent ","Female","128","0.164299854944836","0.138262184775144","0.190337525114528","2"
"Rarely","2007","Single parent ","Male","37","0.140974341366346","0.102605590996307","0.179343091736384","2"
"Sometimes","2007","Couple + C. LE and GT 16","Male","265","0.387775819612848","0.350991413880837","0.42456022534486","3"
"Sometimes","2007","1-pers.-HH","Male","512","0.384030850583732","0.35785270571718","0.410208995450284","3"
"Sometimes","2007","(Married) couple without C. ","Female","1234","0.335287383650032","0.320077912432855","0.350496854867209","3"
"Sometimes","2007","Single parent ","Female","255","0.337810386735778","0.30457612972264","0.371044643748916","3"
"Sometimes","2007","1-pers.-HH","Female","676","0.384884449291061","0.362585480805305","0.407183417776818","3"
"Sometimes","2007","Couple + C. GT 16 ","Female","571","0.35702205625852","0.334070299882209","0.37997381263483","3"
"Sometimes","2007","Couple + C. GT 16 ","Male","705","0.372168991664681","0.350207270253947","0.394130713075415","3"
"Sometimes","2007","Couple + C. LE 16 ","Female","502","0.274579957809424","0.254193095540947","0.294966820077902","3"
"Sometimes","2007","Couple + C. LE 16 ","Male","545","0.310877321465383","0.289141962974144","0.332612679956622","3"
"Sometimes","2007","Couple + C. LE and GT 16","Female","224","0.340517317175667","0.304527281597637","0.376507352753698","3"
"Sometimes","2007","(Married) couple without C. ","Male","1316","0.37174901112948","0.35611582854501","0.387382193713951","3"
"Sometimes","2007","Single parent ","Male","126","0.354577572656962","0.301832462073694","0.407322683240229","3"
"Very often","2007","Couple + C. GT 16 ","Female","145","0.102753123193038","0.0882077838625272","0.117298462523548","5"
"Very often","2007","1-pers.-HH","Female","120","0.0650021614566314","0.0537039306950524","0.0763003922182104","5"
"Very often","2007","(Married) couple without C. ","Female","335","0.0995935926992806","0.0899458983402698","0.109241287058291","5"
"Very often","2007","(Married) couple without C. ","Male","284","0.0767733168383272","0.0681610946708357","0.0853855390058188","5"
"Very often","2007","1-pers.-HH","Male","65","0.0520902382201061","0.0401300504310668","0.0640504260091454","5"
"Very often","2007","Couple + C. GT 16 ","Male","129","0.0693993546626876","0.0578532817650943","0.0809454275602809","5"
"Very often","2007","Couple + C. LE 16 ","Female","245","0.137418239149499","0.121691324791356","0.153145153507642","5"
"Very often","2007","Couple + C. LE and GT 16","Female","52","0.0965815922729559","0.074147803593085","0.119015380952827","5"
"Very often","2007","Couple + C. LE 16 ","Male","161","0.0998533852513503","0.0857747019880254","0.113932068514675","5"
"Very often","2007","Couple + C. LE and GT 16","Male","41","0.0547467058748522","0.0375727145634181","0.0719206971862863","5"
"Very often","2007","Single parent ","Female","55","0.0844952420788791","0.0649516349994024","0.104038849158356","5"
"Very often","2007","Single parent ","Male","17","","","","5"
"Very rare","2007","Couple + C. GT 16 ","Male","25","","","","1"
"Very rare","2007","1-pers.-HH","Female","105","0.0576898902687872","0.0470045582814006","0.0683752222561737","1"
"Very rare","2007","Couple + C. LE 16 ","Female","17","","","","1"
"Very rare","2007","(Married) couple without C. ","Female","80","0.0213318944185742","0.0166768805548765","0.0259869082822719","1"
"Very rare","2007","(Married) couple without C. ","Male","83","0.0222437917547528","0.0174731632349906","0.027014420274515","1"
"Very rare","2007","1-pers.-HH","Male","83","0.0693859967723778","0.0557088018498338","0.0830631916949219","1"
"Very rare","2007","Couple + C. GT 16 ","Female","27","","","","1"
"Very rare","2007","Couple + C. LE 16 ","Male","25","","","","1"
"Very rare","2007","Couple + C. LE and GT 16","Female","8","","","","1"
"Very rare","2007","Couple + C. LE and GT 16","Male","11","","","","1"
"Very rare","2007","Single parent ","Female","40","0.0523315573472243","0.0366832152623868","0.0679798994320617","1"
"Very rare","2007","Single parent ","Male","10","","","","1"
"Often","2008","Couple + C. GT 16 ","Male","785","0.41771133017623","0.394774473130452","0.440648187222008","4"
"Often","2008","Couple + C. LE 16 ","Female","883","0.516731449070632","0.492604844769388","0.540858053371876","4"
"Often","2008","Couple + C. LE 16 ","Male","838","0.522742786917001","0.497948860480716","0.547536713353286","4"
"Often","2008","(Married) couple without C. ","Female","1703","0.472899491863047","0.456478329468927","0.489320654257168","4"
"Often","2008","(Married) couple without C. ","Male","1713","0.473030543248691","0.456504098002974","0.489556988494409","4"
"Often","2008","1-pers.-HH","Female","543","0.304318439800821","0.282760937205676","0.325875942395966","4"
"Often","2008","1-pers.-HH","Male","415","0.325199010091338","0.299596056459003","0.350801963723672","4"
"Often","2008","Couple + C. GT 16 ","Female","801","0.4832530809607","0.458667193385018","0.507838968536382","4"
"Often","2008","Couple + C. LE and GT 16","Female","305","0.501197602672277","0.46112327383163","0.541271931512924","4"
"Often","2008","Couple + C. LE and GT 16","Male","286","0.463689297085025","0.424308953334566","0.503069640835483","4"
"Often","2008","Single parent ","Female","267","0.346345631510143","0.312782043467077","0.379909219553209","4"
"Often","2008","Single parent ","Male","118","0.345068239033993","0.292402711096019","0.397733766971966","4"
