"plh0186","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","1-pers.-HH","(0) in school","","","",""
"Very rare","2007","1-pers.-HH","(1a) inadequately completed","","","",""
"Very rare","2007","1-pers.-HH","(1b) general elementary school","30","0.0722761422437003","0.0463090539788651","0.0982432305085355"
"Very rare","2007","1-pers.-HH","(1c) basic vocational qualification","64","0.0718227232931527","0.05519284779743","0.0884525987888754"
"Very rare","2007","1-pers.-HH","(2b) intermediate general qualification","1","","",""
"Very rare","2007","1-pers.-HH","(2a) intermediate vocational","41","0.0622019671425685","0.0442199589092088","0.0801839753759281"
"Very rare","2007","1-pers.-HH","(2c_gen) general maturity certificate","3","","",""
"Very rare","2007","1-pers.-HH","(2c_voc) vocational maturity certificate","17","","",""
"Very rare","2007","1-pers.-HH","(3a) lower tertiary education","13","","",""
"Very rare","2007","1-pers.-HH","(3b) higher tertiary education","18","","",""
"Very rare","2007","(Married) couple without C. ","(0) in school","","","",""
"Very rare","2007","(Married) couple without C. ","(1a) inadequately completed","4","","",""
"Very rare","2007","(Married) couple without C. ","(1b) general elementary school","29","","",""
"Very rare","2007","(Married) couple without C. ","(1c) basic vocational qualification","67","0.0219559591902329","0.0163025619595384","0.0276093564209275"
"Very rare","2007","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"Very rare","2007","(Married) couple without C. ","(2a) intermediate vocational","29","","",""
"Very rare","2007","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Very rare","2007","(Married) couple without C. ","(2c_voc) vocational maturity certificate","8","","",""
"Very rare","2007","(Married) couple without C. ","(3a) lower tertiary education","6","","",""
"Very rare","2007","(Married) couple without C. ","(3b) higher tertiary education","15","","",""
"Very rare","2007","Single parent ","(0) in school","","","",""
"Very rare","2007","Single parent ","(1a) inadequately completed","2","","",""
"Very rare","2007","Single parent ","(1b) general elementary school","4","","",""
"Very rare","2007","Single parent ","(1c) basic vocational qualification","23","","",""
"Very rare","2007","Single parent ","(2b) intermediate general qualification","2","","",""
"Very rare","2007","Single parent ","(2a) intermediate vocational","7","","",""
"Very rare","2007","Single parent ","(2c_gen) general maturity certificate","1","","",""
"Very rare","2007","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"Very rare","2007","Single parent ","(3a) lower tertiary education","2","","",""
"Very rare","2007","Single parent ","(3b) higher tertiary education","4","","",""
"Very rare","2007","Couple + C. LE 16 ","(0) in school","","","",""
"Very rare","2007","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Very rare","2007","Couple + C. LE 16 ","(1b) general elementary school","7","","",""
"Very rare","2007","Couple + C. LE 16 ","(1c) basic vocational qualification","12","","",""
"Very rare","2007","Couple + C. LE 16 ","(2b) intermediate general qualification","1","","",""
"Very rare","2007","Couple + C. LE 16 ","(2a) intermediate vocational","7","","",""
"Very rare","2007","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"Very rare","2007","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","5","","",""
"Very rare","2007","Couple + C. LE 16 ","(3a) lower tertiary education","3","","",""
"Very rare","2007","Couple + C. LE 16 ","(3b) higher tertiary education","6","","",""
"Very rare","2007","Couple + C. GT 16 ","(0) in school","","","",""
"Very rare","2007","Couple + C. GT 16 ","(1a) inadequately completed","2","","",""
"Very rare","2007","Couple + C. GT 16 ","(1b) general elementary school","8","","",""
"Very rare","2007","Couple + C. GT 16 ","(1c) basic vocational qualification","18","","",""
"Very rare","2007","Couple + C. GT 16 ","(2b) intermediate general qualification","1","","",""
"Very rare","2007","Couple + C. GT 16 ","(2a) intermediate vocational","13","","",""
"Very rare","2007","Couple + C. GT 16 ","(2c_gen) general maturity certificate","2","","",""
"Very rare","2007","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","3","","",""
"Very rare","2007","Couple + C. GT 16 ","(3a) lower tertiary education","1","","",""
"Very rare","2007","Couple + C. GT 16 ","(3b) higher tertiary education","2","","",""
"Very rare","2007","Couple + C. LE and GT 16","(0) in school","","","",""
"Very rare","2007","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Very rare","2007","Couple + C. LE and GT 16","(1b) general elementary school","3","","",""
"Very rare","2007","Couple + C. LE and GT 16","(1c) basic vocational qualification","6","","",""
"Very rare","2007","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"Very rare","2007","Couple + C. LE and GT 16","(2a) intermediate vocational","4","","",""
"Very rare","2007","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","1","","",""
"Very rare","2007","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","1","","",""
"Very rare","2007","Couple + C. LE and GT 16","(3a) lower tertiary education","1","","",""
"Very rare","2007","Couple + C. LE and GT 16","(3b) higher tertiary education","1","","",""
"Rarely","2007","1-pers.-HH","(0) in school","","","",""
