"plh0186","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","in school","West Germany","","","",""
"Very rare","2007","in school","East Germany","","","",""
"Very rare","2007","inadequately","West Germany","10","","",""
"Very rare","2007","inadequately","East Germany","1","","",""
"Very rare","2007","general elemantary","West Germany","79","0.041787727303615","0.0327520048535807","0.0508234497536493"
"Very rare","2007","general elemantary","East Germany","9","","",""
"Very rare","2007","middle vocational","West Germany","194","0.0274808369042369","0.0238303229312387","0.031131350877235"
"Very rare","2007","middle vocational","East Germany","81","0.0348239390335132","0.0278265625055856","0.0418213155614407"
"Very rare","2007","vocational + Abi","West Germany","22","","",""
"Very rare","2007","vocational + Abi","East Germany","6","","",""
"Very rare","2007","higher vocational","West Germany","31","0.0354992519790856","0.0247200710172247","0.0462784329409465"
"Very rare","2007","higher vocational","East Germany","11","","",""
"Very rare","2007","higher education","West Germany","55","0.0270330977276946","0.0213166624711084","0.0327495329842808"
"Very rare","2007","higher education","East Germany","19","","",""
"Rarely","2007","in school","West Germany","8","","",""
"Rarely","2007","in school","East Germany","4","","",""
"Rarely","2007","inadequately","West Germany","34","0.176779953813004","0.12309881719636","0.230461090429647"
"Rarely","2007","inadequately","East Germany","4","","",""
"Rarely","2007","general elemantary","West Germany","268","0.151385103195033","0.135200407507107","0.16756979888296"
"Rarely","2007","general elemantary","East Germany","44","0.139949738767213","0.102630995404103","0.177268482130324"
"Rarely","2007","middle vocational","West Germany","731","0.103771763383916","0.0969618927200848","0.110581634047748"
"Rarely","2007","middle vocational","East Germany","293","0.136875603936872","0.123756845163771","0.149994362709972"
"Rarely","2007","vocational + Abi","West Germany","86","0.0901678287468903","0.0724597473038608","0.10787591018992"
"Rarely","2007","vocational + Abi","East Germany","10","","",""
"Rarely","2007","higher vocational","West Germany","85","0.0832917150648947","0.0671948479740767","0.0993885821557126"
"Rarely","2007","higher vocational","East Germany","31","0.0764651820807048","0.0505842996690288","0.102346064492381"
"Rarely","2007","higher education","West Germany","190","0.0786003647209305","0.0691147682118431","0.0880859612300178"
"Rarely","2007","higher education","East Germany","123","0.105459077495867","0.0887756726218755","0.12214248236986"
"Sometimes","2007","in school","West Germany","57","0.273207201381609","0.219042943634032","0.327371459129186"
"Sometimes","2007","in school","East Germany","20","","",""
"Sometimes","2007","inadequately","West Germany","80","0.399036686926845","0.330127421666953","0.467945952186737"
"Sometimes","2007","inadequately","East Germany","8","","",""
