"plh0186","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Often","2007","Rural Area","3134","0.426555875102779","0.414934149769133","0.438177600436425"
"Often","2007","Urban Area","6155","0.424681957978004","0.41637365272172","0.432990263234289"
"Rarely","2007","Rural Area","684","0.106358029584016","0.0991136031010863","0.113602456066946"
"Rarely","2007","Urban Area","1249","0.107884338394045","0.102669794525635","0.113098882262454"
"Sometimes","2007","Rural Area","2446","0.364727551208232","0.353416541240059","0.376038561176406"
"Sometimes","2007","Urban Area","4671","0.347195862868803","0.339193739141667","0.355197986595939"
"Very often","2007","Rural Area","540","0.0780340684330081","0.0717312230843504","0.0843369137816657"
"Very often","2007","Urban Area","1146","0.0866971422522699","0.0819674123366622","0.0914268721678776"
"Very rare","2007","Rural Area","153","0.0243244756719639","0.0207044509339485","0.0279445004099792"
"Very rare","2007","Urban Area","376","0.0335406985068783","0.0305144514592218","0.0365669455545347"
"Often","2008","Rural Area","2955","0.431007892509353","0.419013189802859","0.443002595215846"
"Often","2008","Urban Area","5854","0.428310382392581","0.419739988235562","0.436880776549601"
"Rarely","2008","Rural Area","625","0.103659193134152","0.0962761696138996","0.111042216654404"
"Rarely","2008","Urban Area","1146","0.104960298602695","0.0996517594970587","0.110268837708332"
"Sometimes","2008","Rural Area","2314","0.360776591034248","0.34914499618702","0.372408185881476"
"Sometimes","2008","Urban Area","4413","0.354347376714607","0.346063084429349","0.362631668999865"
"Very often","2008","Rural Area","498","0.0771941475540503","0.0707295556561159","0.0836587394519847"
"Very often","2008","Urban Area","1059","0.0786830625883662","0.0740198362233216","0.0833462889534107"
"Very rare","2008","Rural Area","156","0.0273621757681976","0.0234108335283476","0.0313135180080476"
"Very rare","2008","Urban Area","334","0.0336988797017508","0.0305734818059056","0.036824277597596"
"Often","2009","Rural Area","2806","0.437123278305658","0.424802102782784","0.449444453828532"
"Often","2009","Urban Area","5260","0.422846838109147","0.413934555063943","0.431759121154351"
"Rarely","2009","Rural Area","629","0.112036019511976","0.104201361521481","0.119870677502471"
"Rarely","2009","Urban Area","1203","0.115144165160167","0.109385668561752","0.120902661758583"
"Sometimes","2009","Rural Area","2192","0.355362062631435","0.343473290748424","0.367250834514447"
"Sometimes","2009","Urban Area","4075","0.348860936855524","0.340262590524456","0.357459283186592"
"Very often","2009","Rural Area","448","0.0694015331804554","0.0630889192180637","0.0757141471428471"
"Very often","2009","Urban Area","914","0.0769980405004802","0.0721886168411146","0.0818074641598459"
"Very rare","2009","Rural Area","151","0.0260771063704751","0.0221185619793587","0.0300356507615915"
"Very rare","2009","Urban Area","351","0.0361500193746814","0.0327824940056199","0.0395175447437428"
"Often","2010","Rural Area","2612","0.44080654561866","0.427874470593834","0.453738620643485"
"Often","2010","Urban Area","5054","0.422203087101585","0.412984428867651","0.431421745335518"
"Rarely","2010","Rural Area","475","0.0900538388991766","0.0825975603719648","0.0975101174263884"
"Rarely","2010","Urban Area","1061","0.113674368917969","0.107749928530131","0.119598809305808"
"Sometimes","2010","Rural Area","1991","0.371641977894571","0.359054778211969","0.384229177577173"
"Sometimes","2010","Urban Area","3761","0.354983442856638","0.346052262004204","0.363914623709071"
"Very often","2010","Rural Area","452","0.0730341020313105","0.0662567837140814","0.0798114203485396"
"Very often","2010","Urban Area","861","0.0792210039336618","0.074179997211026","0.0842620106562976"
"Very rare","2010","Rural Area","132","0.0244635355562818","0.0204396601610138","0.0284874109515497"
"Very rare","2010","Urban Area","290","0.0299180971901468","0.0267383646635602","0.0330978297167333"
"Often","2011","Rural Area","3355","0.444921973153313","0.433464522145857","0.456379424160769"
"Often","2011","Urban Area","6260","0.440822702233951","0.432453529167663","0.449191875300239"
"Rarely","2011","Rural Area","678","0.105795673392913","0.09870444618497","0.112886900600855"
"Rarely","2011","Urban Area","1233","0.10030234028508","0.0952385042435703","0.105366176326589"
"Sometimes","2011","Rural Area","2354","0.342029350123111","0.331092204061658","0.352966496184564"
"Sometimes","2011","Urban Area","4411","0.337173757901231","0.329204781562777","0.345142734239684"
"Very often","2011","Rural Area","666","0.081380591343684","0.0750768658502198","0.0876843168371482"
"Very often","2011","Urban Area","1278","0.0909402340027678","0.0860934902512515","0.095786977754284"
"Very rare","2011","Rural Area","174","0.0258724119869792","0.0222122909757869","0.0295325329981715"
"Very rare","2011","Urban Area","337","0.030760965576971","0.0278503071895256","0.0336716239644165"
"Often","2012","Rural Area","3558","0.476026742099514","0.46455753594194","0.487495948257089"
"Often","2012","Urban Area","6460","0.464523594474899","0.456027663773677","0.47301952517612"
"Rarely","2012","Rural Area","574","0.0885001983131382","0.0819777066353163","0.0950226899909601"
"Rarely","2012","Urban Area","1048","0.0883569307653993","0.0835222296520254","0.0931916318787732"
"Sometimes","2012","Rural Area","2333","0.331100290661309","0.320292836378464","0.341907744944154"
"Sometimes","2012","Urban Area","4216","0.328021549096726","0.320023837052565","0.336019261140887"
"Very often","2012","Rural Area","676","0.0823882504853586","0.0760739499935022","0.088702550977215"
"Very often","2012","Urban Area","1236","0.0953433378264806","0.0903404130666018","0.100346262586359"
"Very rare","2012","Rural Area","143","0.0219845184406796","0.018617120315529","0.0253519165658303"
"Very rare","2012","Urban Area","278","0.0237545878364957","0.0211604672791095","0.026348708393882"
"Often","2013","Rural Area","4652","0.476149204087718","0.465951572396388","0.486346835779047"
"Often","2013","Urban Area","8361","0.472894973123201","0.465277041913249","0.480512904333153"
"Rarely","2013","Rural Area","699","0.0844068333615347","0.0787305500689948","0.0900831166540746"
"Rarely","2013","Urban Area","1309","0.0899522563837702","0.0855866533920123","0.0943178593755281"
"Sometimes","2013","Rural Area","2825","0.335409888872038","0.325769626457624","0.345050151286452"
"Sometimes","2013","Urban Area","4951","0.323863753715555","0.316723651967304","0.331003855463805"
"Very often","2013","Rural Area","865","0.0803923852186468","0.074840599139601","0.0859441712976926"
"Very often","2013","Urban Area","1533","0.0874122788465937","0.0831027514031473","0.0917218062900401"
"Very rare","2013","Rural Area","173","0.0236416884600623","0.0205395023716417","0.026743874548483"
"Very rare","2013","Urban Area","346","0.0258767379308807","0.0234542153166986","0.0282992605450628"
"Often","2014","Rural Area","4710","0.482792723363587","0.47263188524996","0.492953561477215"
"Often","2014","Urban Area","9073","0.487793529412829","0.480459501955729","0.49512755686993"
"Rarely","2014","Rural Area","661","0.0796541528359712","0.0741486549399547","0.0851596507319877"
"Rarely","2014","Urban Area","1327","0.0840558688305701","0.0799846870280395","0.0881270506331008"
"Sometimes","2014","Rural Area","2760","0.324456539042996","0.314936871671656","0.333976206414336"
"Sometimes","2014","Urban Area","5216","0.304849712470992","0.298095352041218","0.311604072900766"
"Very often","2014","Rural Area","990","0.0929534456793684","0.08704920032537","0.0988576910333669"
"Very often","2014","Urban Area","1916","0.102641763665902","0.0981888224364787","0.107094704895326"
"Very rare","2014","Rural Area","170","0.0201431390780769","0.0172864580168088","0.022999820139345"
"Very rare","2014","Urban Area","312","0.0206591256197063","0.0185721138783371","0.0227461373610754"
"Often","2015","Rural Area","4407","0.465997142779634","0.455523380067697","0.47647090549157"
"Often","2015","Urban Area","8349","0.486786306207684","0.479135672132551","0.494436940282817"
"Rarely","2015","Rural Area","644","0.085350534569023","0.0794841601468555","0.0912169089911904"
"Rarely","2015","Urban Area","1213","0.0828848299219062","0.0786646729990474","0.087104986844765"
"Sometimes","2015","Rural Area","2655","0.343060521148662","0.333092995415692","0.353028046881632"
"Sometimes","2015","Urban Area","4807","0.304623965938495","0.297579127632764","0.311668804244225"
"Very often","2015","Rural Area","851","0.0882004234404252","0.0822462107862279","0.0941546360946225"
"Very often","2015","Urban Area","1719","0.100206974914018","0.0956107695716892","0.104803180256347"
"Very rare","2015","Rural Area","157","0.0173913780622558","0.0146466672284655","0.0201360888960462"
"Very rare","2015","Urban Area","308","0.0254979230178967","0.0230851141324601","0.0279107319033333"
"Often","2016","Rural Area","4247","0.492923450735216","0.482207135451152","0.50363976601928"
"Often","2016","Urban Area","8177","0.496915920511514","0.48914112660163","0.504690714421397"
"Rarely","2016","Rural Area","650","0.0893312889444209","0.0832176331034795","0.0954449447853624"
"Rarely","2016","Urban Area","1153","0.0811643118381046","0.0769178363045439","0.0854107873716654"
"Sometimes","2016","Rural Area","2487","0.315570855644281","0.305609196667681","0.325532514620881"
"Sometimes","2016","Urban Area","4626","0.300772653062828","0.293641569604264","0.307903736521393"
"Very often","2016","Rural Area","832","0.08450838851334","0.0785463321957101","0.0904704448309699"
"Very often","2016","Urban Area","1587","0.0974615811028657","0.0928497146961829","0.102073447509549"
"Very rare","2016","Rural Area","145","0.0176660161627421","0.0148423205738627","0.0204897117516216"
"Very rare","2016","Urban Area","344","0.0236855334846881","0.0213209013292661","0.02605016564011"
"Often","2017","Rural Area","5014","0.515788404880176","0.505688388665884","0.525888421094468"
"Often","2017","Urban Area","9090","0.509148113144081","0.501665534005317","0.516630692282845"
"Rarely","2017","Rural Area","625","0.0716282397897144","0.0664166312005517","0.0768398483788772"
"Rarely","2017","Urban Area","1147","0.0728944458081642","0.0690034046218212","0.0767854869945073"
"Sometimes","2017","Rural Area","2707","0.309210679782583","0.29987020954024","0.318551150024926"
"Sometimes","2017","Urban Area","4763","0.294317327592494","0.287496035296456","0.301138619888532"
"Very often","2017","Rural Area","929","0.0854347295522876","0.0797854473700011","0.0910840117345741"
"Very often","2017","Urban Area","1852","0.102939959315653","0.0983915790243517","0.107488339606955"
"Very rare","2017","Rural Area","130","0.0179379459952389","0.0152555399913925","0.0206203519990853"
"Very rare","2017","Urban Area","295","0.0207001541396068","0.0185690795541577","0.0228312287250558"
"Often","2018","Rural Area","4720","0.501812210918909","0.491496678755597","0.512127743082221"
"Often","2018","Urban Area","8668","0.511859066360484","0.504267636455881","0.519450496265087"
"Rarely","2018","Rural Area","581","0.0717063253982491","0.0663834547174416","0.0770291960790565"
"Rarely","2018","Urban Area","1190","0.080700131197709","0.0765635505870257","0.0848367118083923"
"Sometimes","2018","Rural Area","2707","0.325841202026303","0.316171600256013","0.335510803796593"
"Sometimes","2018","Urban Area","4690","0.291689485123461","0.284786324099356","0.298592646147565"
"Very often","2018","Rural Area","879","0.0847047147494688","0.0789601266988212","0.0904493028001165"
"Very often","2018","Urban Area","1811","0.0984788867878685","0.0939537127279577","0.103004060847779"
"Very rare","2018","Rural Area","138","0.0159355469070702","0.013351979813471","0.0185191140006693"
"Very rare","2018","Urban Area","296","0.0172724305304775","0.0152937801186402","0.0192510809423149"
"Often","2019","Rural Area","4662","0.490038613929174","0.479630057032089","0.500447170826258"
"Often","2019","Urban Area","8187","0.508365983222013","0.50048372075159","0.516248245692435"
"Rarely","2019","Rural Area","578","0.0750636245146678","0.0695773514716828","0.0805498975576527"
"Rarely","2019","Urban Area","998","0.0746797945948329","0.0705351311674279","0.0788244580222379"
"Sometimes","2019","Rural Area","2536","0.312327698477924","0.302678244499458","0.32197715245639"
"Sometimes","2019","Urban Area","4277","0.296798457798389","0.289595474364188","0.30400144123259"
"Very often","2019","Rural Area","940","0.100734247888149","0.0944675418392454","0.107000953937053"
"Very often","2019","Urban Area","1727","0.100010360059432","0.0952801226412132","0.10474059747765"
"Very rare","2019","Rural Area","145","0.0218358151900857","0.0187928477435974","0.024878782636574"
"Very rare","2019","Urban Area","264","0.0201454043253343","0.0179302167860357","0.0223605918646329"
