"plh0186","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Often","2007","Rural Area","Female","1636","0.424494065923047","0.408359541407221","0.440628590438874"
"Often","2007","Rural Area","Male","1498","0.428730074319541","0.411976451208564","0.445483697430519"
"Often","2007","Urban Area","Female","3228","0.416069402203052","0.40465471220717","0.427484092198935"
"Often","2007","Urban Area","Male","2927","0.43384733094505","0.4217373681948","0.445957293695301"
"Rarely","2007","Rural Area","Female","375","0.114743080427617","0.104339247389132","0.125146913466102"
"Rarely","2007","Rural Area","Male","309","0.0975159062896408","0.0874731344803913","0.10755867809889"
"Rarely","2007","Urban Area","Female","696","0.112796713351383","0.105470823084586","0.12012260361818"
"Rarely","2007","Urban Area","Male","553","0.102656651071667","0.0952404681539717","0.110072833989363"
"Sometimes","2007","Rural Area","Female","1203","0.352072446619325","0.336481420465289","0.367663472773362"
"Sometimes","2007","Rural Area","Male","1243","0.378072490572999","0.361657013504945","0.394487967641054"
"Sometimes","2007","Urban Area","Female","2366","0.336097700009647","0.325158502283221","0.347036897736072"
"Sometimes","2007","Urban Area","Male","2305","0.359006387469296","0.347284825134146","0.370727949804445"
"Very often","2007","Rural Area","Female","315","0.0859615926166108","0.0768114069695525","0.0951117782636691"
"Very often","2007","Rural Area","Male","225","0.069674411758528","0.0610555438557925","0.0782932796612634"
"Very often","2007","Urban Area","Female","663","0.0999109046383828","0.0929662634593501","0.106855545817416"
"Very often","2007","Urban Area","Male","483","0.072635223382743","0.0662935116174626","0.0789769351480233"
"Very rare","2007","Rural Area","Female","76","0.0227288144134","0.0178637186331281","0.0275939101936718"
"Very rare","2007","Rural Area","Male","77","0.0260071170592906","0.0206192101438208","0.0313950239747603"
"Very rare","2007","Urban Area","Female","210","0.0351252797975351","0.030861978997802","0.0393885805972683"
"Very rare","2007","Urban Area","Male","166","0.0318544071312437","0.027563366148573","0.0361454481139144"
"Often","2008","Rural Area","Female","1521","0.422518947222233","0.405900741294846","0.43913715314962"
"Often","2008","Rural Area","Male","1434","0.440166327369925","0.422842048623367","0.457490606116483"
"Often","2008","Urban Area","Female","3065","0.427410775659971","0.415603936986802","0.43921761433314"
"Often","2008","Urban Area","Male","2789","0.429256247053533","0.416796218990857","0.441716275116208"
"Rarely","2008","Rural Area","Female","351","0.110838119430564","0.100276581473854","0.121399657387274"
"Rarely","2008","Rural Area","Male","274","0.095914093285964","0.0856371654018211","0.106191021170107"
"Rarely","2008","Urban Area","Female","629","0.107563840150153","0.100169302255367","0.114958378044939"
"Rarely","2008","Urban Area","Male","517","0.102222882514317","0.0945968535127385","0.109848911515895"
"Sometimes","2008","Rural Area","Female","1154","0.350913497172617","0.334857270240825","0.366969724104409"
"Sometimes","2008","Rural Area","Male","1160","0.371417548137896","0.354554752288966","0.388280343986826"
"Sometimes","2008","Urban Area","Female","2236","0.342783527130805","0.331455520306453","0.354111533955157"
"Sometimes","2008","Urban Area","Male","2177","0.366505841374099","0.354376090457842","0.378635592290356"
"Very often","2008","Rural Area","Female","281","0.0859159291445188","0.0764878745645488","0.0953439837244887"
"Very often","2008","Rural Area","Male","217","0.0677845135108621","0.059011664698772","0.0765573623229521"
"Very often","2008","Urban Area","Female","612","0.087329902473533","0.0805919536416179","0.0940678513054481"
"Very often","2008","Urban Area","Male","447","0.0695916007530829","0.0631860666264619","0.0759971348797039"
"Very rare","2008","Rural Area","Female","87","0.0298135070300673","0.0240917907732821","0.0355352232868525"
"Very rare","2008","Rural Area","Male","69","0.0247175176953529","0.0192989452371639","0.0301360901535419"
"Very rare","2008","Urban Area","Female","202","0.0349119545855374","0.0305310896866945","0.0392928194843803"
"Very rare","2008","Urban Area","Male","132","0.0324234283049687","0.0279646871207022","0.0368821694892351"
"Often","2009","Rural Area","Female","1450","0.438372223641702","0.421220672373399","0.455523774910005"
"Often","2009","Rural Area","Male","1356","0.435793231651635","0.418081863944101","0.453504599359169"
"Often","2009","Urban Area","Female","2731","0.410245771799694","0.398008072044034","0.422483471555354"
"Often","2009","Urban Area","Male","2529","0.435973664132808","0.422982434578986","0.448964893686629"
"Rarely","2009","Rural Area","Female","347","0.11781586092329","0.106671912187259","0.128959809659321"
"Rarely","2009","Rural Area","Male","282","0.105880859227496","0.0948908226517516","0.11687089580324"
"Rarely","2009","Urban Area","Female","626","0.116553693454104","0.108570157136046","0.124537229772163"
