"plh0186","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","Not Employed","in school","","","",""
"Very rare","2007","Not Employed","inadequately","8","","",""
"Very rare","2007","Not Employed","general elemantary","63","0.0503328943887135","0.0385206670561826","0.0621451217212443"
"Very rare","2007","Not Employed","middle vocational","174","0.0426389956500398","0.0364808255022426","0.0487971657978369"
"Very rare","2007","Not Employed","vocational + Abi","14","","",""
"Very rare","2007","Not Employed","higher vocational","18","","",""
"Very rare","2007","Not Employed","higher education","32","0.0375699880267255","0.026603635418446","0.048536340635005"
"Very rare","2007","Employed","in school","","","",""
"Very rare","2007","Employed","inadequately","3","","",""
"Very rare","2007","Employed","general elemantary","25","","",""
"Very rare","2007","Employed","middle vocational","101","0.0197248071380662","0.016265233378681","0.0231843808974515"
"Very rare","2007","Employed","vocational + Abi","14","","",""
"Very rare","2007","Employed","higher vocational","24","","",""
"Very rare","2007","Employed","higher education","42","0.0211491443619922","0.0161941030438916","0.0261041856800928"
"Rarely","2007","Not Employed","in school","10","","",""
"Rarely","2007","Not Employed","inadequately","27","","",""
"Rarely","2007","Not Employed","general elemantary","241","0.188111240283124","0.166996984216384","0.209225496349863"
"Rarely","2007","Not Employed","middle vocational","522","0.142342653654172","0.13169301753097","0.152992289777374"
"Rarely","2007","Not Employed","vocational + Abi","38","0.127992506500707","0.0898692963119228","0.166115716689492"
"Rarely","2007","Not Employed","higher vocational","45","0.105872300954742","0.0787681103976103","0.132976491511873"
"Rarely","2007","Not Employed","higher education","103","0.09703949581452","0.0799682293262943","0.114110762302746"
"Rarely","2007","Employed","in school","2","","",""
"Rarely","2007","Employed","inadequately","11","","",""
"Rarely","2007","Employed","general elemantary","71","0.0946798206661419","0.0755523893997786","0.113807251932505"
"Rarely","2007","Employed","middle vocational","502","0.0889063420496108","0.0818254155207266","0.095987268578495"
"Rarely","2007","Employed","vocational + Abi","58","0.0748096155866666","0.0573978600442979","0.0922213711290353"
"Rarely","2007","Employed","higher vocational","71","0.0685819925482933","0.053236119682175","0.0839278654144117"
"Rarely","2007","Employed","higher education","210","0.0800147948691552","0.0706711099140491","0.0893584798242614"
"Sometimes","2007","Not Employed","in school","65","0.280239178926064","0.228549049516375","0.331929308335752"
"Sometimes","2007","Not Employed","inadequately","57","0.37508697380761","0.294310604728708","0.455863342886511"
"Sometimes","2007","Not Employed","general elemantary","537","0.409783453376104","0.383212750329109","0.436354156423098"
"Sometimes","2007","Not Employed","middle vocational","1564","0.391484713648216","0.376608120540362","0.40636130675607"
"Sometimes","2007","Not Employed","vocational + Abi","75","0.265354051617151","0.21497047562169","0.315737627612611"
"Sometimes","2007","Not Employed","higher vocational","182","0.360198268393106","0.317908139630103","0.402488397156109"
"Sometimes","2007","Not Employed","higher education","408","0.372065019654378","0.344189443154317","0.39994059615444"
"Sometimes","2007","Employed","in school","12","","",""
"Sometimes","2007","Employed","inadequately","31","0.411884536763417","0.303353590786706","0.520415482740129"
"Sometimes","2007","Employed","general elemantary","334","0.359003457856753","0.327663096797714","0.390343818915792"
"Sometimes","2007","Employed","middle vocational","2041","0.333170292109637","0.321443403225345","0.344897180993928"
"Sometimes","2007","Employed","vocational + Abi","273","0.297742844969222","0.267479491690125","0.328006198248318"
"Sometimes","2007","Employed","higher vocational","357","0.339419431450433","0.310668926307478","0.368169936593388"
"Sometimes","2007","Employed","higher education","1064","0.32957011524517","0.313382114659888","0.345758115830451"
"Often","2007","Not Employed","in school","166","0.532650351349936","0.475226652784761","0.590074049915112"
"Often","2007","Not Employed","inadequately","38","0.277019367466199","0.202352669413504","0.351686065518895"
"Often","2007","Not Employed","general elemantary","396","0.296191334586786","0.271523352436577","0.320859316736996"
"Often","2007","Not Employed","middle vocational","1598","0.359746433575225","0.345118445898058","0.374374421252392"
"Often","2007","Not Employed","vocational + Abi","150","0.498417661805688","0.441361190019251","0.555474133592125"
"Often","2007","Not Employed","higher vocational","215","0.42439805712158","0.380857567278836","0.467938546964323"
"Often","2007","Not Employed","higher education","536","0.427617688219445","0.399085963069513","0.456149413369377"
"Often","2007","Employed","in school","32","0.605294286245224","0.471146658581013","0.739441913909436"
"Often","2007","Employed","inadequately","26","","",""
"Often","2007","Employed","general elemantary","378","0.422053593488771","0.389786903139006","0.454320283838536"
"Often","2007","Employed","middle vocational","3011","0.458048142815705","0.445652241128996","0.470444044502415"
"Often","2007","Employed","vocational + Abi","435","0.49986994419139","0.466778304729477","0.532961583653303"
"Often","2007","Employed","higher vocational","517","0.498939522572688","0.468580816386697","0.529298228758679"
"Often","2007","Employed","higher education","1647","0.478270406058385","0.461067488528811","0.495473323587959"
"Very often","2007","Not Employed","in school","49","0.130743496235034","0.0919433722288641","0.169543620241204"
"Very often","2007","Not Employed","inadequately","8","","",""
"Very often","2007","Not Employed","general elemantary","79","0.0555810773652725","0.0432026359145042","0.0679595188160407"
"Very often","2007","Not Employed","middle vocational","277","0.0637872034723472","0.0563387792842822","0.0712356276604122"
"Very often","2007","Not Employed","vocational + Abi","18","","",""
"Very often","2007","Not Employed","higher vocational","35","0.0652183787137149","0.0434670609364421","0.0869696964909877"
"Very often","2007","Not Employed","higher education","76","0.0657078082849311","0.0514186400585368","0.0799969765113254"
"Very often","2007","Employed","in school","5","","",""
"Very often","2007","Employed","inadequately","8","","",""
"Very often","2007","Employed","general elemantary","92","0.0981319573852505","0.0786961061547602","0.117567808615741"
"Very often","2007","Employed","middle vocational","551","0.100150415886981","0.0926815692118136","0.107619262562149"
"Very often","2007","Employed","vocational + Abi","97","0.11088122460222","0.0901006672341282","0.131661781970311"
"Very often","2007","Employed","higher vocational","73","0.0639682504365111","0.0491108866304171","0.0788256142426051"
"Very often","2007","Employed","higher education","276","0.0909955394652982","0.0810909683132922","0.100900110617304"
"Very rare","2008","Not Employed","in school","2","","",""
"Very rare","2008","Not Employed","inadequately","7","","",""
"Very rare","2008","Not Employed","general elemantary","57","0.0518385685677601","0.0392686697599696","0.0644084673755507"
"Very rare","2008","Not Employed","middle vocational","161","0.0493000429902621","0.0424526088321058","0.0561474771484184"
"Very rare","2008","Not Employed","vocational + Abi","9","","",""
"Very rare","2008","Not Employed","higher vocational","18","","",""
"Very rare","2008","Not Employed","higher education","32","0.0255858730716249","0.0164916475935626","0.0346800985496872"
"Very rare","2008","Employed","in school","1","","",""
"Very rare","2008","Employed","inadequately","3","","",""
"Very rare","2008","Employed","general elemantary","16","","",""
"Very rare","2008","Employed","middle vocational","104","0.0254110943995275","0.0213962297866095","0.0294259590124454"
"Very rare","2008","Employed","vocational + Abi","15","","",""
"Very rare","2008","Employed","higher vocational","19","","",""
"Very rare","2008","Employed","higher education","38","0.0215008792367554","0.0163456472813507","0.02665611119216"
"Rarely","2008","Not Employed","in school","8","","",""
"Rarely","2008","Not Employed","inadequately","23","","",""
"Rarely","2008","Not Employed","general elemantary","197","0.178645449418171","0.156927168253409","0.200363730582933"
"Rarely","2008","Not Employed","middle vocational","435","0.125877508987505","0.115385885512211","0.136369132462798"
"Rarely","2008","Not Employed","vocational + Abi","25","","",""
"Rarely","2008","Not Employed","higher vocational","41","0.10532384377827","0.0771798145772588","0.133467872979282"
"Rarely","2008","Not Employed","higher education","98","0.101423961542047","0.0840362865857695","0.118811636498325"
"Rarely","2008","Employed","in school","5","","",""
"Rarely","2008","Employed","inadequately","7","","",""
"Rarely","2008","Employed","general elemantary","82","0.118292775046994","0.0963349718164124","0.140250578277575"
"Rarely","2008","Employed","middle vocational","498","0.0961719728118458","0.0886502789537487","0.103693666669943"
"Rarely","2008","Employed","vocational + Abi","55","0.0643956245580804","0.0478064645899373","0.0809847845262235"
"Rarely","2008","Employed","higher vocational","73","0.0817358656614028","0.0644057038092429","0.0990660275135626"
"Rarely","2008","Employed","higher education","198","0.0719355608748163","0.0627522187546251","0.0811189029950075"
"Sometimes","2008","Not Employed","in school","73","0.268816423563239","0.21752458626503","0.320108260861447"
"Sometimes","2008","Not Employed","inadequately","53","0.530565665504671","0.4397467957404","0.621384535268941"
"Sometimes","2008","Not Employed","general elemantary","463","0.37342580337429","0.3460004297165","0.400851177032079"
"Sometimes","2008","Not Employed","middle vocational","1479","0.380093297851382","0.364740386205342","0.395446209497421"
"Sometimes","2008","Not Employed","vocational + Abi","73","0.267074297033571","0.212982980432043","0.321165613635098"
"Sometimes","2008","Not Employed","higher vocational","171","0.362732748368957","0.318652485591684","0.40681301114623"
"Sometimes","2008","Not Employed","higher education","419","0.371613077411763","0.343780535296793","0.399445619526733"
"Sometimes","2008","Employed","in school","15","","",""
"Sometimes","2008","Employed","inadequately","24","","",""
"Sometimes","2008","Employed","general elemantary","282","0.341918694124237","0.309667278713058","0.374170109535417"
