"plh0186","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","Schleswig-Holstein","lower secondary degree","8","","",""
"Very rare","2007","Schleswig-Holstein","secondary school degree","3","","",""
"Very rare","2007","Schleswig-Holstein","college entrance qualification","3","","",""
"Very rare","2007","Schleswig-Holstein","Other degree","3","","",""
"Very rare","2007","Schleswig-Holstein","no degree/no degree yet","1","","",""
"Very rare","2007","Hamburg","lower secondary degree","2","","",""
"Very rare","2007","Hamburg","secondary school degree","1","","",""
"Very rare","2007","Hamburg","college entrance qualification","1","","",""
"Very rare","2007","Hamburg","Other degree","","","",""
"Very rare","2007","Hamburg","no degree/no degree yet","","","",""
"Very rare","2007","Lower Saxony","lower secondary degree","17","","",""
"Very rare","2007","Lower Saxony","secondary school degree","10","","",""
"Very rare","2007","Lower Saxony","college entrance qualification","4","","",""
"Very rare","2007","Lower Saxony","Other degree","3","","",""
"Very rare","2007","Lower Saxony","no degree/no degree yet","","","",""
"Very rare","2007","Bremen","lower secondary degree","","","",""
"Very rare","2007","Bremen","secondary school degree","2","","",""
"Very rare","2007","Bremen","college entrance qualification","","","",""
"Very rare","2007","Bremen","Other degree","","","",""
"Very rare","2007","Bremen","no degree/no degree yet","","","",""
"Very rare","2007","North Rhine-Westphalia","lower secondary degree","59","0.0462104534979358","0.0355218643544518","0.0568990426414197"
"Very rare","2007","North Rhine-Westphalia","secondary school degree","17","","",""
"Very rare","2007","North Rhine-Westphalia","college entrance qualification","18","","",""
"Very rare","2007","North Rhine-Westphalia","Other degree","9","","",""
"Very rare","2007","North Rhine-Westphalia","no degree/no degree yet","1","","",""
"Very rare","2007","Hesse","lower secondary degree","20","","",""
"Very rare","2007","Hesse","secondary school degree","8","","",""
"Very rare","2007","Hesse","college entrance qualification","6","","",""
"Very rare","2007","Hesse","Other degree","4","","",""
"Very rare","2007","Hesse","no degree/no degree yet","1","","",""
"Very rare","2007","Rhineland-Palatinate,Saarland","lower secondary degree","28","","",""
"Very rare","2007","Rhineland-Palatinate,Saarland","secondary school degree","7","","",""
"Very rare","2007","Rhineland-Palatinate,Saarland","college entrance qualification","8","","",""
"Very rare","2007","Rhineland-Palatinate,Saarland","Other degree","5","","",""
"Very rare","2007","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Very rare","2007","Baden-Württemberg","lower secondary degree","16","","",""
"Very rare","2007","Baden-Württemberg","secondary school degree","13","","",""
"Very rare","2007","Baden-Württemberg","college entrance qualification","11","","",""
"Very rare","2007","Baden-Württemberg","Other degree","11","","",""
"Very rare","2007","Baden-Württemberg","no degree/no degree yet","4","","",""
"Very rare","2007","Bavaria","lower secondary degree","42","0.0416747258721048","0.0304698942415166","0.0528795575026931"
"Very rare","2007","Bavaria","secondary school degree","11","","",""
"Very rare","2007","Bavaria","college entrance qualification","15","","",""
"Very rare","2007","Bavaria","Other degree","2","","",""
"Very rare","2007","Bavaria","no degree/no degree yet","","","",""
"Very rare","2007","Berlin","lower secondary degree","10","","",""
"Very rare","2007","Berlin","secondary school degree","8","","",""
"Very rare","2007","Berlin","college entrance qualification","9","","",""
"Very rare","2007","Berlin","Other degree","3","","",""
"Very rare","2007","Berlin","no degree/no degree yet","1","","",""
"Very rare","2007","Brandenburg","lower secondary degree","9","","",""
"Very rare","2007","Brandenburg","secondary school degree","7","","",""
"Very rare","2007","Brandenburg","college entrance qualification","1","","",""
"Very rare","2007","Brandenburg","Other degree","1","","",""
"Very rare","2007","Brandenburg","no degree/no degree yet","","","",""
"Very rare","2007","Mecklenburg-Western Pomerania","lower secondary degree","6","","",""
"Very rare","2007","Mecklenburg-Western Pomerania","secondary school degree","2","","",""
"Very rare","2007","Mecklenburg-Western Pomerania","college entrance qualification","1","","",""
"Very rare","2007","Mecklenburg-Western Pomerania","Other degree","","","",""
"Very rare","2007","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Very rare","2007","Saxony","lower secondary degree","10","","",""
"Very rare","2007","Saxony","secondary school degree","13","","",""
"Very rare","2007","Saxony","college entrance qualification","11","","",""
"Very rare","2007","Saxony","Other degree","","","",""
