"plh0186","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","(0) in school","Male","","","",""
"Very rare","2007","(0) in school","Female","","","",""
"Very rare","2007","(1a) inadequately completed","Male","2","","",""
"Very rare","2007","(1a) inadequately completed","Female","7","","",""
"Very rare","2007","(1b) general elementary school","Male","25","","",""
"Very rare","2007","(1b) general elementary school","Female","60","0.0480312069981873","0.0360568237825249","0.0600055902138497"
"Very rare","2007","(1c) basic vocational qualification","Male","100","0.0339889144218745","0.0275634845832014","0.0404143442605476"
"Very rare","2007","(1c) basic vocational qualification","Female","96","0.036182293189804","0.0289680743165017","0.0433965120631063"
"Very rare","2007","(2b) intermediate general qualification","Male","3","","",""
"Very rare","2007","(2b) intermediate general qualification","Female","3","","",""
"Very rare","2007","(2a) intermediate vocational","Male","48","0.0260622686562179","0.0192072167953952","0.0329173205170406"
"Very rare","2007","(2a) intermediate vocational","Female","53","0.0248360240799829","0.0190768325871074","0.0305952155728585"
"Very rare","2007","(2c_gen) general maturity certificate","Male","4","","",""
"Very rare","2007","(2c_gen) general maturity certificate","Female","4","","",""
"Very rare","2007","(2c_voc) vocational maturity certificate","Male","19","","",""
"Very rare","2007","(2c_voc) vocational maturity certificate","Female","19","","",""
"Very rare","2007","(3a) lower tertiary education","Male","14","","",""
"Very rare","2007","(3a) lower tertiary education","Female","12","","",""
"Very rare","2007","(3b) higher tertiary education","Male","24","","",""
"Very rare","2007","(3b) higher tertiary education","Female","24","","",""
"Rarely","2007","(0) in school","Male","8","","",""
"Rarely","2007","(0) in school","Female","4","","",""
"Rarely","2007","(1a) inadequately completed","Male","14","","",""
"Rarely","2007","(1a) inadequately completed","Female","24","","",""
"Rarely","2007","(1b) general elementary school","Male","57","0.122270630123913","0.0938109122628985","0.150730347984927"
"Rarely","2007","(1b) general elementary school","Female","229","0.19698606669905","0.174714060367456","0.219258073030645"
"Rarely","2007","(1c) basic vocational qualification","Male","344","0.1230012810736","0.111354744882801","0.134647817264399"
"Rarely","2007","(1c) basic vocational qualification","Female","304","0.12572439638611","0.112916500777258","0.138532291994962"
"Rarely","2007","(2b) intermediate general qualification","Male","6","","",""
"Rarely","2007","(2b) intermediate general qualification","Female","27","","",""
"Rarely","2007","(2a) intermediate vocational","Male","185","0.0899396050200187","0.0776298435991858","0.102249366440852"
"Rarely","2007","(2a) intermediate vocational","Female","223","0.0924724308168","0.0817518649667727","0.103192996666827"
"Rarely","2007","(2c_gen) general maturity certificate","Male","20","","",""
"Rarely","2007","(2c_gen) general maturity certificate","Female","20","","",""
"Rarely","2007","(2c_voc) vocational maturity certificate","Male","40","0.0753488241305942","0.0555533940426327","0.0951442542185558"
"Rarely","2007","(2c_voc) vocational maturity certificate","Female","85","0.0953333449237048","0.0758858912749387","0.114780798572471"
"Rarely","2007","(3a) lower tertiary education","Male","71","0.0937823447112797","0.0749547396925691","0.11260994972999"
"Rarely","2007","(3a) lower tertiary education","Female","64","0.0973318060703838","0.0766494004816935","0.118014211659074"
"Rarely","2007","(3b) higher tertiary education","Male","104","0.0865019141127429","0.0722334919981474","0.100770336227338"
"Rarely","2007","(3b) higher tertiary education","Female","74","0.0669408807459307","0.0527591850863622","0.0811225764054992"
"Sometimes","2007","(0) in school","Male","38","0.277805886263029","0.208617556455963","0.346994216070094"
"Sometimes","2007","(0) in school","Female","39","0.265422190309973","0.200916302739509","0.329928077880438"
"Sometimes","2007","(1a) inadequately completed","Male","36","0.451136411847134","0.344084310745612","0.558188512948656"
"Sometimes","2007","(1a) inadequately completed","Female","58","0.418085899413594","0.334258793766117","0.501913005061071"
"Sometimes","2007","(1b) general elementary school","Male","217","0.410540545507353","0.367804513464713","0.453276577549992"
"Sometimes","2007","(1b) general elementary school","Female","493","0.393979426593983","0.366616628708084","0.421342224479883"
