"plh0186","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Often","2007","Employed","college entrance qualification","2123","0.499980938155643","0.484570587479655","0.51539128883163"
"Often","2007","Employed","lower secondary degree","1373","0.417364325439728","0.400024941501044","0.434703709378412"
"Often","2007","Employed","no degree/no degree yet","56","0.351504934761937","0.270056981268259","0.432952888255616"
"Often","2007","Employed","Other degree","231","0.396386795723296","0.357182247434757","0.435591344011835"
"Often","2007","Employed","secondary school degree","2200","0.493011805354574","0.47821759271529","0.507806017993857"
"Often","2007","Not Employed","college entrance qualification","677","0.459655240987381","0.433512148353691","0.48579833362107"
"Often","2007","Not Employed","lower secondary degree","1338","0.340470782027234","0.325463375459934","0.355478188594535"
"Often","2007","Not Employed","no degree/no degree yet","205","0.415157192231318","0.368474911468086","0.46183947299455"
"Often","2007","Not Employed","Other degree","150","0.282201199197656","0.241641165014791","0.322761233380522"
"Often","2007","Not Employed","secondary school degree","715","0.390017070148122","0.366623823276436","0.413410317019807"
"Rarely","2007","Employed","college entrance qualification","242","0.0715530177984208","0.0636090943650229","0.0794969412318186"
"Rarely","2007","Employed","lower secondary degree","286","0.0998881415276939","0.0893446932347051","0.110431589820683"
"Rarely","2007","Employed","no degree/no degree yet","16","","",""
"Rarely","2007","Employed","Other degree","58","0.125180610569043","0.0986574526038193","0.151703768534266"
"Rarely","2007","Employed","secondary school degree","317","0.0755617579896666","0.0677409026656062","0.0833826133137269"
"Rarely","2007","Not Employed","college entrance qualification","114","0.088538106599431","0.0736362714351364","0.103439941763726"
"Rarely","2007","Not Employed","lower secondary degree","572","0.160552192441526","0.14892556720794","0.172178817675113"
"Rarely","2007","Not Employed","no degree/no degree yet","34","0.120928290509753","0.0900393995820719","0.151817181437434"
"Rarely","2007","Not Employed","Other degree","84","0.201935081030026","0.165757250712255","0.238112911347798"
"Rarely","2007","Not Employed","secondary school degree","180","0.116204247743401","0.100834143528109","0.131574351958692"
"Sometimes","2007","Employed","college entrance qualification","1243","0.31373423499104","0.299433128497178","0.328035341484902"
"Sometimes","2007","Employed","lower secondary degree","1125","0.363501792009422","0.346588453731502","0.380415130287342"
"Sometimes","2007","Employed","no degree/no degree yet","45","0.402967221019015","0.319292345771458","0.486642096266571"
"Sometimes","2007","Employed","Other degree","243","0.356346461640775","0.317961615429169","0.394731307852382"
"Sometimes","2007","Employed","secondary school degree","1425","0.319778797682095","0.305977682234726","0.333579913129464"
"Sometimes","2007","Not Employed","college entrance qualification","443","0.32684940804513","0.302243729313097","0.351455086777162"
"Sometimes","2007","Not Employed","lower secondary degree","1530","0.40115657463832","0.38563405192042","0.416679097356221"
"Sometimes","2007","Not Employed","no degree/no degree yet","126","0.334793040334017","0.290084261341827","0.379501819326208"
"Sometimes","2007","Not Employed","Other degree","197","0.424814323575879","0.380267050146185","0.469361597005573"
"Sometimes","2007","Not Employed","secondary school degree","584","0.373551391038608","0.350350334679682","0.396752447397533"
"Very often","2007","Employed","college entrance qualification","384","0.0971942974182864","0.0880645227940887","0.106324072042484"
"Very often","2007","Employed","lower secondary degree","250","0.0930790994144643","0.0828629260056255","0.103295272823303"
"Very often","2007","Employed","no degree/no degree yet","13","","",""
"Very often","2007","Employed","Other degree","45","0.091621353901526","0.0684991455745326","0.114743562228519"
"Very often","2007","Employed","secondary school degree","385","0.0927146817302347","0.084132247750546","0.101297115709923"
"Very often","2007","Not Employed","college entrance qualification","121","0.0849810839592647","0.0703531984947382","0.0996089694237912"
"Very often","2007","Not Employed","lower secondary degree","206","0.0500389045695202","0.0431340345009926","0.0569437746380479"
"Very often","2007","Not Employed","no degree/no degree yet","56","0.0996497813894111","0.0712725436375129","0.128027019141309"
"Very often","2007","Not Employed","Other degree","22","","",""
"Very often","2007","Not Employed","secondary school degree","134","0.0791697350005207","0.0662200488337656","0.0921194211672759"
"Very rare","2007","Employed","college entrance qualification","52","0.01753751163661","0.0134918971813365","0.0215831260918835"
"Very rare","2007","Employed","lower secondary degree","73","0.0261666416086911","0.020553657909065","0.0317796253083172"
"Very rare","2007","Employed","no degree/no degree yet","2","","",""
"Very rare","2007","Employed","Other degree","21","","",""
"Very rare","2007","Employed","secondary school degree","60","0.0189329572434308","0.0149000071834421","0.0229659073034194"
"Very rare","2007","Not Employed","college entrance qualification","41","0.039976160408794","0.0296996200949301","0.0502527007226578"
"Very rare","2007","Not Employed","lower secondary degree","184","0.0477815463233988","0.0410262080513089","0.0545368845954888"
"Very rare","2007","Not Employed","no degree/no degree yet","7","","",""
"Very rare","2007","Not Employed","Other degree","20","","",""
"Very rare","2007","Not Employed","secondary school degree","57","0.0410575560693495","0.0315409372686179","0.0505741748700811"
"Often","2008","Employed","college entrance qualification","1953","0.482922626845939","0.467019840884207","0.498825412807672"
"Often","2008","Employed","lower secondary degree","1313","0.422628752000859","0.404690300742225","0.440567203259492"
"Often","2008","Employed","no degree/no degree yet","60","0.391105238660335","0.310556921755006","0.471653555565665"
"Often","2008","Employed","Other degree","234","0.424527391830313","0.382526601568293","0.466528182092333"
"Often","2008","Employed","secondary school degree","2062","0.475078808697378","0.459961748714645","0.490195868680111"
"Often","2008","Not Employed","college entrance qualification","645","0.457958446117921","0.431341704516379","0.484575187719462"
