"plh0186","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","Schleswig-Holstein","Male","5","","",""
"Very rare","2007","Schleswig-Holstein","Female","14","","",""
"Very rare","2007","Hamburg","Male","1","","",""
"Very rare","2007","Hamburg","Female","3","","",""
"Very rare","2007","Lower Saxony","Male","14","","",""
"Very rare","2007","Lower Saxony","Female","20","","",""
"Very rare","2007","Bremen","Male","1","","",""
"Very rare","2007","Bremen","Female","1","","",""
"Very rare","2007","North Rhine-Westphalia","Male","47","0.0345135738714796","0.0265153676191195","0.0425117801238397"
"Very rare","2007","North Rhine-Westphalia","Female","62","0.036627194823069","0.0287849333823219","0.0444694562638161"
"Very rare","2007","Hesse","Male","19","","",""
"Very rare","2007","Hesse","Female","21","","",""
"Very rare","2007","Rhineland-Palatinate,Saarland","Male","15","","",""
"Very rare","2007","Rhineland-Palatinate,Saarland","Female","33","0.0557034324394078","0.0378650113115582","0.0735418535672573"
"Very rare","2007","Baden-Württemberg","Male","25","","",""
"Very rare","2007","Baden-Württemberg","Female","33","0.0241300228407727","0.0157979946978187","0.0324620509837268"
"Very rare","2007","Bavaria","Male","41","0.0408437176199834","0.0304683898467519","0.0512190453932149"
"Very rare","2007","Bavaria","Female","31","0.0229410951674641","0.0155140838389402","0.030368106495988"
"Very rare","2007","Berlin","Male","12","","",""
"Very rare","2007","Berlin","Female","19","","",""
"Very rare","2007","Brandenburg","Male","10","","",""
"Very rare","2007","Brandenburg","Female","8","","",""
"Very rare","2007","Mecklenburg-Western Pomerania","Male","5","","",""
"Very rare","2007","Mecklenburg-Western Pomerania","Female","4","","",""
"Very rare","2007","Saxony","Male","20","","",""
"Very rare","2007","Saxony","Female","15","","",""
"Very rare","2007","Saxony-Anhalt","Male","13","","",""
"Very rare","2007","Saxony-Anhalt","Female","12","","",""
"Very rare","2007","Thuringia","Male","15","","",""
"Very rare","2007","Thuringia","Female","10","","",""
"Rarely","2007","Schleswig-Holstein","Male","26","","",""
"Rarely","2007","Schleswig-Holstein","Female","23","","",""
"Rarely","2007","Hamburg","Male","10","","",""
"Rarely","2007","Hamburg","Female","14","","",""
"Rarely","2007","Lower Saxony","Male","68","0.104128330132478","0.0840057433453417","0.124250916919614"
"Rarely","2007","Lower Saxony","Female","83","0.0926367300321463","0.0741812167530195","0.111092243311273"
