"plh0186","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","16-34 y.","no migration background","32","0.0105003235534543","0.00721013572651943","0.0137905113803891"
"Very rare","2007","16-34 y.","direct migration background","9","","",""
"Very rare","2007","16-34 y.","indirect migration background","11","","",""
"Very rare","2007","35-65 y.","no migration background","223","0.0300946605853889","0.0267407345852474","0.0334485865855304"
"Very rare","2007","35-65 y.","direct migration background","57","0.0439901506162257","0.0328381592818789","0.0551421419505725"
"Very rare","2007","35-65 y.","indirect migration background","5","","",""
"Very rare","2007","66 and older","no migration background","169","0.044207920209447","0.0378281906110497","0.0505876498078443"
"Very rare","2007","66 and older","direct migration background","22","","",""
"Very rare","2007","66 and older","indirect migration background","1","","",""
"Rarely","2007","16-34 y.","no migration background","192","0.0568796985394881","0.0494036224654748","0.0643557746135015"
"Rarely","2007","16-34 y.","direct migration background","33","0.09412392255719","0.0669937541321048","0.121254090982275"
"Rarely","2007","16-34 y.","indirect migration background","31","0.0660452424862821","0.0459537254817356","0.0861367594908286"
"Rarely","2007","35-65 y.","no migration background","915","0.103548263906015","0.0975671931020894","0.10952933470994"
"Rarely","2007","35-65 y.","direct migration background","151","0.140451657491015","0.121556866011917","0.159346448970114"
"Rarely","2007","35-65 y.","indirect migration background","21","","",""
"Rarely","2007","66 and older","no migration background","522","0.143737800477512","0.132849517490235","0.15462608346479"
"Rarely","2007","66 and older","direct migration background","66","0.192341031223499","0.152816530763163","0.231865531683835"
"Rarely","2007","66 and older","indirect migration background","2","","",""
"Sometimes","2007","16-34 y.","no migration background","913","0.259090443255562","0.24494815068459","0.273232735826534"
"Sometimes","2007","16-34 y.","direct migration background","117","0.279330068983452","0.237643598009287","0.321016539957616"
"Sometimes","2007","16-34 y.","indirect migration background","193","0.314707032253262","0.277138830998606","0.352275233507918"
"Sometimes","2007","35-65 y.","no migration background","3555","0.363596408915492","0.354153187346442","0.373039630484542"
"Sometimes","2007","35-65 y.","direct migration background","538","0.399810328454582","0.373171520994765","0.4264491359144"
"Sometimes","2007","35-65 y.","indirect migration background","60","0.319753552050992","0.252908676678246","0.386598427423737"
"Sometimes","2007","66 and older","no migration background","1572","0.399676272304678","0.384473686831131","0.414878857778225"
"Sometimes","2007","66 and older","direct migration background","165","0.427909393902803","0.378293053532388","0.477525734273217"
"Sometimes","2007","66 and older","indirect migration background","4","","",""
"Often","2007","16-34 y.","no migration background","1988","0.512509790349585","0.496375660261963","0.528643920437206"
"Often","2007","16-34 y.","direct migration background","216","0.470822545102019","0.424446108340794","0.517198981863245"
"Often","2007","16-34 y.","indirect migration background","261","0.443469048312966","0.403280218703131","0.483657877922801"
"Often","2007","35-65 y.","no migration background","4623","0.437397351812672","0.427659054331379","0.447135649293966"
"Often","2007","35-65 y.","direct migration background","491","0.352364453305377","0.326386501937462","0.378342404673291"
"Often","2007","35-65 y.","indirect migration background","86","0.451245301419823","0.379923425081984","0.522567177757662"
"Often","2007","66 and older","no migration background","1509","0.361932176683318","0.347017373190578","0.376846980176059"
