"plh0186","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","Full Time","lower secondary degree","39","0.0263743673079787","0.0191499268918771","0.0335988077240804"
"Very rare","2007","Full Time","secondary school degree","37","0.0189966473885463","0.0139193350827527","0.0240739596943399"
"Very rare","2007","Full Time","college entrance qualification","39","0.0225807210525821","0.0169403348999263","0.0282211072052379"
"Very rare","2007","Full Time","Other degree","14","","",""
"Very rare","2007","Full Time","no degree/no degree yet","1","","",""
"Very rare","2007","Part Time","lower secondary degree","34","0.0258333439486459","0.0169206345755314","0.0347460533217604"
"Very rare","2007","Part Time","secondary school degree","23","","",""
"Very rare","2007","Part Time","college entrance qualification","13","","",""
"Very rare","2007","Part Time","Other degree","7","","",""
"Very rare","2007","Part Time","no degree/no degree yet","1","","",""
"Very rare","2007","Not Working","lower secondary degree","184","0.0477815463233988","0.0410262080513089","0.0545368845954888"
"Very rare","2007","Not Working","secondary school degree","57","0.0410575560693495","0.0315409372686179","0.0505741748700811"
"Very rare","2007","Not Working","college entrance qualification","41","0.039976160408794","0.0296996200949301","0.0502527007226578"
"Very rare","2007","Not Working","Other degree","20","","",""
"Very rare","2007","Not Working","no degree/no degree yet","7","","",""
"Rarely","2007","Full Time","lower secondary degree","160","0.0872632028980254","0.0745397336841179","0.0999866721119329"
"Rarely","2007","Full Time","secondary school degree","210","0.0772185719964429","0.0672903733800332","0.0871467706128527"
"Rarely","2007","Full Time","college entrance qualification","171","0.0757569564111412","0.0657107097102632","0.0858032031120192"
"Rarely","2007","Full Time","Other degree","30","0.1179591338546","0.0833663909931961","0.152551876716004"
"Rarely","2007","Full Time","no degree/no degree yet","4","","",""
"Rarely","2007","Part Time","lower secondary degree","126","0.120144963470832","0.101878219194138","0.138411707747525"
"Rarely","2007","Part Time","secondary school degree","107","0.0723673628115784","0.0597114190495219","0.0850233065736349"
"Rarely","2007","Part Time","college entrance qualification","71","0.063358536139721","0.0505010751601074","0.0762159971193346"
"Rarely","2007","Part Time","Other degree","28","","",""
"Rarely","2007","Part Time","no degree/no degree yet","12","","",""
"Rarely","2007","Not Working","lower secondary degree","572","0.160552192441526","0.14892556720794","0.172178817675113"
"Rarely","2007","Not Working","secondary school degree","180","0.116204247743401","0.100834143528109","0.131574351958692"
"Rarely","2007","Not Working","college entrance qualification","114","0.088538106599431","0.0736362714351364","0.103439941763726"
