"plh0186","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Often","2007","16-34 y.","Rural Area","842","0.496600507816585","0.472177726587473","0.521023289045696"
"Often","2007","16-34 y.","Urban Area","1623","0.498014774927539","0.480439411626817","0.515590138228262"
"Often","2007","35-65 y.","Rural Area","1729","0.432107477005553","0.416455848715804","0.447759105295302"
"Often","2007","35-65 y.","Urban Area","3471","0.422293125550818","0.411192928101305","0.433393323000331"
"Often","2007","66 and older","Rural Area","563","0.341303470476763","0.317300758466313","0.365306182487213"
"Often","2007","66 and older","Urban Area","1061","0.357033566888885","0.339541151679932","0.374525982097837"
"Rarely","2007","16-34 y.","Rural Area","82","0.0604086489390651","0.0487712956325276","0.0720460022456026"
"Rarely","2007","16-34 y.","Urban Area","174","0.0639387094485499","0.0553392370663082","0.0725381818307915"
"Rarely","2007","35-65 y.","Rural Area","381","0.100638798859889","0.091133180897519","0.110144416822259"
"Rarely","2007","35-65 y.","Urban Area","706","0.113126817661855","0.106008399819315","0.120245235504395"
"Rarely","2007","66 and older","Rural Area","221","0.167025293794642","0.148143019430041","0.185907568159242"
"Rarely","2007","66 and older","Urban Area","369","0.139793515056204","0.127133157492776","0.152453872619632"
"Sometimes","2007","16-34 y.","Rural Area","429","0.273906279296072","0.2521225371426","0.295690021449544"
"Sometimes","2007","16-34 y.","Urban Area","794","0.267367698385661","0.251810362436058","0.282925034335265"
"Sometimes","2007","35-65 y.","Rural Area","1427","0.382983005080371","0.367623795244054","0.398342214916689"
"Sometimes","2007","35-65 y.","Urban Area","2726","0.361136862149903","0.350342182568063","0.371931541731743"
"Sometimes","2007","66 and older","Rural Area","590","0.417169756180749","0.392208023825952","0.442131488535545"
"Sometimes","2007","66 and older","Urban Area","1151","0.395155036918376","0.377306324259381","0.413003749577371"
"Very often","2007","16-34 y.","Rural Area","244","0.160322356410512","0.142400273097346","0.178244439723678"
"Very often","2007","16-34 y.","Urban Area","479","0.156310788678033","0.143545711203953","0.169075866152114"
"Very often","2007","35-65 y.","Rural Area","223","0.0573526635460654","0.0500061382605667","0.0646991888315641"
"Very often","2007","35-65 y.","Urban Area","506","0.0694079430617428","0.0636963903641654","0.0751194957593202"
"Very often","2007","66 and older","Rural Area","73","0.0399710186768602","0.030054435596199","0.0498876017575215"
"Very often","2007","66 and older","Urban Area","161","0.0564963000460098","0.0480671669784215","0.064925433113598"
"Very rare","2007","16-34 y.","Rural Area","13","","",""
"Very rare","2007","16-34 y.","Urban Area","39","0.0143680285602161","0.0101849722340048","0.0185510848864275"
"Very rare","2007","35-65 y.","Rural Area","88","0.0269180555081214","0.0218044513237902","0.0320316596924527"
"Very rare","2007","35-65 y.","Urban Area","197","0.0340352515756813","0.0299603694360483","0.0381101337153143"
"Very rare","2007","66 and older","Rural Area","52","0.0345304608709869","0.0252873587752751","0.0437735629666987"
"Very rare","2007","66 and older","Urban Area","140","0.0515215810905261","0.043450914234832","0.0595922479462203"
"Often","2008","16-34 y.","Rural Area","740","0.495661846065176","0.470015510503097","0.521308181627255"
"Often","2008","16-34 y.","Urban Area","1525","0.501972256878436","0.483780861518149","0.520163652238724"
"Often","2008","35-65 y.","Rural Area","1658","0.432729006449457","0.41657138189024","0.448886631008674"
"Often","2008","35-65 y.","Urban Area","3178","0.413032933153326","0.401539421495148","0.424526444811505"
"Often","2008","66 and older","Rural Area","557","0.359723585836168","0.335240107288525","0.38420706438381"
"Often","2008","66 and older","Urban Area","1151","0.389964939020575","0.372070780272744","0.407859097768406"
"Rarely","2008","16-34 y.","Rural Area","79","0.0585629631251071","0.0465187391139439","0.0706071871362703"
"Rarely","2008","16-34 y.","Urban Area","165","0.064912871305246","0.0559490985831688","0.0738766440273233"
"Rarely","2008","35-65 y.","Rural Area","358","0.10886035789462","0.0987029713310235","0.119017744458217"
"Rarely","2008","35-65 y.","Urban Area","662","0.111739850770423","0.104385782364785","0.11909391917606"
"Rarely","2008","66 and older","Rural Area","188","0.138930178258728","0.121285148584913","0.156575207932543"
"Rarely","2008","66 and older","Urban Area","319","0.129215683220959","0.116909198409071","0.141522168032847"
"Sometimes","2008","16-34 y.","Rural Area","426","0.279984411346408","0.256953584049612","0.303015238643204"
"Sometimes","2008","16-34 y.","Urban Area","768","0.2850329305259","0.268608514935523","0.301457346116277"
"Sometimes","2008","35-65 y.","Rural Area","1284","0.369377871803274","0.353638251170057","0.385117492436491"
"Sometimes","2008","35-65 y.","Urban Area","2549","0.376638335823544","0.36532773074557","0.387948940901517"
"Sometimes","2008","66 and older","Rural Area","604","0.425584479384947","0.400360657797172","0.450808300972723"
"Sometimes","2008","66 and older","Urban Area","1096","0.372754525842478","0.355014618896862","0.390494432788094"
"Very often","2008","16-34 y.","Rural Area","198","0.152153850720817","0.133730370894199","0.170577330547436"
"Very often","2008","16-34 y.","Urban Area","417","0.129846064095021","0.117616476097598","0.142075652092445"
"Very often","2008","35-65 y.","Rural Area","220","0.0570366726512398","0.0494735923290026","0.0645997529734769"
"Very often","2008","35-65 y.","Urban Area","483","0.0648138451218572","0.0590669078033471","0.0705607824403672"
"Very often","2008","66 and older","Rural Area","80","0.0445512861481401","0.0340258833370157","0.0550766889592644"
"Very often","2008","66 and older","Urban Area","159","0.059325073214675","0.0506582481189292","0.0679918983104208"
"Very rare","2008","16-34 y.","Rural Area","17","","",""
"Very rare","2008","16-34 y.","Urban Area","27","","",""
"Very rare","2008","35-65 y.","Rural Area","92","0.0319960912014083","0.0262567606439832","0.0377354217588334"
"Very rare","2008","35-65 y.","Urban Area","178","0.0337750351308498","0.0295581617141836","0.0379919085475159"
"Very rare","2008","66 and older","Rural Area","47","0.0312104703720163","0.022339527397204","0.0400814133468287"
"Very rare","2008","66 and older","Urban Area","129","0.0487397787013131","0.0408400431859947","0.0566395142166316"
"Often","2009","16-34 y.","Rural Area","711","0.518708512487134","0.492075179247147","0.54534184572712"
"Often","2009","16-34 y.","Urban Area","1381","0.499892441441182","0.480826788696403","0.518958094185962"
"Often","2009","35-65 y.","Rural Area","1576","0.443117783003859","0.426515291463691","0.459720274544027"
"Often","2009","35-65 y.","Urban Area","2865","0.414261964048634","0.402218068687169","0.426305859410098"
"Often","2009","66 and older","Rural Area","519","0.335573799030815","0.311142894994539","0.360004703067091"
"Often","2009","66 and older","Urban Area","1014","0.36434994166513","0.346314041468126","0.382385841862135"
"Rarely","2009","16-34 y.","Rural Area","68","0.0627500837646593","0.0498231773323994","0.0756769901969191"
"Rarely","2009","16-34 y.","Urban Area","159","0.0697009782052458","0.0599911308382296","0.079410825572262"
"Rarely","2009","35-65 y.","Rural Area","364","0.114927021947462","0.104267625363038","0.125586418531886"
"Rarely","2009","35-65 y.","Urban Area","669","0.118019716462722","0.110131397694048","0.125908035231396"
"Rarely","2009","66 and older","Rural Area","197","0.158542242256636","0.13964446186105","0.177440022652223"
"Rarely","2009","66 and older","Urban Area","375","0.154409251761588","0.140867146156186","0.16795135736699"
"Sometimes","2009","16-34 y.","Rural Area","367","0.256697487551519","0.233413714657325","0.279981260445713"
"Sometimes","2009","16-34 y.","Urban Area","695","0.277873114531528","0.260792176934016","0.294954052129041"
