"plh0186","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Often","2007","direct migration background","Rural Area","163","0.419748794281889","0.371141297902782","0.468356290660997"
"Often","2007","direct migration background","Urban Area","655","0.349440392813586","0.326972872694429","0.371907912932744"
"Often","2007","indirect migration background","Rural Area","53","0.366767251062095","0.27751564530413","0.456018856820059"
"Often","2007","indirect migration background","Urban Area","298","0.45808335897286","0.420440806867784","0.495725911077935"
"Often","2007","no migration background","Rural Area","2918","0.428497018651788","0.416419295928086","0.440574741375491"
"Often","2007","no migration background","Urban Area","5202","0.436837705479985","0.427649466481838","0.446025944478132"
"Rarely","2007","direct migration background","Rural Area","41","0.108438524169767","0.0778140990835944","0.13906294925594"
"Rarely","2007","direct migration background","Urban Area","209","0.146449783403948","0.129789440157839","0.163110126650057"
"Rarely","2007","indirect migration background","Rural Area","9","","",""
"Rarely","2007","indirect migration background","Urban Area","45","0.0643620636793038","0.0458220756054644","0.0829020517531432"
"Rarely","2007","no migration background","Rural Area","634","0.105006701642675","0.0975246568684474","0.112488746416902"
"Rarely","2007","no migration background","Urban Area","995","0.10345013254734","0.0978084559019013","0.109091809192779"
"Sometimes","2007","direct migration background","Rural Area","151","0.384680772937816","0.336762519410698","0.432599026464933"
"Sometimes","2007","direct migration background","Urban Area","669","0.375682318248958","0.352861130990507","0.39850350550741"
"Sometimes","2007","indirect migration background","Rural Area","34","0.275937119794894","0.193155811678501","0.358718427911287"
"Sometimes","2007","indirect migration background","Urban Area","223","0.322082095452972","0.286779031246511","0.357385159659434"
"Sometimes","2007","no migration background","Rural Area","2261","0.365022189740357","0.353272110105402","0.376772269375313"
"Sometimes","2007","no migration background","Urban Area","3779","0.343441961603649","0.334645283924937","0.352238639282362"
"Very often","2007","direct migration background","Rural Area","25","","",""
"Very often","2007","direct migration background","Urban Area","125","0.0859288738067099","0.0727224693208037","0.0991352782926161"
"Very often","2007","indirect migration background","Rural Area","15","","",""
"Very often","2007","indirect migration background","Urban Area","91","0.133239067859586","0.107564330140752","0.158913805578421"
"Very often","2007","no migration background","Rural Area","500","0.0775974678495572","0.0710678777245642","0.0841270579745501"
"Very often","2007","no migration background","Urban Area","930","0.0836779683071452","0.0785483497996593","0.088807586814631"
"Very rare","2007","direct migration background","Rural Area","16","","",""
"Very rare","2007","direct migration background","Urban Area","72","0.0424986317267971","0.0329929730687201","0.0520042903848742"
"Very rare","2007","indirect migration background","Rural Area","1","","",""
"Very rare","2007","indirect migration background","Urban Area","16","","",""
"Very rare","2007","no migration background","Rural Area","136","0.0238766221156226","0.0201506405433041","0.027602603687941"
"Very rare","2007","no migration background","Urban Area","288","0.0325922320618801","0.0293028276025877","0.0358816365211724"
"Often","2008","direct migration background","Rural Area","143","0.383952681613196","0.332707158598197","0.435198204628195"
"Often","2008","direct migration background","Urban Area","629","0.370089471181883","0.346114551382076","0.39406439098169"
"Often","2008","indirect migration background","Rural Area","52","0.369310403681005","0.279929923339516","0.458690884022494"
"Often","2008","indirect migration background","Urban Area","322","0.45177942766224","0.413782693227074","0.489776162097406"
"Often","2008","no migration background","Rural Area","2760","0.436892721996089","0.424435465119104","0.449349978873075"
"Often","2008","no migration background","Urban Area","4903","0.437674421856513","0.428225328943026","0.44712351477"
"Rarely","2008","direct migration background","Rural Area","45","0.159340819458367","0.120776688868588","0.197904950048146"
"Rarely","2008","direct migration background","Urban Area","188","0.144955711737791","0.127474306682633","0.162437116792949"
"Rarely","2008","indirect migration background","Rural Area","8","","",""
"Rarely","2008","indirect migration background","Urban Area","49","0.0947243275791417","0.0723666559104348","0.117081999247849"
"Rarely","2008","no migration background","Rural Area","572","0.0987637935421866","0.0912707606056699","0.106256826478703"
"Rarely","2008","no migration background","Urban Area","909","0.0981133663685503","0.0924475736666105","0.10377915907049"
"Sometimes","2008","direct migration background","Rural Area","119","0.348187655979615","0.297990626537923","0.398384685421308"
"Sometimes","2008","direct migration background","Urban Area","564","0.3761672838939","0.352113192955677","0.400221374832123"
"Sometimes","2008","indirect migration background","Rural Area","32","0.26681034707963","0.184898149551438","0.348722544607823"
"Sometimes","2008","indirect migration background","Urban Area","188","0.277479521643891","0.243293707067857","0.311665336219926"
"Sometimes","2008","no migration background","Rural Area","2163","0.364647301310695","0.352558495924645","0.376736106696745"
"Sometimes","2008","no migration background","Urban Area","3661","0.355628130339973","0.346510395530044","0.364745865149902"
"Very often","2008","direct migration background","Rural Area","28","","",""
"Very often","2008","direct migration background","Urban Area","116","0.070415317963235","0.0577112614786806","0.0831193744477893"
"Very often","2008","indirect migration background","Rural Area","17","","",""
"Very often","2008","indirect migration background","Urban Area","90","0.145525780008379","0.118602694299801","0.172448865716958"
"Very often","2008","no migration background","Rural Area","453","0.0727246268633117","0.066202570337967","0.0792466833886565"
"Very often","2008","no migration background","Urban Area","853","0.0755436681332509","0.0705102518240946","0.0805770844424072"
"Very rare","2008","direct migration background","Rural Area","11","","",""
"Very rare","2008","direct migration background","Urban Area","61","0.0383722152231912","0.0288337982938987","0.0479106321524838"
"Very rare","2008","indirect migration background","Rural Area","3","","",""
"Very rare","2008","indirect migration background","Urban Area","10","","",""
"Very rare","2008","no migration background","Rural Area","142","0.0269715562877173","0.0229028605325915","0.031040252042843"
"Very rare","2008","no migration background","Urban Area","263","0.0330404133017129","0.0296359589588171","0.0364448676446087"
"Often","2009","direct migration background","Rural Area","122","0.368413566100913","0.315312570557034","0.421514561644793"
